,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"21,750","31,923","47,389","52,838","53,966","67,094","167,374","144,865","174,182","185,418","190,386"
Market Cap Growth,-11.27%,46.77%,48.45%,11.50%,2.14%,24.33%,149.46%,-13.45%,20.24%,6.45%,-
Enterprise Value,"35,333","48,208","67,745","77,648","77,772","103,064","257,631","239,497","272,410","285,136","290,104"
PE Ratio,88.06,47.09,33.73,11.79,18.69,19.35,54.63,47.91,67.25,22.29,23.15
PS Ratio,0.74,0.98,1.26,1.30,1.25,1.49,2.45,1.81,2.19,2.36,2.42
PB Ratio,1.39,1.93,2.60,2.34,2.18,2.33,2.56,2.10,2.50,2.87,2.94
P/FCF Ratio,-127.19,46.27,-24.64,-37.58,-32.87,142.45,-69.91,88.82,61.77,21.14,21.71
P/OCF Ratio,5.25,5.90,17.05,13.79,13.84,9.83,19.37,10.41,10.38,9.99,10.26
EV/Sales Ratio,1.20,1.48,1.81,1.91,1.80,2.29,3.77,2.99,3.42,3.63,3.69
EV/EBITDA Ratio,5.72,6.73,6.58,7.18,6.61,8.34,12.44,10.38,13.51,10.50,10.68
EV/EBIT Ratio,20.03,19.49,16.70,16.07,14.75,17.96,39.33,35.78,41.84,19.89,20.24
EV/FCF Ratio,-206.63,69.87,-35.23,-55.23,-47.36,218.82,-107.62,146.84,96.60,32.51,33.08
Debt / Equity Ratio,1.40,1.59,1.52,1.26,1.11,1.39,1.59,1.53,1.55,1.69,1.69
Debt / EBITDA Ratio,3.56,3.66,2.70,2.62,2.34,3.25,5.03,4.59,5.35,4.03,4.03
Debt / FCF Ratio,-128.42,38.03,-14.45,-20.14,-16.78,85.13,-43.53,65.00,38.25,12.46,12.46
Quick Ratio,1.18,1.24,1.04,0.47,0.54,0.48,0.84,0.66,0.57,0.68,0.68
Current Ratio,1.59,1.56,1.58,0.77,0.81,0.74,1.10,0.89,0.77,0.91,0.91
Asset Turnover,0.55,0.55,0.58,0.59,0.61,0.53,0.41,0.39,0.38,0.38,0.38
Interest Coverage,1.31,1.65,2.35,2.89,3.89,5.06,2.43,2.00,1.94,4.30,4.30
Return on Equity (ROE),1.70%,4.20%,8.00%,22.00%,12.10%,12.60%,5.50%,4.50%,3.70%,12.70%,12.70%
Return on Assets (ROA),0.50%,1.20%,2.20%,6.50%,4.10%,4.10%,1.80%,1.50%,1.20%,4.00%,4.00%
Return on Capital (ROIC),0.92%,4.06%,4.38%,13.12%,7.49%,6.26%,2.92%,3.45%,3.02%,6.23%,6.23%
Earnings Yield,1.14%,2.12%,2.96%,8.48%,5.35%,5.17%,1.83%,2.09%,1.49%,4.49%,4.37%
FCF Yield,-0.79%,2.16%,-4.06%,-2.66%,-3.04%,0.70%,-1.43%,1.13%,1.62%,4.73%,4.61%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,1.62%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.30%,37.52%
Buyback Yield / Dilution,-20.54%,-0.82%,-1.27%,-4.65%,1.55%,-0.60%,-33.74%,-8.66%,-0.05%,4.39%,4.39%
Total Shareholder Return,-20.54%,-0.82%,-1.27%,-4.65%,1.55%,-0.60%,-33.74%,-8.66%,-0.05%,4.79%,6.01%
