,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,211.54,241.05,338.82,258.26,267.09,352.79,372.94,399.59,396.92,468.17
Depreciation & Amortization,34.44,31.35,38.05,48.29,57.29,60.46,100.8,107.32,129.72,137.73
Share-Based Compensation,10.94,-2.58,11.59,23.85,31.52,32.4,36.58,45.07,56,62.04
Other Operating Activities,8.11,36.62,-57.32,-9.88,29.78,-18.52,-4.48,3.25,-44.36,-22.37
Operating Cash Flow,265.02,306.44,331.14,320.53,385.67,427.14,505.84,555.23,538.28,645.57
Operating Cash Flow Growth,-1.77%,15.63%,8.06%,-3.20%,20.32%,10.75%,18.43%,9.76%,-3.05%,19.93%
Capital Expenditures,-17.74,-25.68,-47.74,-36.86,-33.52,-59.37,-77.64,-61.33,-51.16,-60.79
Acquisitions,-46.87,-34.76,-109.77,-303.09,-15,0,0,-58.06,"-1,981.64",-23.59
Change in Investments,-6.09,-4.44,-0.9,-7.36,-0.01,3.27,4.01,-16.61,-0.88,-11.01
Investing Cash Flow,-70.71,-64.88,-158.41,-347.31,-48.53,-56.1,-73.63,-135.99,"-2,033.68",-95.39
Dividends Paid,-61.01,-66.55,-74.22,-80.9,-89.41,-100.05,-110.44,-117.93,-125.93,-138.6
Share Issuance / Repurchase,-227.68,-184.69,-299.98,-210.93,-232.35,-113.32,-104.11,-200.53,67.41,-104.71
Debt Issued / Paid,0,34.97,264.99,275,0,0,0,0,"1,404",-375
Other Financing Activities,11.96,28.95,18.21,8.67,1.72,-0.9,-3.53,-4.26,-5.86,-13.71
Financing Cash Flow,-276.73,-187.33,-91,-8.16,-320.04,-214.27,-218.08,-322.71,"1,339",-632.02
Exchange Rate Effect,2.17,-11.7,-12.24,1.26,-3.21,-5.59,11.67,-0.26,-22.43,4.02
Net Cash Flow,-80.25,42.54,69.49,-33.68,13.89,151.18,225.81,96.26,-178.59,-77.83
Free Cash Flow,247.28,280.76,283.4,283.67,352.15,367.77,428.2,493.9,487.12,584.79
Free Cash Flow Growth,-1.60%,13.54%,0.94%,0.09%,24.14%,4.44%,16.43%,15.34%,-1.37%,20.05%
Free Cash Flow Margin,26.87%,27.89%,25.14%,23.23%,26.08%,25.62%,28.66%,31.03%,26.42%,28.04%
Free Cash Flow Per Share,5.83,6.75,6.93,7.19,9.09,9.64,11.29,13.05,12.87,15.31
