,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,413","7,515","8,349","11,164","11,620","13,785","14,303","27,494","26,563","35,163","34,969"
Market Cap Growth,13.19%,1.38%,11.10%,33.71%,4.09%,18.63%,3.76%,92.23%,-3.39%,32.38%,-
Enterprise Value,"7,453","7,961","8,570","13,904","13,745","16,520","16,349","29,898","28,924","36,816","36,621"
PE Ratio,40.34,42.79,43.13,3404.61,94.89,59.09,53.62,34.65,32.88,39.85,40.49
PS Ratio,3.67,3.47,3.42,3.37,2.92,3.25,3.49,5.81,4.85,5.95,5.92
PB Ratio,45.99,-56.76,137.15,11.35,13.66,14.69,13.12,74.10,116.61,51.66,51.38
P/FCF Ratio,24.04,25.10,26.44,77.66,33.75,33.10,17.46,21.95,26.74,33.41,33.22
P/OCF Ratio,21.38,21.75,22.84,43.86,24.66,24.38,15.83,20.95,24.12,30.43,30.26
EV/Sales Ratio,3.69,3.68,3.51,4.20,3.46,3.89,3.99,6.32,5.28,6.23,6.20
EV/EBITDA Ratio,22.83,23.29,22.67,57.86,24.39,24.41,22.02,21.73,20.43,23.89,23.76
EV/EBIT Ratio,25.97,27.01,27.12,106951.24,44.64,43.64,37.01,27.47,25.08,28.76,28.61
EV/FCF Ratio,24.17,26.59,27.14,96.72,39.92,39.67,19.95,23.87,29.12,34.98,34.79
Debt / Equity Ratio,2.51,-6.18,11.41,3.33,2.68,3.21,2.53,8.52,13.43,4.37,4.37
Debt / EBITDA Ratio,1.24,2.40,1.84,13.64,4.05,4.46,3.72,2.30,2.16,1.93,1.93
Debt / FCF Ratio,1.31,2.73,2.20,22.81,6.63,7.24,3.37,2.52,3.08,2.82,2.82
Quick Ratio,0.75,0.72,0.77,0.61,0.54,0.56,0.66,0.63,0.63,0.77,0.77
Current Ratio,0.90,0.86,0.92,0.92,0.69,0.71,0.79,0.78,0.77,0.91,0.91
Asset Turnover,1.12,1.09,1.07,0.54,0.63,0.62,0.59,0.66,0.80,0.79,0.79
Interest Coverage,23.33,13.07,11.46,0.00,2.43,3.68,3.82,9.18,9.14,9.64,9.64
Return on Equity (ROE),98.30%,-116.80%,-672.60%,0.50%,13.20%,25.40%,26.60%,149.40%,2338.80%,153.00%,153.00%
Return on Assets (ROA),10.20%,8.90%,8.50%,0.10%,1.90%,3.40%,3.80%,11.10%,11.80%,11.80%,11.80%
Return on Capital (ROIC),33.81%,27.07%,27.12%,-0.15%,5.61%,7.92%,10.41%,21.22%,26.32%,26.05%,26.05%
Earnings Yield,2.48%,2.34%,2.32%,0.03%,1.05%,1.69%,1.86%,2.89%,3.04%,2.51%,2.52%
FCF Yield,4.16%,3.98%,3.78%,1.29%,2.96%,3.02%,5.73%,4.56%,3.74%,2.99%,3.01%
Buyback Yield / Dilution,4.34%,6.24%,1.45%,-7.12%,-2.60%,1.25%,1.05%,4.27%,5.93%,1.71%,1.71%
Total Shareholder Return,4.34%,6.24%,1.45%,-7.12%,-2.60%,1.25%,1.05%,4.27%,5.93%,1.71%,1.71%
