,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"20,581","48,885","53,128","83,067","116,723","141,805","238,892","266,852","131,228","213,097","252,710"
Market Cap Growth,-5.67%,137.53%,8.68%,56.35%,40.52%,21.49%,68.47%,11.70%,-50.82%,62.39%,-
Enterprise Value,"19,858","48,945","54,759","86,744","123,288","151,546","246,995","276,217","139,522","220,503","260,116"
PE Ratio,77.14,398.60,284.60,148.62,96.37,75.96,86.51,52.16,29.21,39.40,48.54
PS Ratio,3.74,7.21,6.02,7.10,7.39,7.04,9.56,8.99,4.15,6.32,7.49
PB Ratio,11.08,21.99,19.83,23.19,22.28,18.70,21.59,16.84,6.32,10.35,12.27
P/FCF Ratio,-160.75,-53.21,-32.03,-42.40,-40.89,-45.16,123.83,-2021.99,81.08,30.77,36.49
P/OCF Ratio,1248.61,-65.23,-36.04,-46.51,-43.55,-49.11,98.43,679.69,64.76,29.29,34.74
EV/Sales Ratio,3.61,7.22,6.20,7.42,7.81,7.52,9.88,9.30,4.41,6.54,7.71
EV/EBITDA Ratio,6.24,12.81,10.26,12.40,13.31,12.62,16.59,14.50,6.86,10.28,12.12
EV/EBIT Ratio,49.70,178.24,133.36,119.89,74.86,56.37,62.26,41.81,23.37,31.93,37.67
EV/FCF Ratio,-155.10,-53.28,-33.01,-44.27,-43.19,-48.26,128.03,-2092.95,86.20,31.84,37.56
Debt / Equity Ratio,0.48,1.07,1.26,1.81,1.98,1.95,1.47,0.97,0.69,0.71,0.71
Debt / EBITDA Ratio,0.28,0.62,0.63,0.93,1.12,1.23,1.10,0.81,0.71,0.68,0.68
Debt / FCF Ratio,-6.92,-2.58,-2.03,-3.32,-3.63,-4.70,8.45,-116.63,8.87,2.10,2.10
Quick Ratio,0.60,0.65,0.38,0.52,0.58,0.73,1.05,0.71,0.76,0.81,0.81
Current Ratio,1.48,1.54,1.25,1.40,1.49,0.90,1.25,0.95,1.17,1.12,1.12
Asset Turnover,0.84,0.70,0.72,0.70,0.69,0.66,0.67,0.71,0.67,0.68,0.68
Interest Coverage,7.96,2.07,2.74,3.04,3.92,4.29,5.17,8.63,8.45,9.87,9.87
Return on Equity (ROE),16.00%,5.90%,7.50%,17.20%,25.80%,28.40%,28.20%,35.30%,23.10%,24.80%,24.80%
Return on Assets (ROA),4.10%,1.30%,1.50%,3.30%,5.30%,6.10%,7.40%,12.20%,9.60%,10.90%,10.90%
Return on Capital (ROIC),11.21%,5.75%,4.50%,9.58%,10.16%,10.55%,14.46%,17.37%,13.68%,17.25%,17.25%
Earnings Yield,1.30%,0.25%,0.35%,0.67%,1.04%,1.32%,1.16%,1.92%,3.42%,2.54%,2.14%
FCF Yield,-0.62%,-1.88%,-3.12%,-2.36%,-2.45%,-2.21%,0.81%,-0.05%,1.23%,3.25%,2.74%
Buyback Yield / Dilution,-1.54%,-1.06%,-0.50%,-1.86%,-0.99%,-0.12%,-0.54%,-0.26%,0.90%,0.40%,0.40%
Total Shareholder Return,-1.54%,-1.06%,-0.50%,-1.86%,-0.99%,-0.12%,-0.54%,-0.26%,0.90%,0.40%,0.40%
