,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"42,602","49,152","44,282","51,828","66,569","40,201","34,109","83,532","58,206","54,790","59,372"
Market Cap Growth,39.55%,15.38%,-9.91%,17.04%,28.44%,-39.61%,-15.16%,144.90%,-30.32%,-5.87%,-
Enterprise Value,"45,189","53,368","54,910","63,321","80,440","55,994","65,349","112,907","88,503","86,266","90,825"
PE Ratio,18.33,46.81,24.33,17.29,14.56,74.45,26.52,15.97,15.21,13.79,14.10
PS Ratio,0.94,1.04,0.88,0.86,1.02,0.58,0.49,1.00,0.62,0.61,0.68
PB Ratio,2.79,3.28,3.21,3.23,3.43,2.26,1.86,3.46,2.33,2.10,2.22
P/FCF Ratio,58.28,48.24,49.75,-278.64,-67.31,326.84,-44.24,19.65,18.97,20.49,14.48
P/OCF Ratio,9.99,9.16,7.76,10.51,14.24,7.16,6.69,8.24,5.92,6.19,6.10
EV/Sales Ratio,0.99,1.12,1.09,1.05,1.23,0.80,0.94,1.34,0.95,0.96,1.03
EV/EBITDA Ratio,7.06,11.93,9.62,7.83,10.05,12.18,10.97,10.03,9.26,8.43,8.56
EV/EBIT Ratio,11.84,28.66,17.85,12.44,16.38,45.05,27.91,15.12,15.85,14.24,14.22
EV/FCF Ratio,61.82,52.37,61.70,-340.44,-81.33,455.24,-84.76,26.56,28.84,32.26,22.15
Debt / Equity Ratio,0.36,0.53,1.03,0.96,0.88,1.02,1.97,1.51,1.49,1.47,1.43
Debt / EBITDA Ratio,0.86,1.78,2.48,1.91,2.14,3.94,6.06,3.24,3.89,3.75,3.60
Debt / FCF Ratio,7.52,7.83,15.91,-83.13,-17.33,147.25,-46.85,8.58,12.12,14.34,9.31
Quick Ratio,1.58,1.59,1.35,1.46,1.22,1.27,1.45,1.40,1.31,1.25,1.22
Current Ratio,1.82,1.74,1.50,1.60,1.39,1.45,1.58,1.51,1.43,1.37,1.34
Asset Turnover,1.37,1.37,1.26,1.29,1.29,1.30,0.98,1.03,1.11,1.05,1.01
Interest Coverage,23.86,7.92,9.15,9.94,8.80,2.11,3.48,9.42,8.11,8.73,10.42
Return on Equity (ROE),14.20%,6.80%,12.50%,20.00%,25.40%,2.80%,7.00%,24.10%,15.50%,15.90%,16.50%
Return on Assets (ROA),7.00%,3.00%,4.60%,6.40%,9.00%,1.00%,1.80%,6.50%,4.50%,4.60%,4.90%
Return on Capital (ROIC),11.67%,5.25%,7.31%,9.48%,12.28%,10.26%,3.42%,7.57%,7.85%,5.65%,6.06%
Earnings Yield,5.46%,2.14%,4.11%,5.78%,6.87%,1.34%,3.77%,6.26%,6.57%,7.25%,7.22%
FCF Yield,1.72%,2.07%,2.01%,-0.36%,-1.49%,0.31%,-2.26%,5.09%,5.27%,4.88%,6.91%
Dividend Yield,0.40%,0.50%,0.60%,0.80%,0.80%,1.70%,2.00%,0.80%,1.30%,2.10%,2.12%
Payout Ratio,7.90%,21.60%,15.20%,14.20%,11.70%,126.20%,52.80%,13.10%,20.60%,29.50%,29.91%
Buyback Yield / Dilution,6.74%,3.98%,5.40%,0.39%,0.06%,2.49%,-0.26%,-1.57%,2.32%,3.02%,3.38%
Total Shareholder Return,7.14%,4.48%,6.00%,1.19%,0.86%,4.19%,1.74%,-0.77%,3.62%,5.12%,5.50%
