,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-03-27,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31,Current
Market Capitalization,"13,918","13,918","13,918","13,918","13,870","13,918","13,918","14,736","15,537","17,485","18,405","20,598","21,074","22,614","22,534","24,654","18,945","23,524","22,895","19,296","21,503","13,994","18,734","20,955","23,937","24,007","24,002","25,489","27,411","21,784","19,611","20,708","22,732","24,105","26,394","26,112","25,866","29,633"
Market Cap Growth,-,-,-,-,-0.35%,0%,0%,5.87%,12.02%,25.63%,32.23%,39.78%,35.63%,29.33%,22.43%,19.69%,-10.10%,4.03%,1.60%,-21.73%,13.50%,-40.51%,-18.17%,8.60%,11.32%,71.55%,28.12%,21.64%,14.51%,-9.26%,-18.30%,-18.76%,-17.07%,10.65%,34.59%,26.09%,13.79%,-
Enterprise Value,"13,918",-,-,"13,918","13,870","13,918","16,806","17,520","18,092","19,930","20,645","23,359","24,168","25,595","23,892","28,511","21,197","25,747","28,201","24,468","26,840","19,237","23,572","25,390","26,544","25,472","25,203","27,641","30,735","24,839","22,610","23,562","25,274","26,527","28,659","28,130","27,624","31,390"
PE Ratio,15.20,17.08,15.30,17.70,14.69,19.12,14.57,16.24,17.30,21.89,19.16,19.23,15.64,21.64,19.10,25.13,2.24,35.77,32.78,23.29,27.88,83.50,36.03,23.20,4.92,54.46,33.17,42.26,41.53,32.99,28.34,27.26,25.01,34.71,31.57,29.94,24.38,34.56
PS Ratio,8.25,9.20,8.89,2.21,2.25,2.27,2.28,2.39,2.50,2.78,2.89,3.18,3.17,3.30,3.18,3.40,2.63,3.34,3.25,2.73,2.94,1.88,2.62,2.91,3.68,3.96,4.13,4.90,5.22,4.06,3.56,3.65,3.90,4.08,4.42,4.34,4.76,5.46
PB Ratio,2.66,0,0,2.65,2.68,2.65,5.87,5.77,5.78,6.05,5.81,5.93,5.56,5.53,4.01,4.23,2.87,3.43,3.27,2.70,2.91,1.93,2.53,2.73,2.67,2.66,2.61,2.74,2.88,2.28,2.08,2.21,2.35,2.44,2.65,2.59,2.51,2.87
P/FCF Ratio,37.26,197.43,53.14,15.34,15.60,14.39,14.16,13.59,15.42,17.84,20.02,22.81,20.26,21.37,19.49,20.19,15.38,19.21,20.00,16.89,18.55,11.82,13.35,13.89,16.66,16.96,19.46,24.76,30.09,22.44,20.09,20.07,18.83,20.76,22.28,20.70,32.37,37.09
P/OCF Ratio,34.39,147.13,47.96,13.57,13.75,12.75,12.52,12.21,13.67,15.78,17.64,19.99,17.91,18.86,17.40,18.09,14.09,17.69,18.37,15.55,16.91,10.71,12.27,12.88,16.66,17.26,20.16,26.24,28.52,21.13,18.75,18.60,17.44,19.09,20.47,19.05,-,32.68
Debt / Equity Ratio,0.08,0,0,0,0.08,0,1.42,1.37,1.40,1.13,1.01,1.06,1.20,0.98,0.66,0.86,0.52,0.87,0.91,0.87,0.89,0.87,0.80,0.77,0.49,0.31,0.30,0.32,0.44,0.39,0.39,0.38,0.34,0.31,0.30,0.27,0.35,0.35
Quick Ratio,0.74,0,0,0.76,0.74,0.75,1.06,1.24,1.19,1.26,1.43,1.44,1.31,1.50,1.55,0.70,1.08,1.85,0.86,0.82,0.75,1.11,0.76,0.89,1.31,0.86,0.93,0.58,0.47,0.63,0.62,0.62,0.61,0.61,0.64,0.68,1.22,1.22
Current Ratio,1.31,0,0,1.37,1.20,1.26,1.60,1.72,1.70,1.80,1.97,1.95,1.83,2.11,1.96,0.98,1.45,2.20,1.23,1.19,1.06,1.62,1.13,1.24,1.55,1.13,1.20,0.85,0.68,0.96,0.94,0.94,0.91,0.93,0.96,1.02,1.57,1.57
Asset Turnover,,0.23,0,0,0.21,0.22,0.20,0.20,0.19,0.20,0.19,0.19,0.18,0.17,0.16,0.15,0.13,0.14,0.10,0.11,0.11,0.11,0.10,0.09,0.11,0.08,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.10,0.09,0.10,0.10,0.06
