,2014-12-31,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-03-27,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31
Cash & Equivalents,0,0,0,0,487.2,724.8,803.2,817.6,968.4,910.9,962.1,"1,016","2,368","1,145","1,178","3,729","1,092","1,061","1,205","1,041","1,063","1,489","1,825","1,300","1,566",838.4,819.3,684.3,682.9,705.3,709.2,672.8,712.8,714.1,"1,889"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,119",0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,0,0,0,0,487.2,724.8,803.2,817.6,968.4,910.9,962.1,"1,016","2,368","1,145","1,178","3,729","1,092","1,061","1,205","1,041","1,063","1,489","2,944","1,300","1,566",838.4,819.3,684.3,682.9,705.3,709.2,672.8,712.8,714.1,"1,889"
Cash Growth,-,-,-,-,-,-,-,-,98.77%,25.68%,19.78%,24.23%,144.55%,25.71%,22.48%,267.13%,-53.88%,-7.39%,2.27%,-72.10%,-2.66%,40.41%,144.27%,24.90%,47.30%,-43.70%,-72.17%,-47.35%,-56.39%,-15.88%,-13.44%,-1.68%,4.38%,1.25%,166.33%
Receivables,956.3,970.4,979.3,929.6,948.2,972,945.4,944.1,985,"1,075","1,144","1,172","1,188","1,296","1,195","1,147","1,315","1,332","1,385","1,318","1,129","1,208",810.3,829.5,817.9,830.4,930.2,929,940.9,901,958.5,940.7,935.2,925.4,960.8
Inventory,511.2,551.9,522.9,553.6,557.5,558.1,544.6,571.6,560.6,576.2,580.6,615.9,642.3,649.2,574.5,608.3,693.7,680.7,640.3,650.4,664.5,661.8,455.5,466.6,488,506.8,512.7,553.3,547.7,560.5,536.7,570.2,561.2,552.5,536.9
Other Current Assets,215.9,230.5,91.9,88.4,169.1,104.3,195.5,184.1,187.7,133.1,250.5,276,305.1,324.4,223.2,312.5,335.3,392.7,458.8,437.1,393.7,416.2,237.1,205.2,214.7,249.7,252.7,281.1,273.8,281.1,272.6,271.6,265.4,277.3,285.1
Total Current Assets,"1,683","1,753","1,594","1,572","2,162","2,359","2,489","2,517","2,702","2,695","2,937","3,080","4,503","3,414","3,171","5,796","3,436","3,466","3,689","3,446","3,250","3,775","4,447","2,801","3,086","2,425","2,515","2,448","2,445","2,448","2,477","2,455","2,475","2,469","3,672"
"Property, Plant & Equipment",480.8,503.4,514.8,519.1,534,538.3,547.6,552.9,562.8,673.2,712.5,709.8,690.4,682.3,576.1,634.7,712.3,730,726.3,720,727.6,728.7,610.7,596.7,580.1,575.3,571.1,412.6,407.6,405.2,421.9,425.6,425.9,430.8,439.8
Goodwill,"3,995","3,943","3,949","3,973","3,962","4,048","3,979","3,999","4,032","4,632","5,099","5,126","5,082","6,743","6,133","6,169","7,751","7,996","8,399","8,271","8,298","8,341","7,359","7,340","7,347","8,222","9,152","9,133","9,058","8,978","9,049","9,057","9,052","9,059","9,122"
Intangible Assets,857.5,770.6,759,750,726.6,775.8,747.3,736.2,729.8,886.1,"1,276","1,259","1,231","2,500","2,476","2,436","3,813","3,661","3,845","3,751","3,671","3,596","3,291","3,210","3,134","3,392","3,890","3,789","3,679","3,568","3,487","3,397","3,304","3,226","3,160"
Other Long-Term Assets,338.8,367.4,393.7,398.6,402.1,412,427.2,428.6,440.7,440.1,476.8,480.5,479.5,523,548.9,620.7,755.4,808.4,779.6,744,758.7,759.7,344.1,331.2,348,361.9,337.3,484.3,481.3,494.2,455.8,470,474.3,479.3,518.9
Total Long-Term Assets,"5,672","5,584","5,617","5,641","5,625","5,774","5,701","5,717","5,765","6,632","7,564","7,576","7,483","10,449","9,734","9,860","13,032","13,195","13,750","13,486","13,455","13,425","11,605","11,478","11,409","12,551","13,951","13,819","13,626","13,445","13,414","13,350","13,256","13,195","13,240"
Total Assets,"7,356","7,337","7,211","7,213","7,787","8,133","8,190","8,234","8,467","9,327","10,501","10,655","11,986","13,863","12,906","15,656","16,468","16,660","17,439","16,932","16,706","17,200","16,052","14,279","14,496","14,976","16,466","16,266","16,071","15,893","15,891","15,805","15,731","15,664","16,912"
Accounts Payable,623.4,609.7,657.1,625.6,644.2,619.4,666.2,623.3,648.6,646.1,727.5,711.7,763.5,758.7,706.5,667.8,697.9,693.8,765.5,745.4,733,777.1,480.8,464.5,489.4,494.9,557.9,576.1,581.7,572.6,623,593,585.6,574.8,608.6
