,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-03-27,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31
Revenue,"1,687","1,514","1,565","1,525","1,561","1,475","1,555","1,567","1,627","1,535","1,629","1,685","1,807","1,741","1,856","1,840","1,758","1,593","1,865","1,860","2,002","1,714","1,571","1,902","1,325","1,259","1,320","1,300","1,375","1,377","1,463","1,456","1,530","1,461","1,526","1,495",947.5
Revenue Growth (YoY),-,-,-,-,-7.47%,-2.56%,-0.63%,2.81%,4.21%,4.10%,4.74%,7.52%,11.04%,13.39%,13.95%,9.19%,-2.72%,-8.49%,0.47%,1.08%,13.93%,7.57%,-15.74%,2.27%,-33.83%,-26.51%,-16.01%,-31.69%,3.77%,9.32%,10.88%,12.04%,11.28%,6.12%,4.31%,2.64%,-38.07%
Cost of Revenue,882,782.8,800.1,777.4,823.2,779.5,787,794.5,830.5,791.2,823.7,845.9,896.7,869.9,917.1,915.8,859.2,780.2,960.7,932.3,966.5,837.7,756.9,918.9,562.8,547.3,564.2,555.3,580.8,584.5,629.8,610.6,637.4,612.5,621,601.5,0
Gross Profit,805.4,730.7,764.8,747.2,738.2,695.2,768.1,772.9,796.6,744,805.1,839.4,910,870.8,938.9,924.3,898.3,812.7,904,927.7,"1,036",875.8,814.3,983.4,762.1,711.9,755.5,744.2,794,792,833.5,845.4,892.5,848.2,905.4,893,947.5
Research & Development,97.1,95.1,95.9,95.7,91,93.7,96.7,95.2,99.2,96.2,99.1,102,108.7,108.9,111,112.5,108.8,109,117.4,119.1,111.2,113.7,106.6,110.7,83.4,86.2,87.8,87.8,93,99.1,100.1,101.1,101.2,100.1,100.1,98.4,99.2
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-1.1,-0.8,-0.4,0.4,-0.8,-1.2,-4.6,-4.6,5.3,-1.4,-2.2,-3.3,-4.6,-1.6,-4.6,-2.7,-3.1,-8,-1.8,-2.5,-7.8,-4.2,0
Operating Expenses,486.4,436.6,429.1,445.4,400.1,432.2,446,449.7,458.9,449.1,456.8,483.5,554.2,532.6,556.5,602.9,603.8,595.4,654.5,685.6,740.7,670.9,623.2,673,578.2,514.3,544.2,543.4,592.4,579.7,585,592.4,601,607.8,614.1,601.9,636.6
Operating Income,319,294.1,335.7,301.8,338.1,263,322.1,323.2,337.7,294.9,348.3,355.9,355.8,338.2,382.4,321.4,294.5,217.3,249.5,242.1,295.2,119.6,191.1,310.4,183.9,197.6,211.3,200.8,201.6,212.3,232.3,251.9,173.1,240.4,291.3,291.1,310.9
Interest Expense,0,0,0,0,0,0,2.7,23.4,22.9,22.6,22.7,22.9,17.8,24.6,25.3,24.4,26.7,-25.3,-44.4,-47,-47.5,-43.6,43.2,43.9,36.8,27.7,-25.2,-25.1,-25.2,18.8,21,26.4,32.1,32.1,-33.1,29.8,-28.5
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-15.3,-,0.7,1.1,0.8,"-1,871.8",49.8,90.3,54.2,86,92.2,-5,1.4,"-1,081",52.7,30.1,52.1,54,2.7,3.1,8,-116,2.5,74,4.2,61.9
Pretax Income,319,294.1,335.7,301.8,338.1,263,319.4,299.8,314.8,272.3,325.6,348.3,338,312.9,356,296.2,267.4,192.4,204.3,235.1,242.7,71.4,153.2,265.1,"1,264",118.7,207.5,174.1,175.7,190.8,208.2,217.5,257,205.8,250.4,257.1,277.5
Income Tax,90.1,90.4,108.3,105.2,102,81,80.5,72.9,90.3,72.6,85.5,80.5,1.1,51.7,61,50.9,27.3,28.4,29,27.8,63.9,29.1,22.9,39.3,12.5,7,25.5,23,7.8,25.7,35.2,27.6,29.8,32.2,41.4,39.1,12.3
Net Income,228.9,203.7,227.4,196.6,236.1,182,238.9,226.9,224.5,199.7,240.1,267.8,336.9,261.2,295,245.3,"2,112",164.4,174.6,207.1,192.8,41.9,130,225.8,"1,216",110.2,180.9,150.8,165,165.1,173,189.9,227.2,173.6,209,218,265.2
Net Income Growth,-,-,-,-,3.15%,-10.65%,5.06%,15.41%,-4.91%,9.73%,0.50%,18.03%,50.07%,30.80%,22.87%,-8.40%,526.98%,-37.06%,-40.81%,-15.57%,-90.87%,-74.51%,-25.54%,9.03%,530.50%,163.01%,39.15%,-33.22%,-86.43%,49.82%,-4.37%,25.93%,37.70%,5.15%,20.81%,14.80%,16.73%
Shares Outstanding (Basic),345,345,345,345,344,345,345,346,346,347,347,348,348,349,349,350,335,335,336,336,336,337,337,338,338,339,339,359,359,359,357,355,354,354,353,352,351
Shares Outstanding (Diluted),345,345,345,345,344,345,345,349,350,352,352,353,354,354,355,355,339,340,340,340,340,340,340,341,361,342,342,362,363,368,360,358,357,357,356,356,355
Shares Change,-,-,-,-,-0.35%,-,-,1.16%,1.66%,1.83%,2.03%,1.06%,1.20%,0.83%,0.80%,0.68%,-4.13%,-4.20%,-4.31%,-4.33%,0.24%,0.15%,-,0.26%,6.06%,0.50%,0.79%,6.28%,0.61%,7.81%,5.08%,-1.19%,-1.71%,-3.23%,-1.20%,-0.50%,-0.62%
EPS (Basic),0.66,0.59,0.66,0.57,0.69,0.53,0.69,0.66,0.65,0.58,0.69,0.77,0.97,0.75,0.84,0.65,6.26,0.44,0.47,0.56,0.52,0.07,0.33,0.61,3.55,0.27,0.48,0.42,0.46,0.46,0.48,0.53,0.64,0.49,0.59,0.62,0.75
EPS (Diluted),0.66,0.59,0.66,0.57,0.69,0.53,0.69,0.65,0.64,0.57,0.68,0.76,0.95,0.74,0.83,0.64,6.17,0.43,0.47,0.56,0.52,0.07,0.33,0.61,3.37,0.27,0.48,0.42,0.45,0.45,0.48,0.53,0.64,0.49,0.59,0.61,0.75
EPS Growth,-,-,-,-,4.55%,-10.17%,4.55%,14.04%,-7.25%,7.55%,-1.45%,16.92%,48.44%,29.82%,22.06%,-15.79%,549.47%,-41.89%,-43.37%,-12.50%,-91.57%,-83.72%,-29.79%,8.93%,548.08%,285.71%,45.45%,-31.15%,-86.65%,66.67%,0%,26.19%,42.22%,8.89%,22.92%,15.09%,17.19%
Free Cash Flow,373.5,70.5,261.9,201.7,354.8,148.8,277.6,303,277.9,121.5,216.9,286.9,415,139.6,314.5,351.8,426.2,132.2,234.3,349.9,442.5,157.2,453.5,455,371,136.4,270.8,251.3,252.6,196,276.1,307.2,428.1,149.6,300,383.5,-34.1
Free Cash Flow Per Share,1.08,0.20,0.76,0.58,1.03,0.43,0.80,0.87,0.79,0.35,0.62,0.81,1.17,0.39,0.89,0.99,1.26,0.39,0.69,1.03,1.30,0.46,1.34,1.34,1.03,0.40,0.79,0.69,0.70,0.53,0.77,0.86,1.20,0.42,0.84,1.08,-0.10
Gross Margin,47.73%,48.28%,48.87%,49.01%,47.28%,47.14%,49.39%,49.31%,48.96%,48.46%,49.43%,49.81%,50.37%,50.03%,50.59%,50.23%,51.11%,51.02%,48.48%,49.88%,51.73%,51.11%,51.83%,51.70%,57.52%,56.54%,57.25%,57.27%,57.75%,57.54%,56.96%,58.06%,58.34%,58.07%,59.32%,59.75%,100.00%
