,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-03-27,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31
Net Income,228.9,203.7,227.4,196.6,236.1,182,238.9,226.9,224.5,199.7,240.1,267.8,336.9,261.2,295,245.3,"2,112",164.4,174.6,207.1,192.8,41.9,130,225.8,"1,216",110.2,180.9,150.8,165,165.1,173,189.9,227.2,173.6,209,218,265.2
Depreciation & Amortization,42.2,43.7,44.9,43.6,44.7,43.9,44.9,45.1,42.5,36.7,37.1,39.9,60.4,60,58.2,66.6,76,81.9,110.4,116.8,117.1,117.6,119.1,115.9,31.4,97,95.7,98.8,104,117.8,116.2,115,116.6,112.8,113.5,114.8,0
Share-Based Compensation,7.9,8.9,6.9,8.5,10.9,11.5,10.9,12,10.9,12,13.3,11.9,11.4,11.9,14.6,14,10.3,12.9,15.9,16.7,15.9,16.1,22.7,21.4,2.4,16.6,20.2,18.4,22.2,19.9,25.1,22.9,25.9,26.7,29,29.5,0
Other Operating Activities,125.7,-161.7,11,-12.4,96.2,-60.2,15.9,47.6,39.6,-100.1,-44.8,-0.6,54.7,-162.1,-26,60.9,"-1,753.8",-103,-42.1,40.4,149.6,15.4,207.4,118.6,-964.6,-79,-17.3,-5.8,-16.6,-88,-19.9,2,94.5,-138.7,-30.5,49.1,-265.2
Operating Cash Flow,404.7,94.6,290.2,236.3,387.9,177.2,310.6,331.6,317.5,148.3,245.7,319,463.4,171,341.8,386.8,444.8,156.2,258.8,381,475.4,191,479.2,481.7,284.8,144.8,279.5,262.2,274.6,214.8,294.4,329.8,464.2,174.4,321,411.4,0
Operating Cash Flow Growth,-,-,-,-,-4.15%,87.32%,7.03%,40.33%,-18.15%,-16.31%,-20.90%,-3.80%,45.95%,15.31%,39.11%,21.25%,-4.01%,-8.65%,-24.28%,-1.50%,6.88%,22.28%,85.16%,26.43%,-40.09%,-24.19%,-41.67%,-45.57%,-3.58%,48.34%,5.33%,25.78%,69.05%,-18.81%,9.04%,24.74%,-
Capital Expenditures,-31.2,-24.1,-28.3,-34.6,-33.1,-28.4,-33,-28.6,-39.6,-26.8,-28.8,-32.1,-48.4,-31.4,-27.3,-35,-18.6,-24,-24.5,-31.1,-32.9,-33.8,-25.7,-26.7,86.2,-8.4,-8.7,-10.9,-22,-18.8,-18.3,-22.6,-36.1,-24.8,-21,-27.9,-34.1
Acquisitions,0,0,0,0,-37.1,-12.8,0,-177.8,0.5,0,0,-802.1,-754.5,-7.7,-1.6,"-2,815.9",10.1,0,"-3,237.1",-150.6,-556.2,-10.6,-0.8,-13.3,-15.7,-0.2,1.1,"-1,157.6","-1,413.4",0.9,-2.5,-7,5.4,0,0,-57.7,0
Other Investing Activities,8.9,2.6,0.1,0.4,-20,2,2.4,-0.1,4.6,-0.6,-2.4,4.5,21.5,0.1,3.8,0.2,956.7,-,-,-,1.8,0.2,5.5,0.1,-113.8,-,1.1,-,3.4,-,-,-,-3.5,-,4.9,2.3,-
Investing Cash Flow,-22.3,-21.5,-28.2,-34.2,-90.2,-39.2,-30.6,-206.5,-34.5,-27.4,-31.2,-829.7,-781.4,-39,-25.1,"-2,850.7",948.2,-24,"-3,261.6",-181.7,-587.3,-44.2,-21,-39.9,-43.3,-8.6,-6.5,"-1,168.5","-1,432",-17.9,-20.8,-29.6,-34.2,-24.8,-16.1,-83.3,-34.1
