,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,"3,758","2,853","2,834","4,135","3,861","3,962","4,454","3,533","8,539","5,313"
Depreciation & Amortization,0,0,0,"1,578",260,339,305,290,287,285
Other Operating Activities,264,"1,643","1,030",-421,382,"1,179","1,583","5,962","2,323","5,645"
Operating Cash Flow,"4,022","4,496","3,864","5,292","4,503","5,480","6,342","9,785","11,149","11,243"
Operating Cash Flow Growth,0.68%,11.79%,-14.06%,36.96%,-14.91%,21.70%,15.73%,54.29%,13.94%,0.84%
Acquisitions,-977,-766,264,"-14,248",0,0,-609,"-1,623","-1,184","-5,166"
Change in Investments,"-3,072","-1,464","-6,295","9,328","-1,892","-2,402","-4,639","-5,428","-5,138",72
Other Investing Activities,-393,-274,-263,-402,-530,-533,-657,-470,-337,-560
Investing Cash Flow,"-4,442","-2,504","-6,294","-5,322","-2,422","-2,935","-5,905","-7,521","-6,659","-5,654"
Dividends Paid,-517,-862,-862,"-1,173","-1,308","-1,337","-1,354","-1,388","-1,401","-1,375"
Share Issuance / Repurchase,-152,"-1,302",-627,167,-650,-929,"-1,326",-378,"-4,561","-2,630"
Debt Issued / Paid,947,199,"4,942",-1,-496,180,"2,318",-313,"1,576",-998
Other Financing Activities,113,188,242,265,135,95,211,-3,-23,-124
Financing Cash Flow,391,"-1,777","3,695",-742,"-2,319","-1,991",-151,"-2,082","-4,409","-5,127"
Exchange Rate Effect,-7,-139,-145,-25,1,-65,20,8,-106,-146
Net Cash Flow,-36,76,"1,120",-797,-237,489,306,190,-25,316
Free Cash Flow,"4,022","4,496","3,864","5,292","4,503","5,480","6,342","9,785","11,149","11,243"
Free Cash Flow Growth,0.68%,11.79%,-14.06%,36.96%,-14.91%,21.70%,15.73%,54.29%,13.94%,0.84%
Free Cash Flow Margin,20.88%,23.45%,20.35%,16.82%,13.97%,16.75%,18.55%,27.19%,27.22%,26.05%
Free Cash Flow Per Share,11.83,13.55,11.92,11.37,9.70,11.89,13.99,21.68,25.88,27.09
