,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"35,207","38,110","37,881","61,481","67,837","59,527","70,545","69,475","83,267","91,560","102,365"
Market Cap Growth,29.83%,8.25%,-0.60%,62.30%,10.34%,-12.25%,18.51%,-1.52%,19.85%,9.96%,-
Enterprise Value,"40,645","43,673","47,206","75,317","81,271","72,509","85,481","84,300","99,338","106,745","117,109"
PE Ratio,9.37,13.36,13.37,14.87,17.57,15.02,15.84,19.67,9.75,17.23,11.51
PS Ratio,1.83,1.99,2.00,1.95,2.10,1.82,2.06,1.93,2.03,2.12,2.13
PB Ratio,1.22,1.29,1.30,1.27,1.33,1.18,1.27,1.17,1.39,1.81,1.78
P/FCF Ratio,8.75,8.48,9.80,11.62,15.06,10.86,11.12,7.10,7.47,8.14,8.46
P/OCF Ratio,8.75,8.48,9.80,11.62,15.06,10.86,11.12,7.10,7.47,8.14,8.46
EV/Sales Ratio,2.11,2.28,2.49,2.39,2.52,2.22,2.50,2.34,2.43,2.47,2.43
EV/EBITDA Ratio,9.01,11.59,13.13,10.56,17.71,12.86,14.00,16.97,9.38,14.38,12.30
EV/EBIT Ratio,9.01,11.59,13.13,13.56,18.77,13.69,14.74,18.02,9.64,14.95,12.70
EV/FCF Ratio,10.11,9.71,12.22,14.23,18.05,13.23,13.48,8.62,8.91,9.49,9.68
Debt / Equity Ratio,0.21,0.21,0.38,0.31,0.28,0.28,0.30,0.28,0.30,0.30,0.26
Debt / EBITDA Ratio,1.33,1.65,3.09,2.08,3.11,2.54,2.72,3.35,1.69,2.05,1.55
Debt / FCF Ratio,1.50,1.38,2.87,2.80,3.17,2.61,2.61,1.70,1.60,1.35,1.22
Asset Turnover,0.21,0.20,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.22,0.23
Interest Coverage,16.41,13.45,11.99,9.18,7.13,8.27,10.51,9.07,20.95,12.52,14.12
Return on Equity (ROE),13.40%,9.60%,9.60%,8.70%,7.70%,7.80%,8.20%,6.30%,14.30%,10.30%,13.20%
Return on Assets (ROA),4.00%,2.90%,2.80%,2.60%,2.30%,2.40%,2.60%,1.90%,4.30%,2.70%,3.40%
Return on Capital (ROIC),11.49%,8.61%,7.68%,7.35%,6.86%,6.97%,6.84%,5.22%,11.56%,8.79%,11.55%
Earnings Yield,10.67%,7.49%,7.48%,6.73%,5.69%,6.66%,6.31%,5.09%,10.26%,5.80%,6.87%
FCF Yield,11.42%,11.80%,10.20%,8.61%,6.64%,9.21%,8.99%,14.08%,13.39%,12.28%,11.82%
Dividend Yield,2.00%,2.20%,2.30%,2.10%,1.90%,2.20%,1.90%,2.00%,1.60%,1.50%,1.37%
Payout Ratio,18.30%,30.40%,30.50%,30.60%,34.10%,33.90%,30.50%,39.50%,16.40%,26.00%,15.78%
Buyback Yield / Dilution,-0.08%,2.45%,2.28%,-43.54%,0.24%,0.74%,1.65%,0.40%,4.57%,3.64%,1.65%
Total Shareholder Return,1.92%,4.65%,4.58%,-41.44%,2.14%,2.94%,3.55%,2.40%,6.17%,5.14%,3.02%
