,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,579,655,"1,775",985,851,"1,340","1,646","1,836","1,811",0
Cash & Cash Equivalents,579,655,"1,775",985,851,"1,340","1,646","1,836","1,811",0
Cash Growth,-5.85%,13.13%,170.99%,-44.51%,-13.60%,57.46%,22.84%,11.54%,-1.36%,-
Receivables,"6,701","7,452","7,405","11,418","11,863","12,619","13,004","13,249","14,350","15,069"
Goodwill and Intangibles,"5,404","5,724","5,683","22,095","22,054","21,414","21,359","21,211","20,668","21,669"
Total Assets,"94,510","98,248","102,306","159,786","167,022","167,771","176,943","190,774","200,054","199,017"
Accounts Payable,"10,071","11,152","11,522","15,347","17,150","18,835","34,573","38,196","41,444","35,310"
Deferred Revenue,"7,539","8,222","8,439","14,779","15,216","15,532","16,771","17,652","19,101","19,713"
Total Liabilities,"65,685","68,661","73,171","111,511","115,850","117,459","121,612","131,333","140,340","148,498"
Total Debt,"6,017","6,218","11,100","14,821","14,285","14,322","16,582","16,661","17,882","15,185"
Debt Growth,18.68%,3.34%,78.51%,33.52%,-3.62%,0.26%,15.78%,0.48%,7.33%,-15.08%
Common Stock,"13,882","11,752","10,392","24,976","23,155","21,060","18,570","17,235","11,999","12,399"
Retained Earnings,"13,791","16,644","19,478","23,613","27,474","31,700","36,142","39,337","47,365","48,305"
Comprehensive Income,"1,152","1,191",-735,-314,543,"-2,448",619,"2,869",350,"-10,185"
Shareholders' Equity,"28,825","29,587","29,135","48,275","51,172","50,312","55,331","59,441","59,714","50,519"
Net Cash / Debt,"-5,438","-5,563","-9,325","-13,836","-13,434","-12,982","-14,936","-14,825","-16,071","-15,185"
Book Value Per Share,84.76,89.19,89.87,103.74,110.23,109.18,122.09,131.69,138.63,121.72
