,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,-,"205,187","197,219","266,764","464,240","469,249","511,920","615,005","294,345","267,099","176,985"
Market Cap Growth,-,-,-3.88%,35.26%,74.03%,1.08%,9.09%,20.14%,-52.14%,-9.26%,-
Enterprise Value,"-2,766","192,961","188,231","258,192","450,847","458,970","477,951","564,124","245,323","214,243","113,991"
PE Ratio,-,52.61,17.85,42.09,45.86,35.89,24.01,26.88,30.40,25.31,13.69
PS Ratio,-,16.67,12.61,11.62,11.72,8.34,7.03,5.63,2.21,2.11,1.35
PB Ratio,-,8.74,5.88,6.59,8.02,6.39,4.74,4.31,1.99,1.85,1.25
P/FCF Ratio,-,37.91,27.73,25.59,27.64,31.03,24.23,21.19,21.06,11.05,8.03
P/OCF Ratio,-,30.83,22.44,22.19,23.33,20.82,19.84,17.43,13.20,9.19,6.61
EV/Sales Ratio,-0.33,15.68,12.04,11.24,11.39,8.16,6.56,5.17,1.84,1.69,0.87
EV/EBITDA Ratio,-0.57,31.50,13.69,23.91,26.42,20.96,15.38,15.96,11.05,10.42,4.61
EV/EBIT Ratio,-0.60,35.74,14.87,29.59,33.19,28.05,19.10,20.11,16.71,15.62,6.32
EV/FCF Ratio,-0.79,35.65,26.47,24.76,26.84,30.35,22.63,19.43,17.55,8.86,5.17
Debt / Equity Ratio,1.40,0.36,0.27,0.33,0.34,0.27,0.17,0.16,0.15,0.16,0.16
Debt / EBITDA Ratio,1.35,1.39,0.65,1.23,1.16,0.92,0.58,0.64,1.00,1.14,0.94
Debt / FCF Ratio,1.90,1.57,1.25,1.28,1.18,1.33,0.85,0.78,1.58,0.97,1.06
Quick Ratio,1.74,3.69,2.66,2.01,2.06,1.40,2.09,1.87,1.86,2.00,1.97
Current Ratio,1.81,3.58,2.57,1.94,1.89,1.30,1.91,1.71,1.66,1.81,1.80
Asset Turnover,0.60,0.42,0.30,0.34,0.39,0.43,0.42,0.47,0.50,0.50,0.52
Interest Coverage,13.08,12.16,42.06,22.51,24.08,21.12,33.82,41.18,19.14,15.93,17.10
Return on Equity (ROE),157.40%,27.60%,35.50%,17.20%,19.10%,19.80%,22.80%,17.00%,6.40%,7.50%,9.90%
Return on Assets (ROA),26.30%,13.20%,21.40%,9.40%,10.00%,10.00%,12.40%,9.80%,3.60%,4.20%,5.60%
Return on Capital (ROIC),31.12%,9.24%,9.48%,9.86%,10.99%,7.67%,9.12%,6.91%,4.47%,7.18%,8.03%
Earnings Yield,-,1.90%,5.60%,2.38%,2.18%,2.79%,4.17%,3.72%,3.29%,3.95%,7.97%
FCF Yield,-,2.64%,3.61%,3.91%,3.62%,3.22%,4.13%,4.72%,4.75%,9.05%,12.46%
Dividend Yield,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.35%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.38%
Buyback Yield / Dilution,2.39%,-7.20%,-2.48%,-0.40%,-1.47%,-0.51%,-1.71%,-2.98%,0.89%,3.09%,2.83%
Total Shareholder Return,2.39%,-7.20%,-2.48%,-0.40%,-1.47%,-0.51%,-1.71%,-2.98%,0.89%,3.09%,4.18%
