,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"10,062","13,763","12,340","22,518","31,924","53,246","107,389","129,173","78,431","144,830","156,825"
Market Cap Growth,29.52%,36.78%,-10.34%,82.48%,41.77%,66.79%,101.69%,20.29%,-39.28%,84.66%,-
Enterprise Value,"9,837","13,436","11,949","21,912","31,088","52,685","106,432","128,083","76,383","142,237","154,232"
PE Ratio,-56.09,-69.36,-29.79,-192.72,-1195.49,84.92,902.43,561.62,241.33,83.67,90.86
PS Ratio,14.74,13.69,8.87,11.74,12.24,15.39,23.76,21.91,10.83,16.14,17.48
PB Ratio,23.47,24.28,31.89,28.92,28.73,25.02,37.89,34.96,15.59,18.99,20.56
P/FCF Ratio,116.25,59.77,230.58,45.73,56.78,59.29,79.31,71.80,36.09,53.56,58.00
P/OCF Ratio,71.39,43.31,77.57,35.02,39.36,43.08,60.13,58.96,28.80,42.62,46.15
EV/Sales Ratio,14.41,13.36,8.59,11.42,11.92,15.23,23.55,21.72,10.54,15.86,17.19
EV/EBITDA Ratio,-94.20,-132.30,-40.63,406.82,190.36,149.67,205.07,177.65,91.81,90.60,98.24
EV/EBIT Ratio,-67.15,-82.98,-31.68,-365.14,2267.72,526.85,581.60,514.39,191.43,141.11,153.01
EV/FCF Ratio,113.64,58.35,223.26,44.50,55.29,58.67,78.61,71.20,35.15,52.60,57.04
Debt / Equity Ratio,1.03,0.84,1.31,1.51,0.60,0.53,0.75,0.60,0.44,0.30,0.30
Debt / EBITDA Ratio,-4.25,-4.67,-1.73,21.79,4.05,3.21,4.11,3.07,2.68,1.45,1.45
Debt / FCF Ratio,5.12,2.06,9.49,2.38,1.18,1.26,1.58,1.23,1.03,0.84,0.84
Quick Ratio,1.63,1.37,1.14,1.09,1.03,0.92,1.10,0.95,1.00,0.94,0.94
Current Ratio,1.79,1.48,1.25,1.19,1.17,1.03,1.21,1.06,1.11,1.06,1.06
Asset Turnover,0.52,0.62,0.75,0.66,0.71,0.70,0.62,0.62,0.62,0.59,0.59
Interest Coverage,-5.04,-5.21,-11.33,-1.12,0.26,3.03,5.55,-,-,-,-
Return on Equity (ROE),-43.50%,-39.70%,-120.40%,-20.90%,-2.70%,41.70%,4.60%,6.80%,7.30%,25.30%,25.30%
Return on Assets (ROA),-13.80%,-12.20%,-22.30%,-4.00%,-0.70%,12.70%,1.60%,2.40%,2.80%,11.30%,11.30%
Return on Capital (ROIC),-17.41%,-15.98%,-42.71%,-3.30%,-2.39%,12.06%,3.18%,4.02%,3.98%,13.20%,13.20%
Earnings Yield,-1.78%,-1.44%,-3.36%,-0.52%,-0.08%,1.18%,0.11%,0.18%,0.41%,1.20%,1.10%
FCF Yield,0.86%,1.67%,0.43%,2.19%,1.76%,1.69%,1.26%,1.39%,2.77%,1.87%,1.72%
Buyback Yield / Dilution,-7.34%,-7.12%,-5.67%,-4.04%,-3.90%,-10.90%,-2.66%,-0.34%,-0.18%,-1.01%,-1.01%
Total Shareholder Return,-7.34%,-7.12%,-5.67%,-4.04%,-3.90%,-10.90%,-2.66%,-0.34%,-0.18%,-1.01%,-1.01%
