,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"8,091","10,343","10,936","10,694","7,726","6,173","8,744","6,492","15,195","13,099","13,232"
Market Cap Growth,2.74%,27.83%,5.73%,-2.22%,-27.76%,-20.09%,41.65%,-25.76%,134.06%,-13.79%,-
Enterprise Value,"12,164","14,752","16,123","15,618","12,966","10,904","14,029","11,651","22,460","20,221","20,047"
PE Ratio,45.46,28.28,13.16,32.15,20.74,14.04,25.72,6.66,18.56,130.01,27.65
PS Ratio,9.39,10.41,9.37,9.13,6.43,5.30,7.55,6.14,11.14,7.58,7.47
PB Ratio,1.75,2.17,2.17,2.04,1.43,1.16,1.80,1.16,1.54,1.38,1.38
P/FCF Ratio,16.39,15.56,157.53,24.86,29.20,7.21,18.92,17.83,37.79,23.78,24.31
P/OCF Ratio,14.19,16.43,22.15,18.06,12.58,9.68,14.98,11.00,24.55,15.21,12.76
EV/Sales Ratio,14.12,14.84,13.82,13.34,10.80,9.36,12.11,11.01,16.46,11.70,11.32
EV/EBITDA Ratio,16.46,15.98,10.62,15.54,13.26,10.98,16.26,7.88,15.52,22.11,15.02
EV/EBIT Ratio,25.28,22.69,13.74,24.03,21.01,15.97,23.99,9.80,21.36,49.38,24.24
EV/FCF Ratio,24.64,22.19,232.25,36.30,49.01,12.74,30.35,31.99,55.86,36.70,36.83
Debt / Equity Ratio,0.91,0.96,1.07,0.96,1.02,0.91,1.11,0.97,0.77,0.76,0.75
Debt / EBITDA Ratio,5.71,4.98,3.54,5.04,5.60,4.91,6.27,3.69,5.25,7.95,5.42
Debt / FCF Ratio,8.55,6.91,77.44,11.78,20.71,5.70,11.70,14.97,18.90,13.20,13.30
Asset Turnover,0.09,0.10,0.10,0.10,0.10,0.10,0.11,0.09,0.09,0.10,0.10
Interest Coverage,2.27,3.19,5.36,3.38,3.22,3.72,3.30,6.36,5.15,1.81,3.40
Return on Equity (ROE),3.80%,7.80%,16.70%,6.30%,7.10%,8.20%,6.70%,18.20%,10.50%,1.00%,4.60%
Return on Assets (ROA),1.80%,3.60%,7.20%,3.00%,3.20%,3.90%,3.10%,8.50%,5.40%,0.60%,2.50%
Return on Capital (ROIC),2.48%,3.15%,3.09%,2.41%,3.97%,5.69%,4.69%,3.00%,2.41%,2.32%,2.91%
Earnings Yield,2.20%,3.54%,7.60%,3.11%,4.82%,7.12%,3.89%,15.03%,5.39%,0.77%,3.32%
FCF Yield,6.10%,6.43%,0.63%,4.02%,3.42%,13.86%,5.29%,5.61%,2.65%,4.21%,4.11%
Dividend Yield,4.30%,3.60%,3.70%,4.10%,6.00%,7.60%,5.40%,3.60%,2.80%,4.00%,5.24%
Payout Ratio,198.80%,102.80%,48.50%,131.00%,125.30%,109.80%,140.00%,23.90%,42.20%,525.00%,144.79%
Buyback Yield / Dilution,-0.47%,-0.59%,-0.44%,-1.66%,-1.03%,0.62%,-0.10%,-2.33%,-18.48%,-20.82%,0.12%
Total Shareholder Return,3.83%,3.01%,3.26%,2.44%,4.97%,8.22%,5.30%,1.27%,-15.68%,-16.82%,5.36%
