,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"11,534","14,299","13,255","12,812","19,202","18,346","27,136","31,349","42,318","30,264","22,311"
Market Cap Growth,28.54%,23.97%,-7.30%,-3.34%,49.88%,-4.46%,47.91%,15.53%,34.99%,-28.48%,-
Enterprise Value,"17,236","22,062","21,563","21,404","28,411","28,108","39,858","44,435","56,408","45,249","36,850"
PE Ratio,-206.31,-588.55,-75.46,168.05,185.25,386.62,184.61,1300.56,178.09,65.59,45.45
PS Ratio,8.84,9.36,8.09,7.85,11.11,9.83,13.47,15.05,18.33,11.49,8.19
PB Ratio,32.31,-21.64,-7.77,-6.42,-7.39,-5.43,-7.40,-6.50,-8.01,-5.74,-4.20
P/FCF Ratio,35.09,30.88,25.77,21.26,28.60,26.18,33.26,31.43,40.07,28.25,19.23
P/OCF Ratio,23.18,21.20,18.33,17.25,23.46,21.57,27.97,27.84,35.56,23.54,15.93
EV/Sales Ratio,13.21,14.45,13.16,13.11,16.44,15.07,19.78,21.33,24.43,17.18,13.53
EV/EBITDA Ratio,22.26,23.69,26.38,20.25,26.15,25.49,31.21,40.50,41.70,27.68,21.48
EV/EBIT Ratio,71.54,72.56,137.10,51.12,64.06,65.29,68.74,118.48,86.44,48.79,37.32
EV/FCF Ratio,52.44,47.64,41.92,35.52,42.31,40.11,48.86,44.55,53.41,42.24,31.76
Debt / Equity Ratio,16.46,-11.90,-4.95,-4.40,-3.58,-2.94,-3.51,-2.78,-2.75,-2.88,-2.86
Debt / EBITDA Ratio,7.59,8.44,10.34,8.30,8.57,9.01,10.07,12.24,10.74,9.28,8.61
Debt / FCF Ratio,17.88,16.97,16.43,14.56,13.87,14.18,15.76,13.46,13.75,14.16,12.73
Quick Ratio,0.37,0.70,0.89,0.31,0.75,0.26,0.28,0.73,0.95,0.65,0.62
Current Ratio,0.46,0.99,1.08,0.37,0.93,0.31,0.32,0.77,1.00,0.69,0.69
Asset Turnover,0.20,0.20,0.22,0.22,0.24,0.26,0.22,0.23,0.24,0.26,0.26
Interest Coverage,0.81,0.95,0.49,1.26,1.36,1.14,1.47,0.95,1.63,2.32,2.23
Return on Equity (ROE),-11.50%,24.10%,12.60%,-4.40%,-4.70%,-1.60%,-4.20%,-0.50%,-4.70%,-8.60%,-9.50%
Return on Assets (ROA),-0.90%,-0.30%,-2.30%,1.00%,1.40%,0.70%,1.60%,0.30%,2.40%,4.50%,4.70%
Return on Capital (ROIC),3.68%,4.67%,4.63%,4.99%,6.06%,7.61%,5.00%,7.37%,7.97%,8.18%,9.00%
Earnings Yield,-0.48%,-0.17%,-1.33%,0.60%,0.54%,0.26%,0.54%,0.08%,0.56%,1.52%,2.22%
FCF Yield,2.85%,3.24%,3.88%,4.70%,3.50%,3.82%,3.01%,3.18%,2.50%,3.54%,5.20%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.70%,0.60%,1.00%,1.64%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.90%,845.50%,106.90%,66.50%,74.73%
Buyback Yield / Dilution,-6.23%,-0.90%,0.87%,2.07%,3.29%,3.72%,1.56%,1.07%,2.02%,1.61%,0.43%
Total Shareholder Return,-6.23%,-0.90%,0.87%,2.07%,3.29%,3.72%,1.86%,1.77%,2.62%,2.61%,2.07%
