,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"7,971","7,630","8,541","10,587","11,879","10,814","17,384","14,645","17,164","23,221","32,134"
Market Cap Growth,32.61%,-4.28%,11.93%,23.96%,12.20%,-8.97%,60.75%,-15.75%,17.19%,35.29%,-
Enterprise Value,"8,437","8,036","9,309","12,233","13,822","12,357","19,013","16,756","19,029","25,091","34,001"
PE Ratio,11.59,9.39,16.56,15.93,20.97,15.15,10.90,10.74,8.20,16.17,11.11
PS Ratio,2.26,1.91,2.17,2.37,2.11,1.98,2.51,1.72,1.86,2.42,2.52
PB Ratio,1.41,1.25,1.39,1.28,1.29,1.15,1.51,1.12,1.27,1.80,2.11
P/FCF Ratio,9.57,7.50,8.70,7.77,11.08,7.07,8.65,5.14,5.07,6.17,6.41
P/OCF Ratio,9.37,7.36,8.56,7.69,10.85,6.94,8.49,5.07,5.01,6.09,6.34
EV/Sales Ratio,2.39,2.01,2.36,2.74,2.46,2.27,2.75,1.97,2.06,2.61,2.67
EV/EBITDA Ratio,10.96,8.90,14.39,15.11,13.96,11.25,9.53,9.69,7.59,13.99,9.83
EV/EBIT Ratio,10.96,8.90,14.91,15.48,15.99,12.45,9.94,10.09,7.85,14.87,10.11
EV/FCF Ratio,10.12,7.90,9.48,8.98,12.89,8.08,9.46,5.89,5.62,6.67,6.78
Debt / Equity Ratio,0.16,0.15,0.21,0.30,0.28,0.23,0.20,0.23,0.20,0.21,0.18
Debt / EBITDA Ratio,1.17,0.99,2.04,3.07,2.57,1.99,1.18,1.74,1.09,1.52,0.79
Debt / FCF Ratio,1.08,0.88,1.35,1.83,2.38,1.43,1.17,1.06,0.80,0.72,0.54
Asset Turnover,0.19,0.18,0.17,0.17,0.18,0.17,0.20,0.21,0.21,0.21,0.25
Interest Coverage,28.44,19.79,13.61,11.93,7.36,8.24,15.83,11.58,17.39,12.95,25.73
Return on Equity (ROE),12.70%,13.40%,8.30%,9.30%,6.40%,7.70%,14.70%,11.20%,15.50%,11.50%,20.60%
Return on Assets (ROA),3.60%,3.70%,2.20%,2.60%,1.80%,2.20%,4.50%,3.30%,4.60%,3.10%,5.60%
Return on Capital (ROIC),11.41%,11.17%,6.79%,7.88%,6.99%,6.67%,13.11%,10.27%,12.77%,9.21%,16.86%
Earnings Yield,8.63%,10.65%,6.04%,6.28%,4.77%,6.60%,9.17%,9.31%,12.20%,6.19%,9.11%
FCF Yield,10.45%,13.33%,11.50%,12.87%,9.02%,14.14%,11.57%,19.44%,19.73%,16.21%,15.61%
Buyback Yield / Dilution,1.79%,0.63%,6.58%,1.05%,-11.66%,1.17%,0.31%,0.33%,2.42%,5.68%,-1.53%
Total Shareholder Return,1.79%,0.63%,6.58%,1.05%,-11.66%,1.17%,0.31%,0.33%,2.42%,5.68%,-1.53%
