,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"16,778","16,778","16,778","6,182","4,123","7,464","17,440","25,664","21,177","36,217"
Market Cap Growth,-,0%,0%,-63.15%,-33.31%,81.05%,133.65%,47.15%,-17.48%,-
Enterprise Value,-,"19,345","19,300","7,829","5,574","8,570","19,589","26,995","22,317","37,345"
PE Ratio,-124.26,-47.77,-458.17,335.98,15.30,46.92,-538.28,45.62,35.02,47.09
PS Ratio,6.53,7.89,8.65,2.60,1.53,3.04,3.55,4.98,3.58,5.27
PB Ratio,0,42.99,63.10,4.19,2.46,3.99,1.91,2.85,2.30,3.70
P/FCF Ratio,245.80,165.95,183.91,43.02,10.51,24.87,20.15,46.54,27.66,27.21
P/OCF Ratio,118.32,97.49,101.29,30.83,9.27,21.74,19.08,41.70,24.62,26.29
EV/Sales Ratio,-,9.10,9.95,3.30,2.07,3.50,3.99,5.24,3.77,5.43
EV/EBITDA Ratio,-,50.06,58.10,27.19,8.84,18.71,31.88,26.16,17.44,26.53
EV/EBIT Ratio,-,86.59,121.03,68.61,12.38,30.61,172.44,44.28,26.36,35.89
EV/FCF Ratio,-,191.34,211.56,54.48,14.21,28.56,22.63,48.96,29.15,28.05
Debt / Equity Ratio,0,7.16,10.45,1.38,1.00,0.86,0.43,0.38,0.30,0.29
Debt / EBITDA Ratio,-,7.23,8.36,7.09,2.65,3.52,6.35,3.33,2.15,1.93
Debt / FCF Ratio,-,27.64,30.45,14.20,4.26,5.37,4.50,6.24,3.59,2.05
Quick Ratio,0,1.46,1.40,1.65,1.25,1.68,1.81,2.08,1.63,1.46
Current Ratio,0,2.68,2.39,2.61,2.23,2.69,2.58,2.80,2.37,2.26
Asset Turnover,0,0.48,0.45,0.51,0.60,0.53,0.31,0.34,0.40,0.45
Interest Coverage,0.29,-1.26,0.61,0.77,4.45,3.10,0.77,6.45,7.92,8.04
Return on Equity (ROE),-,-90.00%,-13.77%,1.25%,16.07%,8.51%,-0.36%,6.25%,6.58%,7.96%
Return on Assets (ROA),-,-7.87%,-0.85%,0.40%,6.00%,3.44%,-0.20%,3.71%,4.10%,5.00%
Return on Capital (ROIC),-,-6.45%,3.43%,3.09%,10.20%,6.59%,0.66%,4.74%,5.46%,7.14%
Earnings Yield,-0.80%,-2.09%,-0.22%,0.30%,6.53%,2.13%,-0.19%,2.19%,2.86%,2.15%
FCF Yield,0.41%,0.60%,0.54%,2.32%,9.52%,4.02%,4.96%,2.15%,3.62%,3.68%
Dividend Yield,2.33%,0.28%,0.01%,32.52%,0.00%,0.00%,0.00%,0.03%,0.15%,0.09%
Payout Ratio,-289.80%,-13.55%,-2.71%,10927.72%,0.00%,0.00%,0.00%,1.46%,5.36%,4.21%
Buyback Yield / Dilution,,-,-,-,0.70%,-10.99%,0.10%,-83.25%,-10.03%,2.61%
Total Shareholder Return,2.33%,0.28%,0.01%,33.23%,-10.99%,0.10%,-83.25%,-10.00%,2.76%,0.09%
