,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"20,596","18,548","17,555","21,308","20,237","37,810","45,168","93,131","54,950","99,232","90,872"
Market Cap Growth,11.38%,-9.94%,-5.35%,21.38%,-5.03%,86.84%,19.46%,106.19%,-41.00%,80.59%,-
Enterprise Value,"28,151","22,868","24,660","34,250","28,203","47,415","49,511","99,725","64,159",-,"99,232"
PE Ratio,13.00,26.13,16.89,14.49,13.13,9.78,19.97,7.53,18.38,0,49.19
PS Ratio,3.16,4.42,4.00,3.60,3.49,6.12,8.63,5.59,7.70,-,14.82
PB Ratio,2.92,2.96,2.72,3.21,3.17,5.39,6.79,9.88,7.18,0,0
P/FCF Ratio,12.68,7.93,-31.18,-8.62,739.50,19.87,24.76,23.75,9.01,-,46.65
P/OCF Ratio,12.44,7.74,-32.43,-8.70,442.41,19.26,23.33,23.36,8.67,-,43.72
EV/Sales Ratio,4.31,5.45,5.62,5.79,4.87,7.68,9.46,5.99,9.00,-,16.18
EV/EBITDA Ratio,8.55,14.05,11.33,9.04,14.00,22.88,33.63,14.01,24.63,-,56.32
EV/EBIT Ratio,8.82,14.99,11.78,9.15,14.42,23.69,35.33,14.16,25.28,-,57.03
EV/FCF Ratio,17.33,9.78,-43.79,-13.85,1030.61,24.92,27.14,25.43,10.52,-,50.94
Debt / Equity Ratio,1.27,0.98,1.38,2.25,1.59,1.68,0.95,0.92,1.76,0,0
Debt / EBITDA Ratio,3.27,5.51,2.83,2.36,7.41,4.91,8.00,0.89,3.35,-,-
Debt / FCF Ratio,6.64,3.84,-10.94,-3.62,545.74,5.35,6.46,1.62,1.43,-,-
Quick Ratio,0.20,0.36,0.37,0.38,0.38,7.12,8.49,7.91,7.65,0,0
Current Ratio,0.13,0.24,0.24,0.22,0.23,7.12,8.49,7.91,7.65,0,0
Asset Turnover,0.21,0.19,0.17,0.17,0.20,0.19,0.20,0.40,0.17,0,0.15
Interest Coverage,2.43,2.44,2.27,2.45,11.92,10.03,8.43,35.52,8.00,0,0
Return on Equity (ROE),25.13%,10.05%,16.58%,22.76%,23.23%,60.60%,32.26%,186.03%,31.72%,-,-
Return on Assets (ROA),5.34%,2.25%,4.61%,5.57%,4.48%,13.37%,6.94%,47.11%,7.26%,-,-
Return on Capital (ROIC),17.31%,8.52%,15.91%,19.92%,8.42%,12.24%,6.44%,49.46%,12.08%,-,-
Earnings Yield,7.69%,3.83%,5.92%,6.90%,7.62%,10.22%,5.01%,13.29%,5.44%,0.00%,2.16%
FCF Yield,7.89%,12.60%,-3.21%,-11.61%,0.14%,5.03%,4.04%,4.21%,11.10%,0.00%,2.14%
Dividend Yield,11.40%,18.86%,11.50%,13.34%,15.05%,6.34%,5.28%,4.94%,11.86%,0.00%,2.94%
Payout Ratio,148.21%,492.73%,194.25%,193.26%,197.59%,62.00%,105.49%,37.19%,218.10%,0.00%,144.62%
Buyback Yield / Dilution,-3.83%,-93.76%,-0.59%,44.25%,-81.16%,43.98%,-3.12%,-3.23%,-2.94%,-2.31%,-2.03%
Total Shareholder Return,7.57%,-74.90%,10.91%,57.59%,-66.10%,50.32%,2.16%,1.71%,8.92%,-2.31%,0.91%
