,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Revenue,"2,729","2,594","2,799","2,478","2,616","6,120","7,124","6,570","6,793","6,267","6,670","6,324","6,637","6,280","6,835","6,304","6,690","6,383","6,891","5,959","6,406","6,076","6,536","6,157","6,648","6,441","6,939","6,394","6,615","6,324","6,709","6,045","6,554","6,505","7,381","6,489","6,721","6,570","6,860"
Revenue Growth (YoY),-,-,-,-,-4.14%,135.93%,154.52%,165.13%,159.67%,2.40%,-6.37%,-3.74%,-2.30%,0.21%,2.47%,-0.32%,0.80%,1.64%,0.82%,-5.47%,-4.25%,-4.81%,-5.15%,3.32%,3.78%,6.01%,6.17%,3.85%,-0.50%,-1.82%,-3.31%,-5.46%,-0.92%,2.86%,10.02%,7.34%,2.55%,1.00%,-7.06%
Cost of Revenue,"1,844","1,827","1,904","1,631","1,734","4,492","4,720","4,192","4,262","4,049","4,651","4,125","4,204","4,077","4,637","4,040","4,343","4,289","4,675","3,948","4,324","4,129","4,429","4,299","4,196","4,097","4,416","4,193","4,324","4,296","4,547","4,114","4,570","4,662","5,017","4,376","4,460","4,335","4,543"
Gross Profit,885,767,895,847,882,"1,628","2,404","2,378","2,531","2,218","2,019","2,199","2,433","2,203","2,198","2,264","2,347","2,094","2,216","2,011","2,082","1,947","2,107","1,858","2,452","2,344","2,523","2,201","2,291","2,028","2,162","1,931","1,984","1,843","2,364","2,113","2,261","2,235","2,317"
"Selling, General & Admin",511,358,543,338,438,"1,229","1,117",865,895,805,980,766,789,665,756,764,990,"1,020","16,352","1,449","1,348",767,"1,513","1,088","3,791","1,197",973,"1,112","1,056",872,"2,182",816,"1,442","1,092","1,138",870,885,"1,582","1,017"
Operating Expenses,511,358,543,338,438,"1,229","1,117",865,895,805,980,766,789,665,756,764,990,"1,020","16,352","1,449","1,348",767,"1,513","1,088","3,791","1,197",973,"1,112","1,056",872,"2,182",816,"1,442","1,092","1,138",870,885,"1,582","1,017"
Operating Income,374,409,352,509,444,399,"1,287","1,513","1,636","1,413","1,039","1,433","1,644","1,538","1,442","1,500","1,357","1,074","-14,136",562,734,"1,180",594,770,"-1,339","1,147","1,550","1,089","1,235","1,156",-20,"1,115",542,751,"1,226","1,243","1,376",653,"1,300"
Interest Expense / Income,168,167,182,201,394,460,266,249,264,311,310,313,307,306,308,317,316,326,325,321,316,398,326,310,442,314,328,415,613,415,604,242,234,228,217,227,228,228,229
Other Expense / Income,45,30,1,-36,249,111,-6,-4,11,-2,-467,-132,-252,-128,-124,-90,-21,-72,-47,-381,-134,-381,-58,-78,-79,-72,-62,-25,-21,-135,-102,-93,-91,-19,-45,-34,-26,-43,121
Pretax Income,161,212,169,344,-199,-172,"1,027","1,268","1,361","1,104","1,196","1,252","1,589","1,360","1,258","1,273","1,062",820,"-14,414",622,552,"1,163",326,538,"-1,702",905,"1,284",699,643,876,-522,966,399,542,"1,054","1,050","1,174",468,950
