,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30,Current
Market Capitalization,-,-,-,"88,961","88,291","96,097","107,296","108,992","106,292","110,528","104,278","94,475","94,748","75,919","76,588","67,193","53,131","39,815","37,867","33,965","38,613","29,607","37,755","35,614","42,767","48,964","49,770","44,519","43,190","48,081","47,000","41,567","49,867","47,371","43,567","41,320","45,357","42,696"
Market Cap Growth,-,-,-,-,-,-,-,22.52%,20.39%,15.02%,-2.81%,-13.32%,-10.86%,-31.31%,-26.55%,-28.88%,-43.92%,-47.56%,-50.56%,-49.45%,-27.32%,-25.64%,-0.30%,4.86%,10.76%,65.38%,31.82%,25.01%,0.99%,-1.80%,-5.57%,-6.63%,15.46%,-1.48%,-7.30%,-0.59%,-9.04%,-
Enterprise Value,"11,060",-,"11,491","109,774","108,688","117,065","135,812","137,752","134,492","139,966","133,921","124,543","124,622","106,429","107,387","98,203","83,169","69,829","67,546","62,322","65,578","56,983","63,803","61,311","67,656","73,810","70,984","66,218","61,560","66,853","66,400","60,640","68,897","66,650","62,617","60,146","63,989","61,328"
PE Ratio,-,-,-,-156.62,-331.92,179.96,65.11,39.02,31.12,32.38,27.43,24.20,8.66,6.87,7.19,6.51,-5.21,-3.69,-3.41,-3.14,19.95,15.52,-196.64,-72.09,120.13,90.51,22.99,19.35,42.68,39.25,30.98,34.18,21.10,19.55,13.80,13.83,15.89,15.07
PS Ratio,-,-,-,6.35,4.82,4.28,4.03,4.07,4.04,4.24,4.03,3.65,3.63,2.91,2.93,2.56,2.02,1.54,1.48,1.34,1.55,1.18,1.49,1.38,1.63,1.85,1.89,1.70,1.66,1.87,1.83,1.61,1.88,1.76,1.61,1.52,1.70,1.60
PB Ratio,-,-,-,1.51,1.53,1.66,1.86,1.89,1.85,1.92,1.79,1.61,1.44,1.15,1.17,1.03,1.03,0.77,0.74,0.66,0.75,0.58,0.77,0.72,0.85,0.97,1.00,0.89,0.88,0.97,0.96,0.86,1.02,0.96,0.88,0.84,0.92,0.86
P/FCF Ratio,-,-,-,89.41,141.49,319.26,140.99,257.06,75.87,126.03,704.58,336.21,-136.72,159.83,-1629.54,126.54,30.40,24.61,13.30,11.82,13.87,10.54,9.77,8.27,9.87,10.13,12.53,13.93,9.69,11.59,14.62,11.71,32.11,31.56,19.14,16.47,15.31,14.41
P/OCF Ratio,-,-,-,57.21,69.41,80.15,60.96,70.68,40.14,50.49,66.38,57.33,189.12,49.82,85.57,49.30,20.64,16.12,10.28,9.21,10.87,8.56,8.50,7.29,8.68,8.86,10.50,10.99,8.05,9.54,11.40,9.38,20.20,19.19,13.34,11.57,11.41,10.74
Debt / Equity Ratio,1.88,-,2.02,0.43,0.44,0.43,0.57,0.57,0.56,0.57,0.53,0.54,0.48,0.49,0.52,0.50,0.60,0.60,0.60,0.59,0.57,0.64,0.59,0.58,0.56,0.54,0.50,0.48,0.44,0.44,0.43,0.42,0.41,0.41,0.40,0.40,0.40,0.40
Quick Ratio,1.02,-,1.19,1.05,0.91,0.88,0.57,0.53,0.54,0.50,0.39,0.30,0.29,0.33,0.59,0.45,0.43,0.39,0.45,0.47,0.54,0.97,0.60,0.61,0.68,0.59,0.60,0.50,0.60,0.56,0.40,0.35,0.35,0.35,0.38,0.40,0.44,0.44
Current Ratio,1.59,-,1.73,1.81,1.41,1.46,0.97,0.95,0.92,0.95,0.97,0.77,0.71,0.72,1.05,1.00,1.21,1.11,1.18,1.00,1.03,1.48,1.09,1.31,1.34,1.74,1.15,1.13,0.99,1.02,0.89,0.91,0.88,0.92,0.95,1.00,0.99,0.99
Interest Coverage,1.93,2.71,0.49,0.63,4.86,6.09,6.16,4.55,4.86,5.00,6.18,5.44,5.08,5.02,4.36,3.52,-43.35,2.94,2.75,3.92,2.00,2.74,-2.85,3.88,4.91,2.68,2.05,3.11,0.14,4.99,2.71,3.38,5.86,5.63,6.15,3.05,5.15,4.99
Return on Capital (ROIC),,1.66%,-,7.48%,1.89%,2.48%,3.27%,3.77%,4.54%,4.54%,4.46%,4.57%,4.52%,12.73%,12.74%,12.34%,12.34%,-13.50%,-14.49%,-14.95%,-14.89%,2.73%,2.84%,0.57%,0.37%,1.54%,1.99%,3.76%,4.10%,2.49%,2.51%,3.16%,2.69%,4.20%,4.31%,5.44%,5.15%,5.12%
Dividend Yield,-,-,-,0.70%,2.30%,2.90%,3.20%,3.20%,2.70%,2.60%,2.80%,3.10%,3.20%,4.00%,4.00%,4.50%,5.70%,7.00%,6.60%,6.60%,5.10%,6.60%,5.20%,5.50%,4.60%,4.00%,3.90%,4.40%,4.50%,4.10%,4.20%,4.70%,3.90%,4.10%,4.50%,4.80%,4.30%,4.60%
Payout Ratio,0.00%,0.00%,0.00%,-203.70%,217.00%,77.70%,91.30%,87.00%,80.00%,82.20%,63.20%,80.10%,9.60%,76.20%,100.80%,122.50%,-6.10%,121.20%,108.10%,54.10%,266.70%,129.00%,-29.60%,81.60%,47.60%,87.00%,-2000.00%,66.70%,-190.50%,63.50%,181.80%,114.30%,54.80%,58.80%,49.40%,190.50%,64.50%,69.26%
Buyback Yield / Dilution,-,-,-0.80%,-,-,-,-219.99%,-0.40%,-0.31%,-0.16%,-0.14%,-0.05%,-0.10%,-0.14%,-0.13%,-0.08%,-0.08%,-0.05%,-0.06%,-0.06%,-0.14%,-0.16%,-0.16%,-0.21%,-0.12%,-0.15%,-0.11%,-0.07%,-0.22%,-0.05%,-0.07%,-0.17%,0.03%,-0.10%,-0.27%,-0.23%,-0.13%,-0.13%
Total Shareholder Return,-,-,-0.80%,0.70%,2.30%,2.90%,-216.79%,2.80%,2.39%,2.44%,2.66%,3.05%,3.10%,3.86%,3.87%,4.42%,5.62%,6.95%,6.54%,6.54%,4.96%,6.44%,5.04%,5.29%,4.48%,3.85%,3.79%,4.33%,4.28%,4.05%,4.13%,4.53%,3.93%,4.00%,4.23%,4.57%,4.17%,4.46%
