,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"17,363","19,769","20,098","22,023","26,633","28,650","26,518","26,459","27,132","26,809","26,369","30,421","30,782","34,725","35,209","35,439","37,014","40,978","46,636","39,301","36,061","35,825","34,538","48,537","41,484","51,263","54,755","54,296","54,025","57,117","50,008","59,622","55,107","59,208","61,403","64,843","60,670","55,867","60,283","56,361","45,172"
Market Cap Growth,58.65%,48.75%,37.63%,36.85%,53.39%,44.92%,31.94%,20.14%,1.87%,-6.43%,-0.56%,14.97%,13.45%,29.53%,33.53%,16.50%,20.25%,18.01%,32.45%,10.90%,-2.57%,-12.58%,-25.94%,23.50%,15.04%,43.09%,58.53%,11.87%,30.23%,11.42%,-8.67%,9.81%,2.00%,3.66%,22.79%,8.76%,10.10%,-5.64%,-1.82%,-13.08%,-
Enterprise Value,"10,318","13,500","13,910","16,649","21,199","23,791","21,627","21,015","20,943","21,248","16,546","23,253","19,580","23,568","21,823","26,901","23,711","28,707","38,170","33,172","28,556","26,986","24,918","39,402","32,450","39,356","42,026","44,049","44,506","47,676","44,486","55,856","50,443","54,240","45,555","57,325","44,019","36,603","41,964","47,050","35,861"
PE Ratio,15.42,18.83,20.68,19.20,22.03,22.11,20.09,20.74,24.67,27.36,23.63,49.55,20.87,19.14,18.90,14.48,20.29,29.98,30.84,23.35,20.51,14.30,13.54,17.93,15.87,14.64,13.18,16.13,14.52,23.01,18.71,20.33,18.16,18.84,21.88,23.11,19.48,16.54,19.99,22.64,18.35
PS Ratio,0.41,0.45,0.43,0.45,0.53,0.55,0.50,0.49,0.50,0.49,0.48,0.56,0.57,0.65,0.66,0.66,0.68,0.75,0.83,0.69,0.61,0.59,0.55,0.75,0.61,0.73,0.74,0.70,0.69,0.71,0.62,0.72,0.64,0.66,0.67,0.70,0.63,0.57,0.59,0.53,0.42
PB Ratio,1.79,1.98,1.99,2.28,2.65,2.84,2.56,2.56,2.58,2.47,2.34,2.85,3.01,3.17,3.14,3.60,3.67,4.01,4.40,3.87,3.33,3.02,2.98,4.03,3.36,3.56,3.47,3.96,3.81,3.85,3.08,3.71,3.60,3.82,3.78,4.24,3.66,3.32,3.56,3.47,2.78
P/FCF Ratio,11.41,17.40,21.82,20.21,52.32,382.00,153.28,76.47,36.71,25.39,5.84,21.59,6.02,6.52,9.56,10.05,12.35,13.89,-47.15,25.18,-29.22,117.07,9.19,10.67,10.19,9.09,11.02,11.61,16.54,125.26,35.72,63.03,26.49,21.70,7.32,18.70,6.11,4.60,12.03,17.68,14.17
P/OCF Ratio,8.79,12.34,14.26,13.61,25.27,44.35,36.63,30.48,21.48,17.02,5.23,15.71,5.46,5.96,8.41,8.75,10.48,11.66,-115.15,18.09,-58.45,38.03,7.78,9.19,8.53,7.89,9.33,9.63,12.48,35.24,18.94,26.36,16.20,14.80,6.38,14.14,5.53,4.24,10.07,14.16,11.35
Debt / Equity Ratio,0.29,0.29,0.45,0.43,0.41,0.44,0.40,0.42,0.41,0.39,0.38,0.40,0.53,0.47,0.45,0.51,0.53,0.51,0.51,0.61,0.58,0.50,0.55,0.49,0.66,0.56,0.51,0.51,0.54,0.50,0.77,0.80,0.87,0.85,0.67,0.75,0.72,0.72,0.71,0.74,0.74
Quick Ratio,1.47,1.43,1.52,1.42,1.22,1.27,1.29,1.35,1.21,1.25,1.26,1.63,1.37,1.36,1.35,1.54,1.29,1.01,1.32,1.33,1.32,1.36,1.51,1.47,1.29,1.35,1.47,1.37,1.26,1.28,1.32,1.20,1.21,1.21,1.13,1.20,1.18,1.16,1.15,1.24,1.24
Current Ratio,1.81,1.79,2.01,2.08,1.90,1.89,2.04,1.93,1.77,1.79,1.66,2.07,1.65,1.65,1.61,1.85,1.55,1.43,1.69,1.68,1.65,1.75,1.83,1.82,1.66,1.69,1.81,1.77,1.67,1.71,1.72,1.62,1.53,1.53,1.35,1.52,1.39,1.37,1.38,1.59,1.59
Interest Coverage,20.60,19.46,15.50,4.42,17.17,17.87,14.79,6.35,11.64,14.53,20.19,-9.12,35.47,18.97,14.54,7.45,14.34,1.36,18.17,8.42,13.08,21.68,15.34,11.19,13.08,35.36,24.87,-5.28,16.60,10.76,19.76,0.29,14.51,12.12,13.76,0.32,15.14,11.46,10.54,-3.22,7.74
Return on Capital (ROIC),Upgrade,9.57%,8.73%,7.10%,9.03%,9.30%,8.72%,8.92%,8.30%,7.02%,7.04%,7.74%,4.32%,9.68%,11.64%,11.84%,17.32%,12.76%,64.91%,63.75%,63.31%,61.42%,14.51%,14.36%,13.78%,12.36%,15.07%,17.18%,16.54%,16.87%,13.10%,7.42%,8.79%,8.99%,8.30%,10.62%,10.99%,11.49%,12.50%,12.02%,10.63%
Dividend Yield,1.00%,0.90%,0.80%,0.80%,0.60%,0.60%,0.60%,0.60%,0.60%,0.60%,0.50%,0.40%,0.60%,0.60%,0.70%,0.80%,0.60%,0.60%,0.60%,0.70%,0.80%,0.80%,0.80%,0.60%,0.70%,0.60%,0.60%,0.60%,0.60%,0.60%,0.70%,0.60%,0.70%,0.60%,0.60%,0.60%,0.70%,0.70%,0.70%,0.80%,0.96%
Payout Ratio,11.40%,12.60%,15.00%,28.60%,9.80%,10.10%,13.70%,42.00%,17.10%,13.90%,0.00%,-10.80%,9.20%,8.90%,11.60%,29.00%,14.00%,35.70%,10.70%,19.20%,13.20%,7.90%,10.70%,14.10%,17.50%,4.50%,6.20%,-30.30%,10.90%,15.30%,5.90%,-636.40%,10.80%,14.30%,8.30%,-1124.30%,8.90%,11.50%,13.10%,-20.70%,17.70%
Buyback Yield / Dilution,2.73%,1.73%,1.41%,1.65%,2.87%,3.23%,3.96%,3.33%,0.87%,0.50%,-0.62%,-0.59%,-0.69%,3.17%,3.05%,4.19%,7.79%,4.60%,4.67%,3.97%,1.54%,1.92%,1.94%,3.47%,2.55%,2.09%,2.07%,0.06%,2.46%,2.41%,2.86%,2.88%,1.73%,1.95%,1.52%,1.50%,1.31%,1.22%,2.09%,2.76%,2.76%
Total Shareholder Return,3.73%,2.63%,2.21%,2.45%,3.47%,3.83%,4.56%,3.93%,1.47%,1.10%,-0.12%,-0.19%,-0.09%,3.77%,3.75%,4.99%,8.39%,5.20%,5.27%,4.67%,2.34%,2.72%,2.74%,4.07%,3.25%,2.69%,2.67%,0.66%,3.06%,3.01%,3.56%,3.48%,2.43%,2.55%,2.12%,2.10%,2.01%,1.92%,2.79%,3.56%,3.72%
