,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"11,526","12,683","12,952","11,179","10,500","10,332","10,276","10,389","12,802","12,111","12,789","14,723","16,530","15,733","17,984","18,746","18,903","19,834","16,164","15,013","12,790","13,777","15,348","14,454","17,134","5,811","8,286","10,729","15,564","18,799","20,921","20,793","21,047","18,419","12,334","11,683","12,876","16,609","15,978","12,899","14,531"
Market Cap Growth,102.42%,97.11%,79.07%,11.71%,-8.90%,-18.53%,-20.67%,-7.07%,21.92%,17.21%,24.46%,41.71%,29.12%,29.91%,40.61%,27.32%,14.36%,26.07%,-10.12%,-19.91%,-32.34%,-30.54%,-5.05%,-3.72%,33.96%,-57.82%,-46.01%,-25.77%,-9.16%,223.53%,152.49%,93.81%,35.23%,-2.02%,-41.04%,-43.81%,-38.82%,-9.82%,29.54%,10.41%,-
Enterprise Value,"23,358","24,687","24,702","22,962","22,458","22,873","21,296","21,546","23,994","23,518","22,812","26,179","28,230","27,549","29,572","30,374","30,448","31,717","28,544","28,517","26,535","27,936","29,515","28,842","30,373","20,021","23,295","26,081","31,368","34,441","36,435","39,802","40,590","38,936","40,125","40,212","40,916","44,242","44,041","41,332","42,964"
PE Ratio,-67.12,-182.68,96.99,82.45,-70.06,-124.97,-107.91,-1218.10,-28.59,-21.99,-73.55,49.86,15.02,12.69,18.43,31.87,9.68,10.07,8.58,8.00,27.40,50.17,79.01,1014.88,8.36,2.06,4.31,7.52,-15.07,-8.66,-17.30,30.77,16.78,11.75,3.80,8.85,8.74,8.48,42.63,11.59,14.42
PS Ratio,1.09,1.17,1.18,1.02,0.97,0.98,0.99,1.02,1.29,1.24,1.32,1.48,1.74,1.60,1.80,1.85,1.75,1.82,1.46,1.33,1.09,1.14,1.23,1.13,1.33,0.49,0.92,1.57,3.02,4.13,3.20,2.56,2.17,1.69,1.04,0.93,0.98,1.17,1.08,0.84,0.94
PB Ratio,2.73,2.92,2.91,2.53,2.57,2.42,1.76,1.76,2.50,2.33,2.31,2.38,2.66,2.47,2.76,2.97,2.50,2.69,2.36,2.22,1.96,2.03,2.35,2.38,2.22,0.71,1.12,1.56,2.39,2.98,3.39,3.04,3.47,3.64,2.15,2.41,2.67,3.43,3.62,3.25,3.66
P/FCF Ratio,15.04,16.53,18.18,24.54,39.43,200.30,-32.72,-25.84,-28.22,-22.43,-19.31,-20.19,-22.81,-27.49,-59.45,-254.90,55.10,35.88,31.81,37.33,48.95,43.20,22.69,14.99,15.95,16.09,-10.38,-8.74,-8.86,-13.17,-61.98,85.21,21.27,12.47,8.22,8.98,5.97,5.81,5.69,4.15,4.67
P/OCF Ratio,8.80,9.02,9.36,9.03,9.29,10.17,13.27,12.29,12.74,11.49,10.92,11.19,10.78,9.17,9.67,9.39,8.57,8.34,6.85,7.18,7.42,8.92,9.61,8.59,9.46,5.88,-34.11,-13.49,-10.42,-16.24,-534.73,32.32,15.32,9.79,6.37,6.42,7.33,8.14,7.59,5.38,6.06
Debt / Equity Ratio,3.23,3.02,2.94,2.96,3.48,3.45,2.33,2.20,2.51,2.51,2.26,2.08,2.11,2.07,2.05,2.16,1.72,1.82,1.99,2.19,2.35,2.27,2.35,2.58,2.01,2.47,2.69,2.91,3.21,3.46,3.42,3.60,4.08,4.69,5.86,6.99,7.03,6.64,7.22,8.01,8.01
Quick Ratio,1.03,0.74,0.72,0.52,0.81,1.40,1.08,1.17,0.96,1.01,1.54,0.91,0.87,0.89,0.83,0.91,0.65,0.57,0.58,0.62,0.74,0.65,0.62,0.54,0.92,2.46,1.99,1.78,2.92,3.56,2.97,1.79,1.68,1.06,1.16,1.02,1.50,1.85,1.65,1.39,1.39
Current Ratio,1.23,0.91,0.85,0.59,0.89,1.56,1.17,1.32,1.08,1.15,1.67,1.04,0.97,1.02,0.93,1.02,0.76,0.67,0.68,0.74,0.86,0.79,0.73,0.88,1.26,2.89,2.47,2.24,3.21,3.86,3.23,1.96,1.86,1.25,1.65,1.49,1.81,2.19,2.04,1.78,1.78
Interest Coverage,0.75,1.48,1.28,0.95,0.93,1.53,1.46,1.26,-2.82,1.48,3.68,3.92,1.37,2.54,2.63,2.61,1.06,1.82,1.81,1.79,1.32,1.48,1.26,0.79,13.81,7.80,-6.19,-2.52,-1.94,-1.18,1.69,9.16,1.80,0.72,18.26,-4.61,5.16,5.85,3.14,2.56,4.29
Return on Capital (ROIC),Upgrade,8.05%,11.18%,14.40%,14.57%,13.69%,13.73%,11.04%,11.91%,4.05%,2.14%,1.99%,4.04%,8.79%,8.64%,7.76%,4.14%,142.84%,142.62%,144.19%,137.32%,4.70%,2.68%,2.75%,2.18%,12.36%,13.01%,8.81%,6.27%,-3.59%,-7.54%,-3.51%,3.48%,5.70%,7.39%,9.76%,3.29%,2.55%,3.87%,-0.25%,3.53%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.70%,1.00%,1.30%,1.30%,1.60%,1.70%,2.00%,1.90%,1.80%,1.80%,1.60%,4.60%,2.50%,1.30%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.60%,30.60%,42.30%,4.60%,30.80%,57.10%,46.20%,-240.00%,260.00%,162.50%,-162.50%,3.40%,9.10%,-0.20%,-0.30%,-0.30%,-0.40%,2.10%,0.10%,1.20%,-5.00%,0.10%,-0.20%,0.40%,0.00%,0.00%,0.00%,0.10%
Buyback Yield / Dilution,-0.18%,-0.23%,-0.25%,-0.23%,-0.22%,-0.18%,-14.76%,-14.74%,-10.54%,-15.01%,-0.43%,-0.89%,-5.71%,-1.88%,-1.98%,-1.20%,1.18%,1.41%,4.76%,6.94%,7.12%,6.03%,3.41%,3.96%,3.13%,7.54%,7.84%,4.91%,4.03%,0.43%,-0.37%,1.88%,4.93%,10.50%,14.94%,18.78%,17.71%,14.64%,13.28%,10.65%,10.65%
Total Shareholder Return,-0.18%,-0.23%,-0.25%,-0.23%,-0.22%,-0.18%,-14.76%,-14.74%,-10.54%,-15.01%,-0.43%,-0.89%,-5.71%,-1.48%,-1.28%,-0.20%,2.48%,2.71%,6.36%,8.64%,9.12%,7.93%,5.21%,5.76%,4.73%,12.14%,10.34%,6.21%,4.53%,0.43%,-0.37%,1.88%,4.93%,10.50%,14.94%,18.78%,17.71%,14.64%,13.28%,10.65%,10.65%
