,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,-,-,-,"6,669","9,568","9,088","8,771","12,067","9,821","15,947","14,615"
Market Cap Growth,-,-,-,-,43.46%,-5.02%,-3.49%,37.58%,-18.61%,62.38%,-
Enterprise Value,100,99,107,"9,037","11,897","11,402","10,947","14,021","12,024","19,105","18,138"
PE Ratio,-,-,-,20.40,22.96,18.99,23.97,37.97,48.89,15.81,13.13
PS Ratio,-,-,-,2.11,2.80,2.42,2.31,3.29,2.40,2.98,2.30
PB Ratio,-,-,-,-10.30,-28.58,-1975.65,36.55,25.11,27.24,11.30,8.76
P/FCF Ratio,-,-,-,41.81,54.86,26.21,21.59,29.76,76.43,148.07,73074.39
P/OCF Ratio,-,-,-,14.92,19.88,13.35,15.28,21.83,23.46,20.94,15.73
EV/Sales Ratio,0.04,0.03,0.04,2.85,3.47,3.04,2.89,3.82,2.93,3.57,2.86
EV/EBITDA Ratio,0.22,0.19,0.20,13.54,15.06,12.93,14.24,19.63,19.21,12.20,10.34
EV/EBIT Ratio,0.26,0.24,0.24,16.19,18.39,15.85,18.67,26.63,27.72,14.23,12.15
EV/FCF Ratio,0.47,0.38,0.45,56.66,68.22,32.89,26.94,34.58,93.57,177.39,90691.89
Debt / Equity Ratio,0.10,0.10,0.10,-3.75,-7.12,-505.78,14.75,5.70,7.57,2.45,2.16
Debt / EBITDA Ratio,0.27,0.25,0.27,3.63,3.02,2.64,4.61,3.83,4.36,2.21,2.05
Debt / FCF Ratio,0.60,0.50,0.60,15.20,13.68,6.71,8.71,6.75,21.23,32.15,18009.00
Quick Ratio,0.61,0.52,0.54,0.44,0.54,0.64,1.66,1.86,1.39,0.76,0.52
Current Ratio,2.28,1.93,1.90,1.55,1.79,1.74,2.25,2.88,2.37,1.56,1.29
Asset Turnover,-,1.47,1.42,1.36,1.27,1.25,1.02,0.87,0.99,1.04,1.01
Interest Coverage,72.43,68.00,73.85,9.12,5.94,6.72,5.43,4.45,2.69,12.30,12.60
Return on Equity (ROE),-,20.50%,20.70%,86.80%,-90.90%,-404.50%,182.10%,76.00%,52.00%,125.80%,84.90%
Return on Assets (ROA),-,13.50%,13.50%,14.10%,15.50%,15.90%,9.90%,7.60%,4.80%,19.60%,17.80%
Return on Capital (ROIC),18.00%,16.84%,16.05%,19.17%,21.92%,22.50%,11.27%,11.48%,10.60%,14.80%,16.80%
Earnings Yield,-,-,-,4.90%,4.36%,5.27%,4.17%,2.63%,2.05%,6.33%,7.69%
FCF Yield,-,-,-,2.39%,1.82%,3.81%,4.63%,3.36%,1.31%,0.68%,0.00%
Dividend Yield,-,-,-,0.80%,1.20%,1.30%,1.40%,1.10%,1.40%,1.00%,1.42%
Payout Ratio,-,0.00%,0.00%,16.90%,26.80%,24.50%,34.40%,42.90%,69.60%,15.00%,18.68%
Buyback Yield / Dilution,-,-,-,-0.01%,-0.11%,-0.03%,0.05%,-0.14%,0.82%,0.48%,-0.62%
Total Shareholder Return,-,-,-,0.79%,1.09%,1.27%,1.45%,0.96%,2.22%,1.48%,0.80%
