,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"5,824","7,545","7,148","8,685","9,517","9,549","10,109","9,002","7,964","8,603","7,702"
Market Cap Growth,4.13%,29.56%,-5.27%,21.51%,9.58%,0.34%,5.86%,-10.95%,-11.53%,8.03%,-
Enterprise Value,"9,304","10,953","10,821","12,834","14,470","14,758","15,911","15,862","16,138","17,475","17,820"
PE Ratio,14.34,18.98,16.35,19.65,19.48,18.69,18.78,16.35,12.87,17.79,16.21
PS Ratio,1.69,2.16,2.05,2.48,2.67,2.59,2.91,2.51,2.09,1.99,1.63
PB Ratio,1.39,1.69,1.53,1.77,1.90,1.83,1.86,1.60,1.35,1.42,1.21
P/FCF Ratio,26.54,32.19,95.91,-49.98,-35.64,75.37,-61.63,-30.24,-15.68,-26.18,-15.05
P/OCF Ratio,4.87,6.71,6.50,8.60,8.51,7.48,10.57,9.32,9.26,6.93,7.38
EV/Sales Ratio,2.69,3.14,3.10,3.67,4.06,4.00,4.58,4.42,4.24,4.04,3.78
EV/EBITDA Ratio,7.07,8.42,7.59,8.99,9.31,9.75,11.34,10.27,9.60,10.71,10.50
EV/EBIT Ratio,11.30,13.63,12.68,14.85,15.32,17.10,21.52,18.49,16.77,21.47,20.80
EV/FCF Ratio,42.40,46.73,145.20,-73.86,-54.19,116.49,-97.00,-53.28,-31.78,-53.18,-33.28
Debt / Equity Ratio,0.83,0.76,0.79,0.85,0.99,1.00,1.07,1.23,1.39,1.47,1.59
Debt / EBITDA Ratio,2.65,2.62,2.59,2.91,3.19,3.44,4.14,4.48,4.87,5.44,5.97
Debt / FCF Ratio,15.90,14.56,49.58,-23.92,-18.60,41.16,-35.43,-23.24,-16.12,-27.01,-18.26
Quick Ratio,0.25,0.26,0.27,0.34,0.36,0.25,0.19,0.36,0.29,0.34,0.45
Current Ratio,0.65,0.59,0.61,0.77,0.85,0.56,0.50,0.88,0.88,0.99,1.10
Asset Turnover,0.26,0.25,0.24,0.22,0.21,0.21,0.19,0.19,0.18,0.19,0.20
Interest Coverage,4.40,4.33,4.78,4.65,4.78,3.95,3.41,3.75,4.12,3.19,2.73
Return on Equity (ROE),9.80%,9.10%,9.70%,9.30%,9.80%,9.80%,9.60%,9.80%,10.60%,8.00%,7.80%
Return on Assets (ROA),3.00%,2.90%,3.00%,2.80%,2.90%,2.90%,3.00%,2.80%,2.90%,2.10%,2.00%
Return on Capital (ROIC),7.02%,6.61%,6.61%,6.01%,5.97%,5.87%,6.16%,5.50%,4.85%,4.25%,4.19%
Earnings Yield,6.97%,5.27%,6.12%,5.09%,5.13%,5.35%,5.33%,6.12%,7.77%,5.62%,6.20%
FCF Yield,3.77%,3.11%,1.04%,-2.00%,-2.81%,1.33%,-1.62%,-3.31%,-6.38%,-3.82%,-7.20%
Dividend Yield,4.20%,3.40%,3.70%,3.20%,3.10%,3.30%,3.30%,4.00%,4.70%,4.50%,5.18%
Payout Ratio,59.70%,64.00%,61.20%,63.70%,60.90%,61.90%,62.50%,65.00%,60.90%,80.00%,84.01%
Buyback Yield / Dilution,-0.25%,-0.34%,-0.34%,-0.44%,-0.29%,-0.16%,-0.18%,-0.16%,-0.22%,-0.20%,-0.33%
Total Shareholder Return,3.95%,3.06%,3.36%,2.76%,2.81%,3.14%,3.12%,3.84%,4.48%,4.30%,4.85%
