,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,406.07,397.6,437.26,442.03,488.46,511.05,538.32,550.56,618.72,483.6
Depreciation & Amortization,492.23,496.39,571.54,564.09,610.63,650.96,664.14,686.25,719.14,817.81
Share-Based Compensation,0,0,0,0,20.5,19.55,18.38,18.29,18.46,15.94
Other Operating Activities,296.39,230.18,91.23,3.82,-1.55,95.6,-264.11,-288.74,-496.31,-75.92
Operating Cash Flow,"1,195","1,124","1,100","1,010","1,118","1,277",956.73,966.37,860.01,"1,241"
Operating Cash Flow Growth,2.01%,-5.90%,-2.15%,-8.19%,10.70%,14.23%,-25.09%,1.01%,-11.01%,44.35%
Capital Expenditures,-975.23,-889.76,"-1,025.51","-1,183.71","-1,385.07","-1,150.45","-1,120.75","-1,264.08","-1,367.82","-1,570.05"
Change in Investments,-17.25,-17.25,-17.25,-2.28,-2.28,-19.13,-3.15,-3.09,-4.51,-4.35
Other Investing Activities,-16.93,-15.11,-17.28,-33.35,-41.19,-23.24,-7.08,-10.65,-14.59,-43.64
Investing Cash Flow,"-1,009.41",-922.12,"-1,060.03","-1,219.34","-1,428.54","-1,192.82","-1,130.98","-1,277.82","-1,386.93","-1,618.05"
Dividends Paid,-242.1,-253.6,-266.9,-281.3,-289.79,-308.89,-329.64,-350.58,-369.48,-378.88
Share Issuance / Repurchase,0,0,0,0,-13.39,-5.06,0.69,-1.39,-2.35,-2.65
Debt Issued / Paid,74.43,72.82,279.45,458.22,641.44,244.25,530.46,735.85,870,774.26
Other Financing Activities,-17.39,-20.48,-35,19.26,-22.74,-22.74,-22.74,-22.74,-21.26,-21.26
Financing Cash Flow,-185.06,-201.26,-22.46,196.18,315.51,-92.45,178.77,361.14,476.92,371.47
Net Cash Flow,0.23,0.79,17.54,-13.22,5.01,-8.13,4.52,49.69,-50,-5.14
Free Cash Flow,219.46,234.41,74.52,-173.77,-267.03,126.69,-164.03,-297.72,-507.81,-328.61
Free Cash Flow Growth,-33.79%,6.81%,-68.21%,-,-,-,-,-,-,-
Free Cash Flow Margin,6.35%,6.71%,2.13%,-4.97%,-7.49%,3.43%,-4.73%,-8.30%,-13.35%,-7.60%
Free Cash Flow Per Share,2.00,2.12,0.67,-1.56,-2.39,1.13,-1.46,-2.64,-4.50,-2.90
