,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"54,721","58,215","51,254","56,090","60,389","53,568","47,552","52,926","48,543","43,577","49,622","53,108","52,968","52,713","58,842","58,223","50,972","55,524","47,505","47,211","52,292","54,651","53,511","52,293","29,695","36,206","42,346","59,600","82,795","85,836","76,520","85,123","63,555","46,307","46,789","47,792","51,155","53,603","45,364","49,192","44,676"
Market Cap Growth,43.95%,27.14%,2.94%,-1.19%,10.36%,-7.98%,-7.22%,-5.64%,-19.62%,-18.65%,4.35%,0.34%,9.11%,20.97%,18.58%,9.63%,-3.77%,5.33%,-19.27%,-18.91%,2.59%,-1.57%,12.64%,10.76%,-43.21%,-33.75%,-20.87%,13.97%,178.82%,137.08%,80.70%,42.82%,-23.24%,-46.05%,-38.85%,-43.85%,-19.51%,15.76%,-3.05%,2.93%,-
Enterprise Value,"48,003","51,370","47,694","56,713","66,921","63,884","62,757","74,585","77,320","74,332","82,479","87,689","96,842","96,775","110,870","108,096","107,267","109,767","102,062","98,502","108,949","109,166","103,184","105,773","83,749","103,046","98,449","114,247","140,079","143,149","136,440","139,177","118,664","101,381","98,036","97,565","105,085","104,576","93,138","105,391","100,875"
PE Ratio,18.64,30.23,19.62,20.00,16.66,11.77,10.51,5.46,4.54,3.50,3.58,5.63,5.25,5.94,18.86,-15.01,-9.34,-11.71,63.77,5.96,5.81,6.07,6.07,7.95,6.31,23.79,13.18,9.54,9.22,6.83,6.99,8.65,7.18,6.00,5.42,5.36,5.50,5.27,4.57,4.91,5.29
PS Ratio,0.35,0.37,0.33,0.36,0.39,0.35,0.31,0.39,0.35,0.32,0.36,0.36,0.35,0.34,0.40,0.40,0.35,0.39,0.33,0.32,0.36,0.38,0.37,0.38,0.22,0.31,0.37,0.49,0.68,0.62,0.58,0.67,0.49,0.35,0.32,0.31,0.32,0.32,0.26,0.29,0.26
PB Ratio,1.30,1.39,1.19,1.58,1.66,1.52,1.37,1.33,1.19,1.00,1.11,1.21,1.15,1.16,1.39,1.66,1.49,1.54,1.25,1.22,1.28,1.28,1.20,1.25,0.74,0.92,0.98,1.32,1.71,1.66,1.41,1.43,1.02,0.72,0.72,0.71,0.73,0.75,0.61,0.77,0.69
P/FCF Ratio,12.70,19.19,-360.94,-44.06,-13.82,-9.78,-7.28,-5.85,-3.82,-3.42,-5.23,-6.09,-10.53,-9.70,-7.25,-16.00,-12.02,-22.50,334.54,75.78,29.36,18.13,7.53,12.09,4.37,81.18,6.77,6.25,9.16,4.76,12.14,11.40,6.72,7.97,4.23,5.26,5.90,4.40,3.71,5.26,4.78
P/OCF Ratio,3.97,4.58,5.15,5.57,7.14,5.14,3.76,4.50,4.30,3.75,3.33,3.20,2.82,2.90,4.07,3.36,3.24,3.62,2.95,3.09,3.55,3.72,3.04,3.48,1.78,4.13,3.15,3.58,5.06,3.26,5.08,5.60,3.97,3.86,2.72,2.98,3.00,2.49,1.98,2.35,2.13
Debt / Equity Ratio,0.89,0.95,0.96,1.32,1.33,1.52,1.66,1.58,1.74,1.73,1.77,1.71,1.98,1.96,2.19,2.69,2.88,2.72,2.69,2.70,2.63,2.49,2.34,2.47,3.15,3.24,2.71,2.44,2.30,2.15,2.01,1.83,1.77,1.73,1.73,1.69,1.64,1.65,1.60,1.89,1.89
Quick Ratio,0.81,0.81,0.83,0.84,0.79,0.77,0.72,0.70,0.68,0.72,0.69,0.58,0.64,0.58,0.62,0.68,0.64,0.67,0.69,0.73,0.73,0.74,0.73,0.67,0.88,0.88,0.89,0.79,0.83,0.83,0.79,0.84,0.84,0.85,0.88,0.86,0.82,0.88,0.88,0.83,0.83
