,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"181,554","165,071","171,884","216,029","213,367","261,348","192,893","208,678","109,077","211,854","183,960"
Market Cap Growth,42.67%,-9.08%,4.13%,25.68%,-1.23%,22.49%,-26.19%,8.18%,-47.73%,94.22%,-
Enterprise Value,"181,155","162,428","180,068","228,840","228,076","277,226","205,399","217,526","122,790","236,086","208,192"
PE Ratio,15.51,14.46,16.66,22.50,10.14,12.42,9.23,10.50,13.61,125.43,108.78
PS Ratio,3.25,2.98,2.89,3.44,3.01,3.63,2.48,2.64,1.73,3.91,3.39
PB Ratio,3.25,2.70,2.60,3.13,2.86,3.37,2.38,2.19,1.08,2.01,1.74
P/FCF Ratio,17.60,14.12,14.11,20.91,14.97,15.44,9.01,22.86,-11.34,-14.84,-14.84
P/OCF Ratio,8.89,8.68,7.88,9.77,7.25,7.88,5.38,7.08,7.07,18.47,16.04
EV/Sales Ratio,3.24,2.93,3.03,3.65,3.22,3.85,2.64,2.75,1.95,4.35,3.84
EV/EBITDA Ratio,7.45,7.05,8.40,7.94,7.07,8.06,5.43,6.40,6.25,24.22,21.36
EV/EBIT Ratio,11.50,11.35,13.20,11.05,9.83,11.76,8.03,9.81,18.61,1606.03,1416.27
EV/FCF Ratio,17.57,13.89,14.78,22.15,16.00,16.37,9.59,23.83,-12.77,-16.53,-16.53
Debt / Equity Ratio,0.24,0.37,0.38,0.39,0.35,0.37,0.45,0.40,0.41,0.47,0.47
Debt / EBITDA Ratio,0.56,0.98,1.18,0.93,0.82,0.84,0.96,1.12,2.14,5.05,5.05
Debt / FCF Ratio,1.32,1.94,2.08,2.60,1.85,1.71,1.70,4.17,-4.37,-3.45,-3.45
Quick Ratio,1.15,1.92,1.07,1.13,1.11,0.93,1.24,1.41,1.01,1.01,1.01
Current Ratio,1.73,2.45,1.75,1.69,1.73,1.40,1.91,2.13,1.57,1.54,1.54
Asset Turnover,0.61,0.58,0.54,0.51,0.56,0.54,0.52,0.49,0.36,0.29,0.29
Interest Coverage,-,136.35,19.40,59.32,-,-,50.76,46.03,-,-,-
Return on Equity (ROE),20.40%,19.80%,16.40%,13.90%,29.40%,28.00%,26.60%,22.70%,7.90%,1.70%,1.70%
Return on Assets (ROA),12.80%,12.00%,9.40%,7.90%,16.50%,15.90%,14.00%,12.40%,4.60%,0.90%,0.90%
Return on Capital (ROIC),16.35%,13.43%,11.44%,8.89%,20.86%,18.10%,16.80%,13.34%,1.68%,0.13%,0.13%
Earnings Yield,6.45%,6.92%,6.00%,4.44%,9.87%,8.05%,10.83%,9.52%,7.35%,0.80%,0.92%
FCF Yield,5.68%,7.08%,7.09%,4.78%,6.68%,6.48%,11.10%,4.37%,-8.82%,-6.74%,-7.76%
Dividend Yield,2.40%,2.70%,2.90%,2.30%,2.60%,2.10%,2.80%,2.70%,5.50%,1.50%,1.15%
Payout Ratio,37.70%,39.80%,47.70%,52.80%,26.30%,26.40%,26.50%,28.40%,74.90%,185.00%,125.00%
Buyback Yield / Dilution,0.80%,3.20%,0.39%,0.82%,2.77%,4.85%,5.39%,3.36%,-0.81%,-2.16%,-2.16%
Total Shareholder Return,3.20%,5.90%,3.29%,3.12%,5.37%,6.95%,8.19%,6.06%,4.69%,-0.66%,-1.01%
