,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"15,758","15,929","15,562","19,578","21,973","22,722","24,818","24,955","26,583","26,017","26,580","26,118","24,826","19,693","18,726","20,405","20,664","22,360","27,867","27,486","30,730","29,054","30,355","33,182","22,585","31,290","34,081","32,650","35,702","39,418","41,924","47,529","45,599","41,138","44,514","52,817","52,501","58,098","54,606","56,245","62,182"
Market Cap Growth,37.54%,25.90%,12.61%,42.29%,39.44%,42.64%,59.48%,27.47%,20.98%,14.50%,7.10%,4.66%,-6.61%,-24.31%,-29.55%,-21.88%,-16.76%,13.54%,48.82%,34.70%,48.71%,29.94%,8.93%,20.72%,-26.50%,7.70%,12.27%,-1.60%,58.07%,25.98%,23.01%,45.57%,27.72%,4.36%,6.18%,11.12%,15.14%,41.23%,22.67%,6.49%,-
Enterprise Value,"16,642","16,872","16,660","20,724","22,896","23,858","25,938","26,229","27,753","27,505","27,906","27,859","26,776","22,271","21,589","23,337","23,818","25,576","31,002","30,872","36,060","34,717","35,967","39,003","28,748","36,516","39,035","38,349","41,306","44,693","47,366","53,034","51,269","47,579","50,987","59,253","59,599","65,165","61,908","63,807","69,744"
PE Ratio,22.66,19.36,17.93,26.94,25.81,24.33,23.30,28.54,26.02,25.23,23.86,26.54,23.43,17.41,16.50,16.87,16.94,15.83,19.03,22.88,23.92,20.54,19.39,25.53,18.79,14.71,16.16,20.77,17.79,16.83,18.76,22.90,23.66,17.83,19.01,24.98,25.39,23.15,21.01,25.45,27.31
PS Ratio,2.32,2.30,2.20,2.71,2.97,3.00,3.19,3.13,3.26,3.13,3.15,3.04,2.87,2.25,2.11,2.27,2.27,2.41,2.96,2.88,3.18,2.97,3.04,3.27,2.21,2.92,3.03,2.81,2.92,3.13,3.26,3.57,3.37,2.99,3.17,3.67,3.54,3.82,3.49,3.56,3.93
PB Ratio,7.28,7.52,7.87,9.70,10.25,11.53,12.40,12.72,13.70,15.39,13.98,16.05,17.45,22.65,30.49,31.25,48.75,58.08,55.92,77.72,82.53,200.81,182.62,83.51,207.50,53.11,48.05,232.78,-5117.07,181.07,-297.64,-715.55,-138.91,-37.15,-36.93,-49.79,-32.31,-35.70,-31.02,-32.34,-32.34
P/FCF Ratio,30.77,25.62,21.92,25.84,28.89,27.95,30.57,28.99,30.65,27.77,28.47,28.61,25.39,22.91,21.21,22.53,22.04,22.61,25.20,23.10,25.12,24.34,27.02,26.76,20.90,27.97,18.49,15.87,15.06,13.87,16.46,18.21,16.49,16.10,18.26,21.09,20.31,23.34,20.90,23.59,26.08
P/OCF Ratio,17.35,15.51,13.84,16.72,18.46,18.16,20.12,19.65,20.74,19.08,19.24,18.83,17.07,14.67,13.71,14.86,14.72,15.32,17.77,16.58,17.79,16.74,17.86,17.70,13.22,18.12,14.08,12.71,12.59,12.06,14.02,15.57,14.22,13.68,15.42,17.63,16.68,18.32,16.02,16.98,18.77
Debt / Equity Ratio,0.65,0.66,0.71,0.69,0.65,0.71,0.70,0.77,0.97,1.12,0.99,1.24,1.39,3.00,4.72,4.76,7.53,8.45,6.37,10.11,14.47,39.53,34.02,14.75,59.26,10.35,9.28,43.95,-890.82,27.13,-41.83,-88.32,-17.86,-6.05,-5.43,-6.17,-4.40,-4.38,-4.19,-4.51,-4.51
Quick Ratio,0.28,0.25,0.18,0.16,0.24,0.17,0.17,0.11,0.29,0.20,0.24,0.13,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.07,0.13,0.24,0.35,0.15,0.17,0.18,0.14,0.13,0.10,0.11,0.08,0.08,0.07,0.07,0.08,0.09,0.09
Current Ratio,1.22,1.16,1.08,1.08,1.11,1.03,1.02,0.99,1.12,1.02,1.06,0.96,0.91,0.92,0.93,0.93,0.92,0.92,0.91,0.91,0.84,0.85,0.81,0.86,0.91,0.95,0.98,0.86,0.79,0.82,0.76,0.77,0.73,0.75,0.70,0.71,0.71,0.69,0.69,0.73,0.73
Asset Turnover,Upgrade,0.27,0.28,0.29,0.27,0.28,0.31,0.31,0.29,0.28,0.30,0.30,0.29,0.30,0.31,0.31,0.29,0.30,0.32,0.31,0.29,0.24,0.25,0.26,0.23,0.22,0.26,0.26,0.24,0.26,0.29,0.30,0.28,0.28,0.30,0.31,0.29,0.29,0.31,0.31,0.28
Interest Coverage,21.41,26.25,26.48,21.52,24.33,26.94,29.05,25.70,28.25,22.73,23.94,21.80,20.78,21.96,18.99,15.03,14.99,15.53,15.36,13.60,12.97,14.42,14.96,12.51,10.75,17.65,17.40,13.93,18.43,21.13,21.64,19.46,19.22,21.36,18.63,16.12,16.08,17.22,17.47,-12.80,-12.80
Return on Equity (ROE),Upgrade,31.89%,33.92%,37.89%,38.55%,38.12%,42.90%,44.67%,47.48%,50.20%,59.05%,53.15%,63.77%,73.62%,123.35%,175.44%,173.62%,276.95%,323.13%,266.15%,374.50%,360.06%,927.10%,822.10%,350.09%,1258.98%,262.83%,237.48%,1249.34%,-27998.75%,922.05%,-1447.36%,-3258.94%,-653.41%,-192.90%,-179.44%,-204.82%,-135.85%,-138.76%,-131.93%,-134.92%
