,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"15,528","16,980","16,498","18,720","19,397","18,347","18,557","19,930","20,714","23,304","25,259","20,078","23,840","25,156","22,997","23,725","21,490","21,995","25,821","20,583","25,354","23,325","27,360","29,907","20,266","23,964","27,372","31,027","32,327","32,571","29,670","25,766","26,757","22,021","21,935","26,750","27,054","30,372","23,443","25,423","26,038"
Market Cap Growth,26.20%,38.14%,21.69%,21.21%,24.91%,8.05%,12.48%,6.46%,6.79%,27.02%,36.11%,0.74%,15.09%,7.95%,-8.95%,18.16%,-9.86%,-12.57%,12.28%,-13.24%,17.98%,6.05%,5.96%,45.30%,-20.07%,2.74%,0.04%,3.75%,59.52%,35.92%,8.40%,-16.96%,-17.23%,-32.39%,-26.07%,3.82%,1.11%,37.93%,6.88%,-4.96%,-
Enterprise Value,"16,326","17,698","16,957","19,039","19,665","28,972","29,005","30,000","30,835","32,861","35,790","30,689","34,314","35,390","32,941","33,343","30,836","31,008","34,494","28,964","33,578","31,641","35,185","37,510","27,501","31,460","34,691","38,351","39,442","39,379","36,264","32,467","32,622","27,786","27,283","32,070","32,514","35,762","28,633","30,775","31,390"
PE Ratio,17.53,24.05,24.92,29.89,27.38,-29.03,208.98,39.23,48.90,-186.13,39.76,75.37,19.91,34.14,58.19,4.72,30.75,29.72,39.80,-5.71,25.76,43.61,15.87,23.31,-9.96,-29.00,28.22,23.24,40.80,57.38,50.95,-76.68,91.38,35.82,28.27,-51.36,29.09,36.23,36.02,0,43.30
PS Ratio,3.34,3.64,3.52,4.01,4.17,3.96,3.51,3.32,3.06,3.09,3.32,2.61,3.07,3.23,2.96,3.03,2.73,2.78,3.25,2.59,3.21,2.96,3.45,3.75,2.60,3.41,3.87,4.42,4.56,4.13,3.76,3.40,3.62,3.08,3.18,3.85,3.81,4.22,3.22,4.51,4.62
PB Ratio,2.49,2.63,2.52,2.87,2.95,1.81,1.86,2.02,2.14,2.44,2.59,2.10,2.40,2.45,2.20,2.02,1.79,1.83,2.11,1.83,2.20,2.00,2.26,2.41,1.71,2.06,2.31,2.54,2.60,2.59,2.33,2.04,2.23,1.82,1.79,2.23,2.23,2.45,1.87,1.73,1.77
P/FCF Ratio,17.99,19.79,18.08,21.27,21.36,22.72,25.01,32.35,31.92,28.09,24.90,16.55,16.47,17.44,15.22,14.45,15.07,13.27,16.00,12.79,16.00,17.07,26.18,26.20,18.35,18.88,23.73,31.51,29.75,36.39,21.29,18.12,20.16,16.82,18.37,21.95,24.67,26.25,22.92,29.59,30.30
P/OCF Ratio,16.12,17.48,15.93,18.74,18.42,19.20,20.89,25.43,25.36,23.53,21.21,14.42,14.61,15.32,13.56,13.13,13.58,12.24,14.75,11.62,14.51,15.14,18.89,19.39,12.78,13.67,19.56,25.80,26.84,32.57,19.69,16.53,17.85,14.78,15.80,19.02,21.06,22.41,17.36,20.55,21.04
Debt / Equity Ratio,0.27,0.26,0.26,0.21,1.38,1.19,1.19,1.17,1.15,1.16,1.19,1.17,1.16,1.04,1.00,0.86,0.93,0.79,0.75,0.79,0.76,0.75,0.69,0.66,0.81,0.71,0.70,0.67,0.63,0.62,0.59,0.56,0.52,0.51,0.48,0.47,0.48,0.46,0.44,0.39,0.39
Quick Ratio,2.75,2.78,2.47,2.51,11.17,1.56,1.79,1.90,1.70,1.22,0.90,0.93,0.99,0.63,0.60,0.67,0.93,1.04,0.75,0.75,0.80,0.45,0.44,0.58,0.92,0.82,1.02,0.88,1.01,0.84,0.79,0.47,0.63,0.68,0.79,0.75,0.73,0.76,0.79,0.95,0.95
Current Ratio,4.40,4.44,3.96,4.13,13.11,3.12,3.58,3.62,3.36,2.40,2.03,1.95,1.91,1.47,1.47,1.52,1.69,2.55,1.89,1.83,2.00,1.19,1.17,1.37,1.69,2.18,2.27,1.99,2.39,1.83,1.81,1.41,1.69,1.81,1.98,1.88,1.89,1.96,2.11,2.35,2.35
Asset Turnover,Upgrade,0.12,0.12,0.11,0.13,0.07,0.04,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.09,0.08,0.08,0.08,0.09,0.07,0.05,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.01
Interest Coverage,19.89,16.41,15.41,14.11,11.90,-1.57,1.28,2.37,2.78,2.29,2.14,2.06,4.23,3.43,2.59,-0.29,3.87,3.90,3.27,-11.94,6.04,3.43,4.33,6.43,-8.96,-3.18,5.54,4.53,5.08,4.03,4.09,2.74,4.83,7.24,5.80,7.58,6.79,6.39,5.22,0,0
Return on Equity (ROE),Upgrade,12.25%,12.22%,12.22%,11.04%,10.27%,3.37%,1.98%,1.70%,1.01%,2.35%,3.70%,3.13%,4.97%,6.90%,6.21%,15.65%,14.29%,14.25%,14.56%,-3.36%,-2.67%,-3.08%,-0.75%,9.13%,3.17%,0.32%,-1.28%,-1.14%,4.56%,7.28%,6.45%,3.17%,2.30%,2.38%,2.75%,2.42%,3.70%,4.09%,3.79%,-
Return on Assets (ROA),Upgrade,8.14%,8.18%,8.27%,7.47%,3.93%,1.25%,0.74%,0.62%,0.37%,0.86%,1.33%,1.13%,1.83%,2.68%,2.46%,6.97%,6.31%,6.73%,7.01%,-1.57%,-1.27%,-1.48%,-0.37%,4.59%,1.48%,0.16%,-0.63%,-0.57%,2.36%,3.78%,3.41%,1.71%,1.28%,1.34%,1.58%,1.38%,2.12%,2.38%,2.24%,-
Return on Capital (ROIC),Upgrade,10.14%,10.24%,10.69%,9.95%,4.91%,2.01%,1.57%,1.70%,1.55%,1.96%,2.95%,3.77%,4.72%,6.37%,5.76%,3.67%,2.80%,2.95%,3.29%,-0.31%,-0.04%,-0.33%,1.34%,6.97%,3.18%,1.62%,0.17%,0.35%,3.77%,5.47%,5.05%,3.78%,3.55%,3.76%,4.20%,5.37%,5.98%,6.12%,5.76%,4.39%
Earnings Yield,1.43%,1.04%,1.00%,0.84%,0.91%,-0.86%,0.12%,0.64%,0.51%,-0.13%,0.63%,0.33%,1.26%,0.73%,0.43%,5.30%,0.81%,0.84%,0.63%,-4.38%,0.97%,0.57%,1.58%,1.07%,-2.51%,-0.86%,0.89%,1.08%,0.61%,0.44%,0.49%,-0.33%,0.27%,0.70%,0.88%,-0.49%,0.86%,0.69%,0.69%,0.00%,2.32%
FCF Yield,1.01%,1.31%,1.35%,1.63%,0.29%,0.85%,0.53%,1.70%,1.15%,1.46%,1.17%,2.85%,0.97%,1.63%,1.86%,1.50%,2.16%,1.67%,1.64%,1.61%,0.97%,0.19%,1.90%,0.99%,2.03%,-0.30%,1.28%,1.28%,0.68%,1.31%,1.28%,1.17%,0.75%,1.42%,1.84%,0.68%,0.96%,0.58%,1.02%,-,3.30%
Dividend Yield,0.22%,0.22%,0.22%,0.20%,0.19%,0.20%,0.20%,0.22%,0.22%,0.21%,0.19%,0.24%,0.20%,0.19%,0.21%,0.20%,0.23%,0.22%,0.19%,0.24%,0.19%,0.21%,0.18%,0.17%,0.24%,0.21%,0.18%,0.16%,0.15%,0.15%,0.17%,0.19%,0.19%,0.23%,0.23%,0.19%,0.19%,0.17%,0.21%,-,0.77%
Payout Ratio,15.35%,20.91%,22.42%,23.95%,21.06%,-23.67%,169.37%,35.28%,42.12%,-152.72%,30.16%,72.22%,16.07%,26.28%,49.09%,3.87%,27.82%,26.38%,30.09%,-5.44%,19.91%,36.72%,11.41%,15.40%,-9.73%,-24.01%,20.45%,14.92%,25.14%,35.24%,34.41%,-59.76%,68.58%,32.73%,25.93%,-38.71%,21.63%,24.00%,30.79%,0.00%,33.33%
Buyback Yield / Dilution,-0.64%,-0.18%,0.29%,0.35%,-0.64%,-1.17%,-19.80%,-16.83%,-16.83%,-15.26%,1.36%,-0.25%,-0.54%,-2.16%,-0.54%,-0.79%,-0.74%,-0.44%,-0.69%,-0.83%,-0.59%,-0.78%,-0.78%,-0.97%,-0.34%,-0.29%,-0.72%,-0.72%,-1.79%,-1.89%,-1.01%,0.19%,0.05%,0.19%,0.14%,-0.43%,-0.14%,0.19%,0.14%,-0.10%,-0.10%
Total Shareholder Return,-0.43%,0.04%,0.52%,0.55%,-0.45%,-0.97%,-19.60%,-16.61%,-16.62%,-15.05%,1.55%,-0.01%,-0.34%,-1.96%,-0.33%,-0.59%,-0.51%,-0.22%,-0.50%,-0.59%,-0.39%,-0.57%,-0.60%,-0.81%,-0.10%,-0.08%,-0.54%,-0.56%,-1.64%,-1.73%,-0.84%,0.39%,0.24%,0.42%,0.37%,-0.24%,0.04%,0.36%,0.36%,-0.10%,0.67%
