,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,-685000000,-1086000000,-1034000000,-1204000000,-1368000000,-1446000000,-1521000000,-1361000000
paymentsForOperatingActivities,None,9000000,None,None,None,None,None,None
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,None,285000000,247000000,276000000,110000000,195000000,91000000,80000000
changeInOperatingAssets,None,290000000,358000000,300000000,640000000,471000000,865000000,646000000
depreciationDepletionAndAmortization,49000000,113000000,118000000,161000000,174000000,199000000,188000000,223000000
capitalExpenditures,469000000,455000000,418000000,359000000,298000000,294000000,283000000,255000000
changeInReceivables,None,None,-4000000,41000000,45000000,-6000000,55000000,184000000
changeInInventory,147000000,212000000,367000000,253000000,583000000,454000000,781000000,409000000
profitLoss,-1233000000,-2461000000,-1593000000,-1712000000,-1724000000,-1723000000,-1349000000,-1195000000
cashflowFromInvestment,-467000000,-456000000,-418000000,-359000000,-298000000,-294000000,-283000000,-1193000000
cashflowFromFinancing,2500000000,14760000000,0,56000000,6000000,37000000,1485000000,32000000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfCommonStock,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfEquity,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None
dividendPayout,None,None,None,None,None,None,None,None
dividendPayoutCommonStock,None,None,None,None,None,None,None,None
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,1000000,4000000,1000000,57000000,7000000,37000000,3000000,34000000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,-1274000000,0,0,0,0,1485000000,0
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,None,13534000000,1000000,57000000,7000000,37000000,3000000,34000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,-1184000000,13218000000,-1452000000,-1507000000,-1660000000,None,-319000000,-2522000000
changeInExchangeRate,None,None,None,None,None,None,None,None
netIncome,-1233000000,-2461000000,-1593000000,-1712000000,-1724000000,-1723000000,-1349000000,-1195000000
freeCashflow,-1154000000.0,-1541000000.0,-1452000000.0,-1563000000.0,-1666000000.0,-1740000000.0,-1804000000.0,-1616000000.0
startPeriod,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30
endPeriod,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30
stockHigh,,179.47,106.8,51.93,40.86,37.39,22.09,16.32
stockLow,,88.4,33.46,19.25,24.48,17.45,12.58,11.68
stockAverage,,115.55,61.71,31.63,33.97,29.49,16.91,13.95
