,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,8488000000,22294000000,21297000000,20171000000,19023000000,17876000000,18191000000,17227000000
totalCurrentAssets,5345000000,18559000000,17046000000,15732000000,14424000000,13130000000,13350000000,12861000000
cashAndCashEquivalentsAtCarryingValue,5156000000,18133000000,16432000000,14923000000,13272000000,11568000000,11244000000,9260000000
cashAndShortTermInvestments,5156000000,18133000000,16432000000,14923000000,13272000000,11568000000,11244000000,10202000000
inventory,126000000,274000000,494000000,655000000,949000000,1348000000,1823000000,2161000000
currentNetReceivables,None,26000000,22000000,62000000,106000000,102000000,157000000,342000000
totalNonCurrentAssets,3143000000,3735000000,4251000000,4439000000,4599000000,4746000000,4841000000,4366000000
propertyPlantEquipment,2856000000,3183000000,3396000000,3526000000,3668000000,3758000000,3826000000,3861000000
accumulatedDepreciationAmortizationPPE,121000000,233000000,372000000,523000000,688000000,883000000,1067000000,1286000000
intangibleAssets,None,None,None,None,None,None,None,None
intangibleAssetsExcludingGoodwill,None,None,None,None,None,None,None,None
goodwill,None,None,None,None,None,None,None,None
investments,None,None,None,None,None,None,None,None
longTermInvestments,None,None,None,None,None,None,None,None
shortTermInvestments,None,None,None,None,None,0,None,942000000
otherCurrentAssets,63000000,126000000,98000000,92000000,97000000,112000000,126000000,156000000
otherNonCurrentAssets,92000000,324000000,585000000,627000000,640000000,658000000,690000000,180000000
totalLiabilities,4201000000,2780000000,3037000000,3303000000,3686000000,4077000000,5449000000,5513000000
totalCurrentLiabilities,1047000000,1313000000,1524000000,1753000000,2109000000,2424000000,2269000000,2274000000
currentAccountsPayable,417000000,483000000,571000000,732000000,828000000,1000000000,984000000,1007000000
deferredRevenue,48000000,74000000,81000000,92000000,None,None,232000000,312000000
currentDebt,None,None,None,None,None,None,None,None
shortTermDebt,42000000,89000000,126000000,152000000,255000000,270000000,289000000,324000000
totalNonCurrentLiabilities,196000000,1467000000,1513000000,1550000000,1577000000,1653000000,3337000000,3453000000
capitalLeaseObligations,233000000,307000000,382000000,427000000,532000000,581000000,592000000,629000000
longTermDebt,2958000000,1226000000,1227000000,1228000000,1229000000,1231000000,2716000000,2718000000
currentLongTermDebt,0,0,0,0,0,0,0,0
longTermDebtNoncurrent,0,1226000000,1227000000,1228000000,1229000000,1231000000,2716000000,2718000000
shortLongTermDebtTotal,2958000000,1226000000,1227000000,1228000000,1229000000,1231000000,2716000000,2718000000
otherCurrentLiabilities,540000000,667000000,746000000,777000000,1026000000,1154000000,996000000,943000000
otherNonCurrentLiabilities,5000000,23000000,30000000,47000000,71000000,111000000,161000000,216000000
totalShareholderEquity,-3607000000,19514000000,18260000000,16868000000,15337000000,13799000000,12742000000,11714000000
treasuryStock,None,None,None,None,None,None,None,None
retainedEarnings,-3913000000,-6374000000,-7967000000,-9679000000,-11403000000,-13126000000,-14475000000,-15670000000
commonStock,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000
commonStockSharesOutstanding,101518666,900000000,901000000,916000000,921000000,926000000,939000000,946000000
startPeriod,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30,2021-6-30
endPeriod,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30
stockHigh,,179.47,106.8,51.93,40.86,37.39,22.09,16.32
stockLow,,88.4,33.46,19.25,24.48,17.45,12.58,11.68
stockAverage,,115.55,61.71,31.63,33.97,29.49,16.91,13.95
