,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"9,890","8,521","9,052","9,425","12,569","7,551","10,941","10,725","17,498","14,270","13,391"
Market Cap Growth,57.71%,-13.84%,6.22%,4.13%,33.35%,-39.92%,44.89%,-1.97%,63.15%,-18.45%,-
Enterprise Value,"11,046","10,253","10,549","12,540","15,693","11,530","15,819","14,704","21,448","17,927","18,681"
PE Ratio,31.74,22.34,21.39,20.31,23.55,15.73,20.21,16.81,16.04,12.42,13.98
PS Ratio,1.95,1.26,1.26,1.10,1.29,0.64,0.88,0.92,1.34,1.12,1.00
PB Ratio,4.21,3.13,2.91,2.74,2.99,1.58,2.18,1.90,3.03,2.62,2.25
P/FCF Ratio,29.27,34.39,24.22,21.85,36.06,15.46,13.43,8.33,15.99,13.76,12.30
P/OCF Ratio,23.11,21.92,16.63,14.84,24.22,10.62,10.28,7.43,12.80,11.42,9.68
EV/Sales Ratio,2.18,1.52,1.47,1.46,1.61,0.97,1.26,1.26,1.64,1.40,1.40
EV/EBITDA Ratio,18.01,13.22,12.73,12.81,14.25,10.37,13.08,11.39,12.06,9.56,10.58
EV/EBIT Ratio,20.96,15.77,15.05,16.23,18.02,14.10,17.67,14.82,14.36,11.12,12.63
EV/FCF Ratio,32.69,41.38,28.22,29.06,45.03,23.61,19.42,11.42,19.61,17.29,17.15
Debt / Equity Ratio,0.56,0.68,0.51,0.97,0.81,0.90,1.08,0.76,0.73,0.72,0.96
Debt / EBITDA Ratio,2.13,2.38,1.91,3.41,3.09,3.88,4.47,3.32,2.38,2.10,3.22
Debt / FCF Ratio,3.86,7.45,4.24,7.75,9.77,8.83,6.63,3.33,3.86,3.79,5.23
Quick Ratio,0.90,0.96,0.90,0.90,0.99,0.88,0.76,0.70,0.62,0.56,0.48
Current Ratio,2.66,3.00,3.11,2.95,2.89,2.68,2.15,2.03,1.97,1.88,1.49
Asset Turnover,1.20,1.24,1.28,1.07,1.12,1.08,0.99,0.95,1.04,1.05,0.99
Interest Coverage,10.30,10.08,12.11,8.76,8.57,5.59,6.46,9.54,20.75,20.67,8.13
Return on Equity (ROE),14.20%,14.60%,14.20%,13.80%,13.60%,10.20%,11.10%,12.10%,18.70%,20.80%,16.50%
Return on Assets (ROA),7.40%,7.00%,7.50%,5.80%,6.10%,4.30%,4.30%,5.20%,8.70%,9.50%,7.10%
Return on Capital (ROIC),9.50%,9.27%,9.87%,7.63%,7.71%,6.94%,6.16%,7.12%,11.31%,12.61%,8.66%
Earnings Yield,3.15%,4.48%,4.68%,4.92%,4.25%,6.36%,4.95%,5.95%,6.23%,8.05%,7.12%
FCF Yield,3.42%,2.91%,4.13%,4.58%,2.77%,6.47%,7.44%,12.01%,6.25%,7.27%,8.13%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,1.90%,2.40%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.80%,24.70%,33.52%
Buyback Yield / Dilution,-1.14%,-0.80%,-0.81%,-0.66%,-0.50%,-2.96%,3.69%,0.69%,4.22%,8.34%,2.49%
Total Shareholder Return,-1.14%,-0.80%,-0.81%,-0.66%,-0.50%,-2.96%,3.69%,0.69%,4.62%,10.24%,4.89%
