,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"5,620","6,845","7,397","11,426","10,894","15,041","14,490","26,417","18,129","15,690","15,076"
Market Cap Growth,23.74%,21.80%,8.06%,54.47%,-4.66%,38.06%,-3.66%,82.32%,-31.38%,-13.45%,-
Enterprise Value,"9,078","10,209","11,775","15,840","15,371","19,425","19,017","30,803","22,483","20,175","19,561"
PE Ratio,37.98,20.60,34.91,35.19,49.70,42.96,57.66,49.83,28.61,28.57,27.42
PS Ratio,5.66,6.56,6.57,7.47,6.93,9.16,8.64,14.86,8.98,7.30,7.02
PB Ratio,1.94,2.29,1.16,1.80,1.77,2.48,2.47,4.43,3.02,2.58,2.47
P/FCF Ratio,-49.35,-224.48,-193.85,63.18,31.12,40.30,42.29,41.88,28.36,41.58,39.96
P/OCF Ratio,14.58,14.76,15.25,17.29,14.84,19.25,17.59,29.52,17.13,13.80,13.26
EV/Sales Ratio,9.15,9.79,10.46,10.36,9.78,11.84,11.33,17.32,11.13,9.39,9.10
EV/EBITDA Ratio,15.77,13.59,17.65,16.16,17.27,18.77,20.28,24.87,16.90,15.85,15.37
EV/EBIT Ratio,33.13,22.37,34.24,32.61,38.51,36.15,44.66,43.74,28.60,28.54,27.68
EV/FCF Ratio,-79.72,-334.80,-308.58,87.59,43.91,52.05,55.50,48.84,35.17,53.47,51.85
Debt / Equity Ratio,1.22,1.15,0.70,0.71,0.74,0.73,0.78,0.76,0.74,0.75,0.75
Debt / EBITDA Ratio,6.10,4.56,6.74,4.59,5.09,4.30,4.87,3.65,3.32,3.57,3.57
Debt / FCF Ratio,-30.85,-112.41,-117.92,24.89,12.93,11.94,13.32,7.16,6.91,12.03,12.03
Asset Turnover,0.15,0.15,0.14,0.13,0.14,0.15,0.15,0.16,0.18,0.19,0.19
Interest Coverage,2.21,3.73,2.65,3.14,2.30,2.99,2.54,4.49,5.08,4.74,4.74
Return on Equity (ROE),5.10%,11.20%,5.50%,5.10%,3.50%,5.80%,4.20%,9.00%,10.60%,8.90%,8.90%
Return on Assets (ROA),2.20%,4.90%,2.60%,2.80%,1.90%,3.10%,2.30%,4.70%,5.60%,4.80%,4.80%
Return on Capital (ROIC),3.55%,4.51%,2.50%,3.25%,3.62%,4.07%,4.04%,4.32%,6.09%,6.42%,6.42%
Earnings Yield,2.63%,4.85%,2.86%,2.84%,2.01%,2.33%,1.73%,2.01%,3.50%,3.50%,3.64%
FCF Yield,-2.03%,-0.45%,-0.52%,1.58%,3.21%,2.48%,2.36%,2.39%,3.53%,2.40%,2.50%
Dividend Yield,3.90%,3.40%,3.30%,3.50%,3.90%,2.90%,3.20%,1.80%,3.00%,4.20%,4.55%
Payout Ratio,148.20%,69.80%,121.90%,121.70%,191.20%,125.10%,181.80%,88.70%,85.20%,118.90%,124.84%
Buyback Yield / Dilution,-0.64%,-0.17%,-0.22%,-50.42%,-0.19%,-0.20%,-0.27%,-0.67%,-0.29%,-1.05%,-1.05%
Total Shareholder Return,3.26%,3.23%,3.08%,-46.92%,3.71%,2.70%,2.93%,1.13%,2.71%,3.15%,3.50%
