,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"22,697","15,629","21,819","23,925","16,347","18,057","19,545","18,194","12,317","12,509","12,387"
Market Cap Growth,4.35%,-31.14%,39.60%,9.65%,-31.67%,10.46%,8.24%,-6.91%,-32.30%,1.56%,-
Enterprise Value,"32,239","30,126","38,384","40,355","32,710","33,920","28,863","24,568","19,481","19,414","19,292"
PE Ratio,40.90,16.66,24.14,11.16,8.13,14.74,40.55,10.38,8.19,43.43,43.66
PS Ratio,0.96,0.76,1.12,1.10,0.70,0.99,1.11,0.94,0.58,0.66,0.65
PB Ratio,4.44,4.02,5.03,3.67,2.22,2.34,2.49,2.00,1.45,1.50,1.48
P/FCF Ratio,12.81,13.83,18.99,61.03,9.75,7.68,8.42,11.50,9.81,17.97,17.80
P/OCF Ratio,7.38,6.06,8.81,13.62,5.07,5.00,6.38,8.96,5.67,6.82,6.76
EV/Sales Ratio,1.37,1.46,1.97,1.86,1.40,1.85,1.64,1.27,0.92,1.03,1.02
EV/EBITDA Ratio,11.94,9.40,13.50,13.21,7.57,9.67,12.07,7.05,7.40,9.66,9.60
EV/EBIT Ratio,25.09,15.77,23.74,24.74,10.93,15.41,26.14,10.79,12.23,33.59,33.38
EV/FCF Ratio,18.19,26.66,33.41,102.95,19.51,14.42,12.44,15.53,15.51,27.89,27.72
Debt / Equity Ratio,2.23,4.00,4.05,2.68,2.30,2.12,1.86,0.87,0.94,0.96,0.96
Debt / EBITDA Ratio,4.23,4.85,6.19,5.71,3.92,4.67,6.12,2.27,3.03,3.99,3.99
Debt / FCF Ratio,6.45,13.76,15.32,44.51,10.11,6.96,6.31,5.00,6.34,11.52,11.52
Quick Ratio,1.01,0.95,0.95,0.84,0.88,0.44,0.96,1.15,0.82,1.05,1.05
Current Ratio,1.62,1.65,1.64,1.62,1.49,0.77,1.36,1.71,1.35,1.67,1.67
Asset Turnover,0.79,0.70,0.61,0.65,0.69,0.54,0.54,0.66,0.85,0.80,0.80
Interest Coverage,2.12,3.44,3.11,2.85,5.58,4.41,2.48,6.76,4.90,2.50,2.50
Return on Equity (ROE),8.20%,20.90%,21.50%,41.70%,28.20%,16.30%,6.70%,20.10%,16.80%,3.40%,3.40%
Return on Assets (ROA),1.90%,3.20%,2.80%,6.40%,6.00%,3.60%,1.50%,6.00%,6.10%,1.20%,1.20%
Return on Capital (ROIC),7.51%,6.63%,7.70%,16.50%,9.88%,4.96%,3.79%,5.09%,11.99%,3.38%,3.38%
Earnings Yield,2.45%,6.00%,4.14%,8.96%,12.31%,6.78%,2.47%,9.63%,12.21%,2.30%,2.32%
FCF Yield,7.81%,7.23%,5.27%,1.64%,10.26%,13.03%,11.87%,8.70%,10.20%,5.56%,5.62%
Dividend Yield,4.00%,4.40%,3.40%,3.20%,4.80%,4.40%,4.10%,4.30%,5.30%,5.10%,5.17%
Payout Ratio,166.80%,72.90%,81.00%,35.90%,39.20%,64.90%,166.70%,44.40%,44.70%,222.90%,212.64%
Buyback Yield / Dilution,4.51%,2.14%,0.81%,-0.42%,1.91%,3.19%,-0.25%,1.48%,8.16%,2.71%,2.71%
Total Shareholder Return,8.51%,6.54%,4.21%,2.78%,6.71%,7.59%,3.85%,5.78%,13.46%,7.81%,7.88%
