,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"9,775","10,744","11,504","12,549","13,935","15,144","13,977","15,090","17,605","16,753","17,955","16,929","16,657","17,929","16,747","16,077","17,523","21,278","21,987","32,177","35,617","39,328","40,653","38,432","40,726","34,148","39,963","38,839","45,032","48,368","49,949","48,421","52,266","53,748","50,202","50,724","50,504","49,619","43,896","44,111","43,307"
Market Cap Growth,6.32%,12.37%,22.74%,37.54%,42.56%,40.96%,21.50%,20.25%,26.33%,10.63%,28.46%,12.19%,-5.38%,7.02%,-6.73%,-5.03%,5.20%,18.68%,31.29%,100.14%,103.25%,84.83%,84.90%,19.44%,14.35%,-13.17%,-1.70%,1.06%,10.57%,41.64%,24.99%,24.67%,16.06%,11.12%,0.51%,4.76%,-3.37%,-7.68%,-12.56%,-13.04%,-
Enterprise Value,"12,196","13,299","13,978","14,824","16,281","17,668","16,452","17,518","20,076","19,393","20,640","19,633","19,348","22,246","21,075","20,403","22,629","25,767","26,288","48,867","51,673","55,058","56,068","53,576","55,366","48,571","54,073","52,670","58,418","61,632","62,967","61,085","63,722","64,881","61,348","61,502","62,073","61,791","56,313","56,711","55,907"
PE Ratio,15.67,15.96,15.80,17.70,19.82,21.48,19.55,20.70,23.04,21.23,21.66,57.58,19.67,66.65,85.01,42.53,21.24,28.91,34.85,34.53,60.78,54.02,42.39,34.50,32.48,28.94,34.33,29.81,33.99,32.38,30.38,27.97,24.36,22.34,23.07,27.78,35.17,37.65,27.38,22.73,22.44
PS Ratio,1.63,1.79,1.91,2.07,2.28,2.45,2.26,2.42,2.80,2.65,2.82,4.41,2.59,4.60,4.19,3.77,4.54,6.45,8.97,5.55,4.79,4.37,3.74,3.49,3.66,3.04,3.54,3.40,3.88,4.06,4.10,3.90,4.12,4.18,3.78,3.72,3.59,3.46,3.01,2.99,2.94
PB Ratio,4.29,4.83,5.07,5.31,6.08,6.82,6.18,6.87,8.06,7.97,8.38,7.95,7.81,8.18,7.77,7.55,2.37,8.56,8.08,1.44,1.58,1.74,1.78,1.68,1.75,1.51,1.74,1.67,1.89,2.01,2.06,1.98,2.09,2.11,1.98,2.02,2.01,1.98,1.74,1.74,1.71
P/FCF Ratio,14.21,14.34,13.60,14.68,16.20,17.82,17.38,17.73,20.59,17.75,19.95,38.65,38.29,51.82,37.89,9.54,9.37,10.45,10.87,24.12,24.80,22.68,20.19,18.42,17.29,15.11,17.93,17.39,21.02,22.61,23.71,21.52,20.57,19.78,17.78,17.84,19.23,25.20,26.43,30.57,30.01
P/OCF Ratio,11.29,11.70,11.40,12.31,13.64,15.24,14.98,15.46,17.36,15.09,16.43,29.65,31.08,41.12,32.33,9.19,9.33,10.39,10.75,22.22,22.08,20.30,18.17,16.33,16.46,14.87,17.13,16.62,18.34,18.69,19.72,17.78,18.19,17.97,16.33,16.69,17.80,22.10,22.51,24.91,24.45
Debt / Equity Ratio,1.13,1.20,1.15,1.08,1.13,1.18,1.15,1.20,1.55,1.39,1.37,1.56,2.10,2.04,2.18,2.10,0.70,1.82,1.61,0.75,0.72,0.70,0.68,0.67,0.63,0.65,0.62,0.60,0.57,0.57,0.54,0.53,0.48,0.46,0.46,0.47,0.48,0.49,0.50,0.51,0.51
Quick Ratio,0.70,0.61,0.68,0.79,0.76,0.43,0.48,0.49,0.94,0.72,0.76,0.81,2.27,0.67,0.68,0.60,0.29,0.45,0.59,0.22,0.22,0.17,0.18,0.18,0.19,0.18,0.16,0.17,0.17,0.20,0.18,0.20,0.26,0.28,0.28,0.33,0.25,0.18,0.18,0.17,0.17
Current Ratio,1.09,1.06,1.12,1.21,1.17,0.77,0.81,0.77,1.15,1.09,1.13,1.08,2.60,1.09,0.98,0.93,0.52,0.77,0.93,0.40,0.38,0.33,0.33,0.35,0.35,0.33,0.31,0.33,0.31,0.37,0.38,0.41,0.47,0.54,0.56,0.60,0.47,0.39,0.39,0.39,0.39
Interest Coverage,9.17,10.08,12.96,11.56,8.93,10.04,13.18,12.00,9.56,9.52,13.18,-2.31,6.33,7.20,7.41,-2.25,6.00,7.04,2.25,2.13,2.99,2.86,3.45,3.61,4.50,2.34,3.59,4.95,4.82,3.84,5.90,6.85,10.32,5.07,2.22,1.89,5.54,26.26,4.56,3.80,5.35
Return on Capital (ROIC),Upgrade,15.43%,16.19%,17.85%,15.89%,15.84%,16.03%,16.18%,16.55%,15.05%,17.27%,17.64%,6.27%,5.34%,5.31%,4.93%,8.64%,9.18%,15.20%,13.48%,3.38%,2.39%,3.06%,3.84%,4.30%,4.63%,4.70%,4.62%,4.99%,5.00%,5.42%,5.79%,5.95%,6.03%,6.57%,6.73%,6.14%,6.06%,5.30%,5.35%,6.14%
Dividend Yield,3.10%,2.80%,2.70%,2.50%,2.30%,2.20%,2.40%,2.30%,2.10%,2.20%,2.10%,2.30%,2.30%,2.20%,2.40%,2.60%,2.40%,2.00%,1.40%,452.80%,407.50%,372.00%,360.60%,2.20%,2.10%,2.50%,2.10%,2.20%,1.90%,2.20%,2.20%,2.40%,1.80%,2.00%,2.10%,2.10%,2.10%,2.20%,2.60%,2.60%,2.78%
Payout Ratio,48.10%,52.60%,38.30%,42.30%,52.60%,58.50%,41.70%,45.30%,49.00%,54.60%,37.90%,-24.30%,58.20%,59.80%,56.90%,-24.00%,75.30%,527.30%,0.00%,94318.20%,71.40%,93.80%,68.20%,68.20%,51.70%,136.40%,71.40%,48.40%,50.00%,130.40%,58.80%,50.80%,0.00%,91.70%,125.30%,153.80%,0.00%,121.20%,55.60%,58.10%,62.32%
Buyback Yield / Dilution,3.73%,3.30%,3.75%,4.15%,2.63%,2.46%,2.73%,2.40%,2.55%,2.88%,3.07%,-208.25%,3.19%,2.33%,1.50%,-33.91%,-327.07%,-328.22%,-330.32%,-73.76%,-38.85%,-79.34%,-79.53%,-3.33%,-29.37%,-0.17%,-0.16%,-0.25%,-0.27%,-0.39%,-0.46%,-0.39%,-0.37%,-0.29%,-0.04%,0.09%,0.10%,0.89%,1.36%,1.47%,1.47%
Total Shareholder Return,6.83%,6.10%,6.45%,6.65%,4.93%,4.66%,5.13%,4.70%,4.65%,5.08%,5.17%,-205.95%,5.49%,4.53%,3.90%,-31.31%,-324.67%,-326.22%,-328.92%,379.04%,368.65%,292.66%,281.07%,-1.13%,-27.27%,2.33%,1.94%,1.95%,1.63%,1.81%,1.74%,2.01%,1.43%,1.71%,2.06%,2.19%,2.20%,3.09%,3.96%,4.07%,4.25%
