,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"22,126","22,783","28,587","26,936","35,578","36,348","26,548","39,182","43,978","37,596","39,577"
Market Cap Growth,9.14%,2.97%,25.48%,-5.77%,32.08%,2.16%,-26.96%,47.59%,12.24%,-14.51%,-
Enterprise Value,"24,301","24,806","32,103","34,262","43,353","43,998","35,567","47,995","54,501","48,016","51,585"
PE Ratio,23.75,33.17,30.10,23.58,24.87,21.71,123.21,74.75,32.37,21.24,19.44
PS Ratio,0.48,0.47,0.57,0.49,0.61,0.61,0.50,0.76,0.64,0.49,0.51
PB Ratio,4.20,4.33,8.22,11.31,14.19,14.52,22.91,25.23,31.82,18.72,16.46
P/FCF Ratio,22.23,21.97,19.26,17.16,23.88,20.89,28.64,26.26,37.19,17.76,16.32
P/OCF Ratio,14.82,14.65,14.38,12.07,16.51,15.07,16.40,20.58,24.55,13.11,12.29
EV/Sales Ratio,0.52,0.51,0.64,0.62,0.74,0.73,0.67,0.94,0.79,0.63,0.67
EV/EBITDA Ratio,11.32,13.66,13.37,11.53,13.91,14.06,22.01,20.72,16.76,12.97,12.25
EV/EBIT Ratio,15.19,19.64,18.46,16.56,18.43,18.59,50.69,32.76,22.99,17.07,15.75
EV/FCF Ratio,24.41,23.92,21.63,21.82,29.10,25.29,38.37,32.16,46.08,22.69,21.28
Debt / Equity Ratio,0.52,1.39,2.14,3.44,3.32,3.26,13.01,7.61,8.24,5.56,5.39
Debt / EBITDA Ratio,1.27,4.03,3.10,2.76,2.67,2.61,9.33,5.10,3.50,3.02,3.08
Debt / FCF Ratio,2.75,7.06,5.01,5.22,5.59,4.69,16.27,7.92,9.63,5.28,5.35
Quick Ratio,0.91,0.92,1.65,0.80,0.70,0.77,1.33,0.93,0.65,0.68,0.76
Current Ratio,1.53,1.22,2.27,1.32,1.22,1.33,1.84,1.47,1.20,1.24,1.37
Asset Turnover,3.55,2.89,3.56,3.11,3.20,3.30,2.60,2.31,3.12,3.40,3.32
Interest Coverage,12.93,4.96,5.68,6.83,5.95,6.57,1.72,1.66,3.80,5.34,5.90
Return on Equity (ROE),17.70%,12.90%,22.80%,44.80%,61.10%,69.30%,10.50%,36.90%,97.10%,115.40%,102.60%
Return on Assets (ROA),7.10%,4.10%,6.70%,6.40%,7.80%,9.20%,1.10%,2.40%,6.20%,7.90%,8.90%
Return on Capital (ROIC),12.52%,6.66%,11.23%,12.57%,15.62%,18.24%,3.39%,9.70%,14.29%,17.86%,15.77%
Earnings Yield,4.21%,3.01%,3.32%,4.24%,4.02%,4.61%,0.81%,1.34%,3.09%,4.71%,5.26%
FCF Yield,4.50%,4.55%,5.19%,5.83%,4.19%,4.79%,3.49%,3.81%,2.69%,5.63%,6.13%
Dividend Yield,3.00%,3.10%,2.40%,1.90%,2.00%,2.10%,3.20%,2.40%,2.20%,2.00%,2.52%
Payout Ratio,71.70%,101.70%,74.10%,46.20%,50.40%,46.30%,400.00%,176.70%,71.40%,42.10%,48.90%
Buyback Yield / Dilution,0.41%,-1.12%,3.26%,5.00%,3.55%,1.08%,1.79%,0.09%,-0.09%,0.83%,0.83%
Total Shareholder Return,3.41%,1.98%,5.66%,6.90%,5.55%,3.18%,4.99%,2.49%,2.11%,2.83%,3.34%
