,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,-140.23,-134.07,-139.86,-159.33,-54.27,-110.46,-853.32,-148.34,-123.47,-138.58,-102.14,-156.19,-101.38,-179.33,-123.88,30.88,16.8,28.13,71.51,93.39
Depreciation & Amortization,3.19,3.19,3.06,2.81,3.67,4.12,2.52,3.56,3.24,4.76,3.06,3.84,4.31,4.9,5.94,7.37,8.32,8.4,8.66,0
Share-Based Compensation,56.44,56.44,51.76,77.32,54.11,127.85,846.96,241.79,193.73,232.74,184.84,166.91,149.32,145.77,140.31,129.4,114.71,114.2,114.38,8.44
Other Operating Activities,-89.57,-95.73,-74.69,414.04,-290.69,39.34,-48.15,-115.3,43.39,-76.17,15.04,78.87,-16.78,91.1,24.69,-88.89,47.54,-60.54,-61.11,199.34
Operating Cash Flow,-170.16,-170.16,-159.73,334.83,-287.18,60.85,-51.99,-18.29,116.88,22.75,100.79,93.43,35.48,62.43,47.07,78.76,187.38,90.19,133.44,301.17
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-62.62%,-,-,-69.65%,174.42%,-53.30%,-15.70%,428.16%,44.47%,183.52%,282.38%
Capital Expenditures,-3.64,-3.64,-3.67,-2.15,-3.02,-2.93,-1.53,-4.76,-0.71,-0.7,-5.38,-5.84,-15.22,-5.46,-14.44,-4.92,-4.76,-3.93,-1.57,-4.86
Acquisitions,0,0,0,-8.87,0,0,-2.5,-0.43,0,0,0,3,0,0,0,66.71,0,0,0,0
Change in Investments,-,-,-,-,-,-,-,-3.37,-,-,-,-176.01,-97.75,-10.76,-57.09,-11.22,"-3,070.9",-865.98,"-3,514.76",-
Other Investing Activities,-,-,-,-,-,0.25,-0.25,3.62,-,-,-209.26,-3.02,16.49,21.52,44.18,22.51,"1,521",478.81,"3,320",-
Investing Cash Flow,-3.64,-3.64,-3.67,-11.02,-3.02,-2.68,-4.28,-4.95,-0.71,-0.7,-214.63,-181.87,-96.47,5.3,-27.34,73.08,"-1,554.59",-391.1,-196.26,-4.86
Dividends Paid,0,0,0,0,0,0,0,-469.79,0,0,0,0,0,0,0,0,0,0,0,0
Common Stock Issued,0,0,0,0,0,0,399.61,542.92,0,0,0,0,0,0,0,86.09,0,0,0,0
Share Repurchases,-3.37,-3.37,-168.33,-18,-3.78,0,0,-3.78,0,0,0,0,0,0,0,0,0,0,0,0
Other Financing Activities,46.49,46.49,-327.48,365.97,-1.28,464.78,-49.54,142.2,206.35,-31.41,99.34,32.47,27.24,20.61,23.99,-71.93,25.98,90.68,50.94,-
Financing Cash Flow,49.86,49.86,-159.16,383.97,2.49,464.78,350.07,219.11,206.35,-31.41,99.34,32.47,27.24,20.61,23.99,14.16,25.98,90.68,50.94,0
Net Cash Flow,-124.25,-124.25,-324.92,708.55,-289.33,524.39,293.32,197.81,320.33,-8.66,-16.65,-56.26,-34.48,82.73,37.58,174.59,"-1,338.56",-214.75,-12.14,296.31
Free Cash Flow,-173.8,-173.8,-163.39,332.68,-290.2,57.93,-53.52,-23.05,116.17,22.05,95.42,87.58,20.26,56.97,32.63,73.85,182.62,86.26,131.88,296.31
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-61.93%,-,-,-82.56%,158.35%,-65.80%,-15.69%,801.30%,51.40%,304.16%,301.26%
Free Cash Flow Margin,-107.73%,-98.57%,-85.75%,145.05%,-126.54%,23.00%,-18.50%,-7.16%,34.04%,5.87%,24.33%,20.23%,4.54%,12.04%,6.83%,14.52%,34.77%,16.17%,23.63%,48.71%
Free Cash Flow Per Share,-0.30,-0.30,-0.18,0.37,-0.32,0.04,-0.06,-0.01,0.06,0.01,0.05,0.04,0.01,0.03,0.02,0.04,0.08,0.04,0.06,0.13
