,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,161.33,176.32,190.54,229.36,229.33,251.89,289.37,322.09,341.23,375.64,392.15,432.87,446.36,473.01,477.88,508.62,525.19,533.32,558.16,608.35
Revenue Growth (YoY),-,-,-,-,42.15%,42.86%,51.87%,40.43%,48.80%,49.13%,35.52%,34.39%,30.81%,25.92%,21.86%,17.50%,17.66%,12.75%,16.80%,19.61%
Cost of Revenue,50.7,56.59,65.07,75.9,64.29,68.41,149.34,70.5,74.11,90.93,86.8,87.56,94.4,102.22,107.61,104.31,107.65,106.9,107.92,108.64
Gross Profit,110.63,119.73,125.47,153.46,165.03,183.48,140.03,251.59,267.12,284.72,305.34,345.3,351.95,370.79,370.27,404.31,417.54,426.42,450.24,499.71
Selling & Marketing,108.79,110.53,119.67,112.87,98.65,102.52,334.91,147.62,136.1,162.38,153.44,162.59,160.49,168.88,182.92,190.23,187.09,146.03,176.37,197.36
General & Administrative,67.34,70.59,74.06,112.21,70.77,93.29,338.98,166.41,146.57,157.96,149.52,157.48,142.31,155.49,148.68,149.86,136.23,170.78,128.17,127.27
Research & Development,76.92,78.72,75.88,75.84,65.8,86.82,313.92,94.13,98.47,110.52,94.32,84.18,88.6,88.17,100.86,82.04,90.1,99.53,105.71,109.28
Other Operating Expenses,0,0,2.31,-4.71,6.1,-1.59,-3.29,2.08,-4.89,2.13,-8.53,-64.12,-59.87,-135.8,-65.05,44.64,-2.86,-9.02,3.86,0
Operating Expenses,252.3,256.47,269.61,300.91,235.22,282.62,987.8,408.16,381.14,430.86,397.28,404.25,391.39,412.53,432.46,422.14,413.43,416.34,410.25,433.92
Operating Income,-142.43,-140.12,-144.14,-147.45,-70.19,-99.15,-847.78,-156.57,-114.01,-146.15,-91.94,-58.94,-39.44,-41.75,-62.19,-17.83,4.12,10.07,39.98,65.79
Interest Income,4.67,4.06,3.39,2.14,3.27,0.55,0.49,0.37,0.38,0.37,0.38,0.48,0.55,1.47,5.54,12.75,20.85,30.31,36.86,44.55
Interest Expense,0,0,0.17,2.67,4.59,5.65,2.09,1.81,1.84,0.59,0.61,0.6,0.59,0.67,1.08,1.71,1.28,1.32,0.74,-0.14
Other Expense / Income,-0.76,-3.38,-3.09,7.46,-19.8,5.27,12.49,-2.08,4.89,-2.13,8.53,64.12,59.87,135.8,65.05,-42.03,5.21,8.77,-1.93,7.75
Pretax Income,-137,-132.68,-137.83,-155.44,-51.72,-109.51,-861.86,-155.94,-120.37,-144.24,-100.7,-123.18,-99.36,-176.74,-122.78,37.85,20.83,30.04,79.97,106.25
Income Tax,3.23,1.39,2.03,3.89,2.56,0.94,-8.54,-7.59,3.1,-5.66,1.44,33.01,2.02,2.59,1.1,4.36,1.68,2.17,6.53,9.33
Net Income,-140.23,-134.07,-139.86,-159.33,-54.27,-110.46,-853.32,-148.34,-123.47,-138.58,-102.14,-156.19,-101.38,-179.33,-123.88,30.88,16.8,28.13,71.51,93.39
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202.45%
Shares Outstanding (Basic),571,571,905,905,905,"1,588",905,"1,792","1,821","1,895","1,964","2,013","2,036","2,055","2,073","2,090","2,108","2,131","2,163","2,187"
Shares Outstanding (Diluted),571,571,905,905,905,"1,588",905,"1,792","1,821","1,895","1,964","2,013","2,036","2,055","2,073","2,090","2,217","2,278","2,326","2,358"
Shares Change,-,-,-,-,58.46%,177.82%,-,97.93%,101.13%,19.34%,116.95%,12.31%,11.81%,8.46%,5.54%,3.86%,8.90%,10.87%,12.17%,12.79%
EPS (Basic),-0.25,-0.23,-0.15,-0.19,-0.06,-0.07,-0.94,-0.08,-0.07,-0.07,-0.05,-0.08,-0.05,-0.09,-0.06,0.01,0.01,0.01,0.03,0.04
EPS (Diluted),-0.25,-0.23,-0.15,-0.19,-0.07,-0.07,-0.94,-0.08,-0.07,-0.07,-0.05,-0.08,-0.05,-0.09,-0.06,0.01,0.01,0.01,0.03,0.04
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,296.00%
Free Cash Flow,-173.8,-173.8,-163.39,332.68,-290.2,57.93,-53.52,-23.05,116.17,22.05,95.42,87.58,20.26,56.97,32.63,73.85,182.62,86.26,131.88,296.31
Free Cash Flow Per Share,-0.30,-0.30,-0.18,0.37,-0.32,0.04,-0.06,-0.01,0.06,0.01,0.05,0.04,0.01,0.03,0.02,0.04,0.08,0.04,0.06,0.13
Gross Margin,68.57%,67.91%,65.85%,66.91%,71.96%,72.84%,48.39%,78.11%,78.28%,75.79%,77.86%,79.77%,78.85%,78.39%,77.48%,79.49%,79.50%,79.96%,80.66%,82.14%
Operating Margin,-88.28%,-79.47%,-75.65%,-64.29%,-30.60%,-39.36%,-292.98%,-48.61%,-33.41%,-38.91%,-23.45%,-13.62%,-8.84%,-8.83%,-13.01%,-3.50%,0.78%,1.89%,7.16%,10.82%
Profit Margin,-86.92%,-76.04%,-73.40%,-69.47%,-23.67%,-43.85%,-294.89%,-46.06%,-36.18%,-36.89%,-26.05%,-36.08%,-22.71%,-37.91%,-25.92%,6.07%,3.20%,5.27%,12.81%,15.35%
Free Cash Flow Margin,-107.73%,-98.57%,-85.75%,145.05%,-126.54%,23.00%,-18.50%,-7.16%,34.04%,5.87%,24.33%,20.23%,4.54%,12.04%,6.83%,14.52%,34.77%,16.17%,23.63%,48.71%
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.52%,8.07%,7.23%,8.17%,8.79%
EBITDA,-139.23,-136.92,-141.08,-144.65,-66.51,-95.02,-845.26,-153.01,-110.78,-141.39,-88.88,-55.1,-35.13,-36.85,-56.25,-10.45,12.44,18.47,89.37,65.79
EBITDA Margin,-86.30%,-77.65%,-74.04%,-63.07%,-29.00%,-37.72%,-292.11%,-47.50%,-32.46%,-37.64%,-22.67%,-12.73%,-7.87%,-7.79%,-11.77%,-2.06%,2.37%,3.46%,16.01%,10.82%
Depreciation & Amortization,3.19,3.19,3.06,2.81,3.67,4.12,2.52,3.56,3.24,4.76,3.06,3.84,4.31,4.9,5.94,7.37,8.32,8.4,8.66,0
EBIT,-142.43,-140.12,-144.14,-147.45,-70.19,-99.15,-847.78,-156.57,-114.01,-146.15,-91.94,-58.94,-39.44,-41.75,-62.19,-17.83,4.12,10.07,80.71,-
EBIT Margin,-88.28%,-79.47%,-75.65%,-64.29%,-30.60%,-39.36%,-292.98%,-48.61%,-33.41%,-38.91%,-23.45%,-13.62%,-8.84%,-8.83%,-13.01%,-3.50%,0.78%,1.89%,14.46%,-
