,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"5,428","5,428","8,602","8,602","8,602","15,081","8,602","42,205","42,415","49,942","47,224","36,652","27,958","18,637","16,856","13,420","17,811","32,672","34,600","37,554","53,181"
Market Cap Growth,-,-,-,-,58.46%,177.82%,0%,390.65%,393.09%,231.15%,449.00%,-13.16%,-34.08%,-62.68%,-64.31%,-63.38%,-36.30%,75.31%,105.28%,179.83%,-
Enterprise Value,"6,545",-,-,"7,919","9,681","13,881","6,999","40,650","40,528","47,850","45,152","34,621","25,957","16,536","14,689","11,071","16,805","31,862","33,796","36,953","49,736"
PE Ratio,-9.68,-10.12,-15.38,-13.50,-39.62,-34.13,-2.52,-71.13,-85.88,-90.10,-115.59,-58.67,-68.95,-25.98,-34.02,108.66,265.01,290.39,120.97,100.53,272.77
PS Ratio,33.65,30.79,45.14,11.35,10.42,16.74,8.60,38.63,35.21,37.60,33.00,23.77,16.98,10.68,9.21,7.04,8.97,15.98,16.28,16.88,23.90
PB Ratio,10.68,0,0,-4.34,58.68,19.79,6.87,27.72,23.49,24.14,21.01,16.00,11.82,7.93,7.06,5.23,6.54,11.05,10.85,10.81,15.30
P/FCF Ratio,-31.23,-31.23,-52.65,-48.24,-29.19,-239.46,183.45,-136.65,434.89,809.99,224.24,114.10,124.09,71.62,85.37,73.05,51.47,87.04,72.90,53.87,76.29
P/OCF Ratio,-31.90,-31.90,-53.85,-52.06,-30.48,-294.43,152.21,-142.29,394.71,720.11,212.59,109.79,110.75,63.80,70.70,59.98,47.41,80.99,70.65,52.73,74.67
Debt / Equity Ratio,0,0,0,-0.20,0,0.39,0.16,0.30,0.25,0.12,0.12,0.11,0.11,0.11,0.10,0.10,0.10,0.08,0.07,0.07,0.07
Quick Ratio,0,0,0,1.55,0,2.65,2.08,3.59,3.73,3.79,3.90,4.11,4.15,4.09,4.08,4.92,5.25,5.08,5.39,5.41,5.41
Current Ratio,0,0,0,1.67,0,2.78,2.54,3.74,3.88,3.90,4.13,4.34,4.38,4.36,4.28,5.17,5.41,5.22,5.53,5.55,5.55
Asset Turnover,,0,0,0,0.14,0,0.13,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.14,0.13,0.13,0.13
Interest Coverage,0,0,-833.18,-55.31,-15.28,-17.56,-406.61,-86.31,-61.96,-247.71,-150.97,-98.07,-66.40,-62.31,-57.48,-10.41,3.23,7.65,53.89,-483.78,-483.78
Return on Equity (ROE),,-,-,-27.52%,28.95%,-332.58%,-60.88%,-94.06%,-76.61%,-68.42%,-61.08%,-22.80%,-22.71%,-21.07%,-22.95%,-23.50%,-14.57%,-9.38%,-1.63%,4.62%,6.04%
Return on Assets (ROA),,-,-,-,-35.98%,-,-24.52%,-45.22%,-43.35%,-40.99%,-41.09%,-15.90%,-16.02%,-15.01%,-16.42%,-16.90%,-10.80%,-6.94%,-1.21%,3.51%,4.64%
Return on Capital (ROIC),,-,-,-28.36%,36.23%,-342.38%,-43.50%,-80.34%,-59.29%,-53.90%,-54.53%,-20.26%,-16.11%,-12.78%,-8.91%,-7.69%,-5.65%,-3.89%,-2.03%,0.99%,2.97%
Earnings Yield,-2.58%,-2.47%,-1.63%,-1.85%,-0.63%,-0.73%,-9.92%,-0.35%,-0.29%,-0.28%,-0.22%,-0.43%,-0.36%,-0.96%,-0.73%,0.23%,0.09%,0.09%,0.21%,0.25%,0.39%
FCF Yield,-3.20%,-3.20%,-1.90%,3.87%,-3.37%,0.38%,-0.62%,-0.05%,0.27%,0.04%,0.20%,0.24%,0.07%,0.31%,0.19%,0.55%,1.03%,0.26%,0.38%,0.79%,1.31%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-316.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-,-,-,-,-58.46%,-177.82%,-,-97.93%,-101.13%,-19.34%,-116.95%,-12.31%,-11.81%,-8.46%,-5.54%,-3.86%,-8.90%,-10.87%,-12.17%,-12.79%,-12.79%
Total Shareholder Return,-,-,-,-,-58.46%,-177.82%,-,-96.81%,-101.13%,-19.34%,-116.95%,-12.31%,-11.81%,-8.46%,-5.54%,-3.86%,-8.90%,-10.87%,-12.17%,-12.79%,-12.79%
