,2019-03-31,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"-1,116.34","1,079","-1,079.15","1,498","1,800","2,011","2,339","2,341","2,335","2,291","2,269","2,358","2,411","2,599","1,265","1,056","1,040",831.05
Short-Term Investments,"2,233",0,"2,158",0,0,0,0,0,148.08,234.15,252.56,99.21,57.34,35.14,"1,640","2,047","2,243","2,843"
Cash & Cash Equivalents,"1,116","1,079","1,079","1,498","1,800","2,011","2,339","2,341","2,483","2,525","2,522","2,458","2,469","2,634","2,905","3,103","3,284","3,674"
Cash Growth,-,-,-,-,61.26%,86.38%,116.78%,56.33%,37.94%,25.53%,7.80%,4.97%,-0.58%,4.31%,15.17%,26.27%,33.01%,39.51%
Receivables,0,50.32,0,106.13,162.27,156.93,151.4,243,174.41,190.92,256.55,265.83,343.26,258.35,254.04,375.76,430.27,364.78
Inventory,0,52.1,0,37.07,43.8,37.29,37.11,36.75,41.32,36.63,0,0,0,16.24,11.95,0,0,0
Other Current Assets,0,32.59,0,39.41,388.17,51.89,61.76,41.65,112.62,110.87,148.85,179.01,134.71,133.31,85.63,97.91,95.55,99.66
Total Current Assets,"1,116","1,214","1,079","1,680","2,394","2,257","2,590","2,663","2,811","2,863","2,927","2,902","2,947","3,042","3,256","3,577","3,809","4,139"
"Property, Plant & Equipment",0,31.59,0,29.39,29.37,246.62,240.71,234.07,249.62,248.2,266.75,259.05,257.18,269.41,273.13,253.76,240.32,230.62
Long-Term Investments,0,26.15,0,25.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Assets,0,322.14,0,157.48,179.92,186.46,183.78,179.05,163.21,136,125.05,120.85,115.04,150.25,153.86,149.59,143.7,153.19
Total Long-Term Assets,0,379.87,0,212.16,209.29,433.08,424.49,413.12,412.84,384.2,391.81,379.9,372.23,419.66,426.99,403.35,384.02,383.81
Total Assets,0,"1,594",0,"1,892","2,604","2,691","3,014","3,076","3,224","3,247","3,319","3,282","3,319","3,461","3,683","3,980","4,193","4,522"
Accounts Payable,0,51.74,0,16.08,22.22,16.36,17.23,30.91,17.65,74.91,27.45,56.8,59.51,44.79,4.53,4.61,9.48,12.12
Deferred Revenue,0,550.24,0,495.73,452.97,399.84,436.68,452.26,440.81,389.42,451.43,380.47,423.91,325.34,369.29,444.3,452.49,246.9
Current Debt,0,0,0,0,0,29.08,32.11,33.16,43.58,39.93,40.05,40.91,40.23,45.1,53.07,51.86,52.2,54.18
Other Current Liabilities,0,126.62,0,92.31,467,158.55,181.6,166.25,179.47,155.81,150.18,187.57,164.7,172.72,174.53,184.62,174.75,432.82
Total Current Liabilities,0,728.6,0,604.12,942.19,603.82,667.63,682.59,681.51,660.06,669.1,665.74,688.35,587.94,601.41,685.38,688.93,746.02
Long-Term Debt,0,396.07,0,297.58,197.75,427.78,420.61,216.63,219.65,220.15,227.62,216.06,204.9,204.31,206.42,194.13,184.07,175.22
Other Long-Term Liabilities,0,"2,450",0,228.68,212.02,136.35,120,107.49,75.12,76.21,57.71,51.71,38.97,26.56,72.11,65.61,48.53,40.23
Total Long-Term Liabilities,0,"2,846",0,526.25,409.77,564.13,540.62,324.12,294.76,296.36,285.33,267.77,243.87,230.86,278.53,259.74,232.6,215.44
Total Liabilities,0,"3,575",0,"1,130","1,352","1,168","1,208","1,007",976.27,956.42,954.43,933.51,932.22,818.8,879.95,945.13,921.52,961.46
Total Debt,0,396.07,0,297.58,197.75,456.86,452.72,249.79,263.23,260.07,267.66,256.97,245.14,249.4,259.49,245.99,236.27,229.39
Debt Growth,-,-,-,-,-,15.35%,-,-16.06%,33.11%,-43.07%,-40.88%,2.87%,-6.87%,-4.10%,-3.05%,-4.27%,-3.62%,-8.02%
Common Stock,0,0.59,0,1.59,1.73,1.79,1.86,1.94,1.99,2.03,2.05,2.06,2.08,2.1,2.12,2.15,2.17,2.2
Retained Earnings,0,"-3,798.96",0,"-4,550.99","-4,817.01","-4,965.35","-5,088.83","-5,227.41","-5,329.55","-5,485.73","-5,587.11","-5,766.44","-5,890.32","-5,859.44","-5,842.64","-5,814.51","-5,743","-5,649.61"
