,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"15,401","22,195","28,178","31,136","41,956","32,118","33,036","41,524","40,917","41,284","44,573"
Market Cap Growth,89.56%,44.12%,26.96%,10.50%,34.75%,-23.45%,2.86%,25.69%,-1.46%,0.90%,-
Enterprise Value,"22,357","29,382","36,177","40,197","52,053","45,640","45,139","51,505","51,134","53,612","56,193"
PE Ratio,7.93,26.45,26.71,20.37,18.22,9.35,-2799.68,20.78,-1012.80,-581.46,28.32
PS Ratio,3.16,3.68,4.30,4.25,5.54,3.96,3.96,4.82,4.64,4.37,4.54
PB Ratio,3.09,3.85,4.30,4.52,5.26,2.56,2.72,3.05,3.49,4.91,4.71
P/FCF Ratio,25.55,61.38,53.94,39.38,47.69,22.42,18.02,21.18,24.32,23.89,28.18
P/OCF Ratio,18.64,20.53,19.93,18.36,21.72,14.30,12.95,14.80,15.12,14.97,15.79
EV/Sales Ratio,4.59,4.87,5.52,5.49,6.87,5.62,5.41,5.98,5.80,5.67,5.72
EV/EBITDA Ratio,8.34,17.06,18.18,15.17,17.63,9.47,-334.61,15.74,48.95,43.84,19.23
EV/EBIT Ratio,8.85,19.32,19.99,16.66,19.58,10.17,-82.12,17.79,81.76,71.50,23.32
EV/FCF Ratio,37.10,81.25,69.25,50.84,59.17,31.87,24.63,26.27,30.39,31.02,35.53
Debt / Equity Ratio,1.41,1.26,1.23,1.34,1.28,1.08,1.00,0.77,0.89,1.48,1.24
Debt / EBITDA Ratio,2.62,4.24,4.06,3.49,3.45,2.82,-90.32,3.19,9.97,10.19,4.00
Debt / FCF Ratio,11.65,20.18,15.47,11.68,11.58,9.51,6.65,5.33,6.19,7.21,7.40
Quick Ratio,0.34,0.63,0.36,0.34,0.42,0.30,0.41,0.98,0.41,0.35,0.29
Current Ratio,1.36,2.57,1.31,1.20,1.70,1.16,1.51,2.40,1.23,1.18,1.05
Asset Turnover,0.37,0.41,0.41,0.41,0.38,0.31,0.30,0.32,0.34,0.38,0.40
Interest Coverage,7.81,4.50,5.76,7.24,8.01,12.23,-1.28,7.51,1.75,1.88,5.35
Return on Equity (ROE),45.00%,15.10%,16.80%,21.90%,29.40%,30.10%,-0.10%,16.10%,-0.30%,-0.80%,17.40%
Return on Assets (ROA),14.90%,5.60%,6.60%,8.50%,11.70%,13.20%,0.00%,7.40%,-0.20%,-0.30%,6.30%
Return on Capital (ROIC),5.85%,8.15%,8.50%,9.69%,12.43%,7.68%,8.56%,9.24%,-1.58%,-2.75%,11.29%
Earnings Yield,12.62%,3.78%,3.74%,4.91%,5.49%,10.70%,-0.04%,4.81%,-0.10%,-0.17%,3.50%
FCF Yield,3.91%,1.63%,1.85%,2.54%,2.10%,4.46%,5.55%,4.72%,4.11%,4.19%,3.55%
Dividend Yield,0.00%,0.00%,0.90%,1.00%,1.00%,1.70%,1.70%,1.40%,1.40%,1.40%,1.46%
Payout Ratio,0.00%,0.00%,22.90%,20.60%,17.40%,16.20%,-4285.70%,28.70%,-1381.80%,-2909.10%,41.35%
Buyback Yield / Dilution,-3.37%,-1.62%,-1.14%,-0.12%,1.48%,2.33%,12.43%,-14.02%,12.75%,-0.99%,11.67%
Total Shareholder Return,-3.37%,-1.62%,-0.24%,0.88%,2.48%,4.03%,14.13%,-12.62%,14.15%,0.41%,13.13%
