,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"135,927","144,954","154,268","157,915","205,911","249,806","196,550","233,772","189,193","213,204","196,835"
Market Cap Growth,0.03%,6.64%,6.43%,2.36%,30.39%,21.32%,-21.32%,18.94%,-19.07%,12.69%,-
Enterprise Value,"150,110","163,431","175,280","179,924","222,546","262,722","199,324","236,123","191,629","211,472","180,962"
PE Ratio,17.31,16.14,14.37,16.43,1871.92,21.50,17.53,22.07,16.02,16.90,18.35
PS Ratio,2.88,2.95,3.13,3.29,4.17,4.81,3.99,4.69,3.67,3.74,4.43
PB Ratio,2.40,2.43,2.43,2.39,4.77,7.44,5.18,5.66,4.76,4.81,4.35
P/FCF Ratio,12.29,12.80,12.42,12.23,16.05,16.74,13.41,15.84,14.84,11.20,11.26
P/OCF Ratio,11.02,11.55,11.37,11.38,15.07,15.78,12.74,15.13,14.30,10.72,10.76
EV/Sales Ratio,3.18,3.32,3.56,3.75,4.51,5.06,4.04,4.74,3.72,3.71,4.07
EV/EBITDA Ratio,11.43,11.12,10.95,11.11,13.46,14.89,11.83,14.36,11.41,11.75,12.15
EV/EBIT Ratio,14.03,13.34,12.64,12.94,15.52,16.68,13.26,16.19,12.91,12.99,13.73
EV/FCF Ratio,13.58,14.43,14.11,13.93,17.34,17.61,13.60,16.00,15.03,11.11,10.35
Debt / Equity Ratio,0.37,0.42,0.45,0.51,0.59,0.73,0.38,0.28,0.24,0.19,0.17
Debt / EBITDA Ratio,1.59,1.73,1.79,2.08,1.55,1.40,0.87,0.70,0.57,0.47,0.51
Debt / FCF Ratio,1.89,2.24,2.31,2.61,1.99,1.65,1.00,0.78,0.75,0.44,0.44
Quick Ratio,3.10,2.97,3.05,2.92,2.11,1.39,1.58,1.32,1.16,1.13,1.18
Current Ratio,3.39,3.23,3.16,3.03,2.29,1.51,1.72,1.49,1.43,1.38,1.47
Asset Turnover,0.45,0.43,0.40,0.37,0.45,0.53,0.52,0.51,0.55,0.56,0.59
Interest Coverage,16.57,19.03,18.73,13.91,13.05,16.55,23.28,29.57,38.80,35.20,38.52
Return on Equity (ROE),13.86%,15.04%,16.89%,14.53%,0.25%,34.62%,29.57%,25.66%,29.70%,28.44%,23.91%
Return on Assets (ROA),7.47%,7.91%,8.83%,7.40%,0.10%,11.88%,11.82%,10.86%,12.57%,12.38%,10.94%
Return on Capital (ROIC),9.74%,10.15%,11.41%,9.38%,0.15%,19.47%,20.82%,19.41%,23.12%,23.47%,19.82%
Earnings Yield,5.78%,6.20%,6.96%,6.08%,0.05%,4.65%,5.71%,4.53%,6.24%,5.92%,5.49%
FCF Yield,8.13%,7.81%,8.05%,8.18%,6.23%,5.97%,7.46%,6.31%,6.74%,8.93%,8.88%
Dividend Yield,2.76%,2.82%,3.08%,3.49%,2.90%,2.39%,3.06%,2.64%,3.29%,2.96%,3.30%
Payout Ratio,47.85%,45.50%,44.23%,57.35%,5425.45%,51.45%,53.65%,58.19%,52.69%,49.96%,48.48%
Buyback Yield / Dilution,1.84%,2.56%,1.13%,0.77%,3.33%,8.77%,4.47%,0.42%,1.04%,2.08%,1.04%
Total Shareholder Return,4.60%,5.38%,4.21%,4.26%,6.23%,11.16%,7.53%,3.06%,4.33%,5.03%,4.35%
