,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-16.93,-2.57,-10.21,-13.85,-3.34,-2.19,-1.85,-12.13,-18.57,-6.76,7.9,-13.59,-16.37,0.67,19.18
Depreciation & Amortization,17.39,18.33,19.48,20.37,20.95,21.59,22.38,23.45,23.93,24.34,25.63,28.33,28.91,27.62,30.55
Share-Based Compensation,9.38,2.76,12.73,4.59,6.62,12.2,18.56,24.2,25.98,28.18,23.59,28.07,31.53,36.43,-2.37
Other Operating Activities,-8.52,-2.94,1.26,7.2,-4.45,8.8,1.1,-2.79,-0.95,0.31,-1.28,22.33,-7.86,-0.55,6.69
Operating Cash Flow,1.32,15.58,23.25,18.31,19.79,40.41,40.18,32.73,30.4,46.07,55.85,65.14,36.22,64.16,54.05
Operating Cash Flow Growth,-,-,-,-,1399.32%,159.43%,72.80%,78.76%,53.61%,14.02%,38.99%,99.02%,19.12%,39.26%,-3.21%
Capital Expenditures,-24.6,-30.8,-24.57,-30.55,-23.69,-25.98,-20.9,-32.4,-24.86,-27.25,-33.19,-30.98,-25.1,-24.41,-21.41
Acquisitions,0,0,0,0,0,0,-5,0,-4,-1.4,-305.16,-0.01,-2.5,0,-99.34
Change in Investments,0,0,0,0,0,0,0,0,"-1,092.16",-5.25,296.49,82.57,135.56,160.16,125.31
Other Investing Activities,-3.63,-,-1.49,-,-,-,-5.64,-,-,-4.92,-,-,-,-,-
Investing Cash Flow,-28.23,-30.8,-26.06,-30.55,-23.69,-25.98,-31.54,-32.4,"-1,121.02",-38.81,-41.87,51.58,107.96,135.75,4.56
Share Issuance / Repurchase,5.82,3.39,1.95,1.35,726.87,3.75,5.66,-338.55,-144.57,-391.72,-48.11,3.84,-260.37,-94.09,-102.34
Debt Issued / Paid,78.64,-2.78,-4.13,-10.02,-263.23,0,0,"1,462",-0.92,-0.57,-0.03,0,0,0,-0.95
Other Financing Activities,-,49.81,-,-,-,-1.01,-1.77,-0.41,-12.38,-7.61,-4.62,-3.66,-3.86,-6.67,-5.06
Financing Cash Flow,84.46,50.42,-2.18,-8.68,463.64,2.74,3.89,"1,123",-157.88,-399.9,-52.76,0.18,-264.23,-100.76,-108.35
Exchange Rate Effect,0,0,0,-0.2,0,0,0,0.01,-0.05,-0.12,-0.18,-0.25,-0.03,0.01,-0.04
Net Cash Flow,57.55,35.2,-4.99,-21.11,459.74,17.17,12.53,"1,123","-1,248.55",-392.76,-38.96,116.66,-120.09,99.17,-49.78
Free Cash Flow,-23.28,-15.22,-1.32,-12.24,-3.9,14.43,19.28,0.33,5.54,18.83,22.65,34.17,11.11,39.76,32.64
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,30.50%,17.49%,10190.96%,100.70%,111.19%,44.10%
Free Cash Flow Margin,-31.98%,-19.79%,-1.63%,-13.98%,-4.16%,13.90%,17.30%,0.28%,4.35%,14.06%,14.89%,20.96%,6.73%,23.41%,18.43%
Free Cash Flow Per Share,-0.58,-0.37,-0.03,-0.28,-0.08,0.14,0.18,0.00,0.05,0.18,0.23,0.35,0.12,0.45,0.37
