,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,-,72.79,76.91,81.16,87.52,93.66,103.81,111.43,119.66,127.33,133.88,152.12,163,165.13,169.81,177.06
Revenue Growth (YoY),-,-,-,-,-,28.67%,34.97%,37.29%,36.73%,35.94%,28.97%,36.51%,36.22%,29.69%,26.84%,16.40%
Cost of Revenue,-,34.68,35.21,37.06,38.58,39.54,43.15,43.51,44.4,47.2,47.81,56.73,63.39,71.88,67.35,70.33
Gross Profit,-,38.11,41.71,44.1,48.94,54.12,60.67,67.92,75.26,80.13,86.07,95.39,99.61,93.26,102.46,106.73
"Selling, General & Admin",-,31.12,24.8,31.11,26.64,28.46,36.17,39.67,49.17,56.47,57.06,57.94,74.74,67.17,64.96,39.08
Research & Development,-,19.48,15.13,19.71,20.66,22.4,27.12,29.93,36.23,37.24,36.96,30.24,39.45,38.27,38.57,32.63
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0.43,-0.44
Operating Expenses,-,50.6,39.93,50.82,47.3,50.86,63.3,69.59,85.4,93.71,94.01,88.19,114.18,126.31,103.96,71.27
Operating Income,-,-12.49,1.78,-6.72,1.64,3.25,-2.63,-1.67,-10.14,-13.58,-7.95,7.2,-14.57,-33.06,-1.5,35.47
Interest Expense / Income,-,3.52,3.78,3.19,3.13,2.26,0.23,0.19,1.07,2.06,2.1,2.13,2.12,2.19,2.11,2.33
Other Expense / Income,-,0.18,0.32,0.44,12.32,3.34,-0.2,0.14,-0.01,-0.41,-2.11,-3.27,-4.41,-7.39,-7.59,-3.98
Pretax Income,-,-16.19,-2.32,-10.35,-13.81,-2.34,-2.66,-2,-11.2,-15.23,-7.93,8.35,-12.28,-27.85,3.98,37.11
Income Tax,-,0.75,0.25,-0.13,0.05,1,-0.47,-0.15,0.92,3.34,-1.17,0.44,1.31,-11.48,3.32,17.94
Net Income,-,-16.93,-2.57,-10.21,-13.85,-3.34,-2.19,-1.85,-12.13,-18.57,-6.76,7.9,-13.59,-16.37,0.67,19.18
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142.63%
Shares Outstanding (Basic),38,40,41,42,43,49,107,108,108,107,103,97,97,96,89,88
Shares Outstanding (Diluted),-,40,41,42,43,49,107,108,108,107,103,105,97,96,96,103
Shares Change,-,-,-,-,13.25%,23.75%,157.76%,155.73%,151.16%,116.42%,-3.99%,-2.80%,-10.43%,-10.67%,-6.10%,-2.15%
EPS (Basic),-,-0.42,-0.06,-0.24,-0.33,-0.07,-0.02,-0.02,-0.13,-0.17,-0.07,0.08,-0.14,-0.17,0.01,0.22
EPS (Diluted),-,-0.42,-0.06,-0.24,-0.33,-0.07,-0.02,-0.02,-0.13,-0.17,-0.07,0.08,-0.14,-0.17,0.01,0.20
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150.00%
Free Cash Flow,-,-23.28,-15.22,-1.32,-12.24,-3.9,14.43,19.28,0.33,5.54,18.83,22.65,34.17,11.11,39.76,32.64
Free Cash Flow Per Share,-,-0.58,-0.37,-0.03,-0.28,-0.08,0.14,0.18,0.00,0.05,0.18,0.23,0.35,0.12,0.45,0.37
Gross Margin,-,52.35%,54.23%,54.33%,55.92%,57.78%,58.44%,60.96%,62.90%,62.93%,64.29%,62.71%,61.11%,56.47%,60.34%,60.28%
Operating Margin,-,-17.15%,2.31%,-8.28%,1.87%,3.47%,-2.53%,-1.50%,-8.47%,-10.67%,-5.93%,4.73%,-8.94%,-20.02%,-0.88%,20.03%
Profit Margin,-,-23.26%,-3.34%,-12.59%,-15.83%,-3.56%,-2.11%,-1.66%,-10.13%,-14.58%,-5.05%,5.20%,-8.34%,-9.91%,0.39%,10.83%
Free Cash Flow Margin,-,-31.98%,-19.79%,-1.63%,-13.98%,-4.16%,13.90%,17.30%,0.28%,4.35%,14.06%,14.89%,20.96%,6.73%,23.41%,18.43%
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,5.30%,-,-,83.30%,48.33%
EBITDA,-,4.73,19.79,12.32,9.69,20.86,19.16,20.57,13.32,10.76,18.51,36.1,18.17,3.25,33.71,70
EBITDA Margin,-,6.49%,25.73%,15.18%,11.07%,22.28%,18.46%,18.46%,11.13%,8.45%,13.82%,23.73%,11.15%,1.97%,19.85%,39.53%
Depreciation & Amortization,-,17.39,18.33,19.48,20.37,20.95,21.59,22.38,23.45,23.93,24.34,25.63,28.33,28.91,27.62,30.55
EBIT,-,-12.67,1.46,-7.16,-10.68,-0.09,-2.43,-1.81,-10.13,-13.17,-5.83,10.47,-10.16,-25.66,6.09,39.45
EBIT Margin,-,-17.40%,1.90%,-8.82%,-12.20%,-0.09%,-2.34%,-1.63%,-8.47%,-10.34%,-4.36%,6.88%,-6.24%,-15.54%,3.59%,22.28%
