,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,-,-,-,"4,436","5,924","8,333","8,769","6,225","4,387","3,506","2,453","3,798","3,565","2,135","3,466"
Market Cap Growth,-,-,-,-,-,-,-,-,-,40.33%,-25.95%,-57.93%,-72.03%,-39.00%,-18.73%,-39.10%,-
Enterprise Value,155,-,-,-,157,"3,874","5,344","7,741","8,517","6,133","4,685","4,148","3,222","4,862","4,672","3,408","4,740"
PE Ratio,-,-,-,-,-,-148.01,-200.19,-392.52,-449.64,-179.24,-111.61,-118.65,-88.21,-131.81,-166.67,-211.03,-211.03
PS Ratio,-,-,-,-,-,13.08,16.18,21.02,20.46,13.47,8.91,6.58,4.26,6.18,5.48,3.16,5.13
PB Ratio,-,-,-,-,-,5.25,6.90,9.19,15.17,14.55,90.87,116.03,51.56,-18.74,-13.32,-5.95,-5.95
P/FCF Ratio,-,-,-,-,-,-135.77,-1956.36,474.26,290.95,157.32,99.76,74.05,30.21,43.78,33.10,18.14,29.46
P/OCF Ratio,-,-,-,-,-,57.67,58.21,70.21,65.88,43.32,29.36,21.24,12.42,18.68,16.10,9.72,15.79
Debt / Equity Ratio,-2.64,-,-,-,-3.60,-,-,-,2.53,3.42,30.38,48.59,34.38,-8.28,-6.20,-4.62,-4.62
Quick Ratio,0.78,-,-,-,1.54,12.84,11.07,10.92,30.14,25.62,16.33,8.90,5.56,3.92,3.64,2.42,2.42
Current Ratio,0.84,-,-,-,1.75,13.19,11.36,11.16,30.39,25.81,16.59,9.19,5.72,4.10,3.84,2.56,2.56
Interest Coverage,-,-3.60,0.39,-2.24,-3.42,-0.04,-10.42,-9.74,-9.48,-6.40,-2.78,4.92,-4.81,-11.72,2.88,16.91,1.11
Return on Capital (ROIC),,-,-,-,-,-8.42%,-0.01%,-0.52%,0.07%,-0.55%,-1.48%,-2.20%,-1.66%,-1.74%,-3.30%,-2.95%,-2.27%
Buyback Yield / Dilution,-,-,-,-,-13.25%,-23.75%,-157.76%,-155.73%,-151.16%,-116.42%,3.99%,2.80%,10.43%,10.67%,6.10%,2.15%,2.15%
Total Shareholder Return,-,-,-,-,-13.25%,-23.75%,-157.76%,-155.73%,-151.16%,-116.42%,3.99%,2.80%,10.43%,10.67%,6.10%,2.15%,2.15%
