,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"6,042","6,042","6,042","8,000","10,449","15,921","16,454","26,192","18,074",-,"20,011"
Market Cap Growth,-,0%,0%,32.40%,30.61%,52.37%,3.34%,59.19%,-31.00%,-,-
Enterprise Value,"12,321","13,493","13,414","17,472","19,554","24,296","24,272","33,581","25,580",-,-
PE Ratio,-22.39,-37.72,-77.23,-89.82,-1819.14,109.45,83.86,100.19,47.15,0,51.90
PS Ratio,-,9.17,7.23,8.67,9.91,9.24,9.32,14.37,9.06,-,11.14
PB Ratio,2.46,3.20,3.09,0.94,1.27,1.94,1.93,2.67,1.76,0,0
P/FCF Ratio,-482.92,41.48,30.16,40.56,25.15,31.98,31.37,35.17,22.16,-,21.74
P/OCF Ratio,124.71,30.60,24.16,30.80,18.62,24.05,23.62,28.86,17.66,-,17.57
EV/Sales Ratio,-,20.48,16.05,18.94,18.54,14.10,13.75,18.42,12.82,-,-
EV/EBITDA Ratio,-,72.01,36.33,36.73,38.98,26.40,24.98,32.89,22.39,-,-
EV/EBIT Ratio,-,-214.67,132.14,105.21,-331.74,62.87,57.91,78.31,50.71,-,-
EV/FCF Ratio,-984.77,92.63,66.96,88.58,47.06,48.80,46.28,45.08,31.37,-,-
Debt / Equity Ratio,2.67,4.09,3.87,1.14,1.12,1.29,0.94,0.82,0.75,0,0
Debt / EBITDA Ratio,-,35.03,20.93,15.92,19.24,10.05,8.71,7.87,7.00,6.07,-
Debt / FCF Ratio,-,45.07,38.57,38.38,23.23,18.58,16.15,10.78,9.81,-,-
Quick Ratio,0.08,0.12,0.09,0.89,1.05,0.63,1.67,3.34,87.43,0,0
Current Ratio,0.17,0.22,0.21,2.36,2.12,1.54,2.76,4.23,2.29,0,0
Asset Turnover,0.07,0.09,0.09,0.06,0.10,0.10,0.10,0.11,0.12,0,0.10
Interest Coverage,-0.12,0.43,0.73,0.75,0.94,1.19,1.32,1.71,2.11,0,0
Return on Equity (ROE),-,-10.99%,-8.49%,-4.00%,-1.05%,-0.07%,1.77%,2.31%,2.67%,3.72%,-
Return on Assets (ROA),-,-2.93%,-1.64%,-0.80%,-0.48%,-0.03%,0.84%,1.12%,1.41%,2.07%,-
Return on Capital (ROIC),-,-0.32%,1.24%,2.18%,1.06%,2.06%,-4.16%,-2.26%,-0.63%,3.54%,-
Earnings Yield,-4.47%,-2.65%,-1.29%,-1.11%,-0.05%,0.91%,1.19%,1.00%,2.12%,-,1.95%
FCF Yield,-0.21%,2.41%,3.32%,2.47%,3.98%,3.13%,3.19%,2.84%,4.51%,0.00%,4.60%
Dividend Yield,13.03%,11.30%,0.00%,0.86%,2.20%,1.74%,2.02%,1.50%,2.98%,-,3.42%
Payout Ratio,-291.85%,-426.07%,-0.17%,-77.46%,-4005.43%,190.21%,169.28%,150.64%,140.62%,0.00%,177.78%
Buyback Yield / Dilution,,-,-,-,-,-12.35%,-53.31%,-2.33%,-4.31%,-4.28%,-5.51%
Total Shareholder Return,-,11.30%,0.00%,0.86%,-10.15%,-51.57%,-0.31%,-2.81%,-1.29%,-5.51%,3.42%
