,symbol,name,currency,summary,category_group,category,family,exchange,market
320,100GBA-GBP.SW,UBSETF FTSE 100 GBP DIS,GBP,,,,,EBS,ch_market
1247,AADA.SW,21Shares Cardano ETP,USD,Track the performance of the crypto asset Cardano (ADA),,,21Shares,EBS,ch_market
1261,AASI.SW,Amundi Index Solutions - Amundi MSCI EM Asia,EUR,,,,Amundi Asset Management,EBS,ch_market
1264,AASU.SW,Amundi Index Solutions - Amundi MSCI EM Asia,USD,,,,Amundi Asset Management,EBS,ch_market
1267,ABBA.SW,21Shares Bitcoin Suisse ETP,CHF,This product seeks to track the investment results of an index composed of Bitcoin and Ether based on market capitalizations. The results are denominated in Swiss Francs (CHF).,,,21Shares,EBS,ch_market
1268,ABCH.SW,21Shares Bitcoin Cash ETP,USD,The Amun Bitcoin Cash ETP (Ticker: ABCH) seeks to track the investment results of Bitcoin Cash.,,,21Shares,EBS,ch_market
1349,ABNB.SW,21Shares Binance BNB ETP,USD,This product seeks to track the performance of Binance Coin.,,,21Shares,EBS,ch_market
1350,ABTC-EUR.SW,21Shares Bitcoin,EUR,,,,21Shares,EBS,ch_market
1351,ABTC-GBP.SW,21Shares Bitcoin,GBP,,,,21Shares,EBS,ch_market
1352,ABTC-USD.SW,21Shares Bitcoin,USD,,,,21Shares,EBS,ch_market
1353,ABTC.SW,Amun Underlying Tracker on Bitcoin ETP 2019,CHF,,,,21Shares,EBS,ch_market
1354,ACCUKD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to CHF) A-UKdis,CHF,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1357,ACEUKD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to EUR) A-UKdis,EUR,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1358,ACGUKD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to GBP) A-UKdis,GBP,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1375,ACUUKD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to USD) A-UKdis,USD,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1386,ACWI.SW,SPDR MSCI ACWI UCITS ETF,CHF,"The objective of the SPDR MSCI ACWI ETF (the ""Fund"") is to track the equity market performance of developed and emerging markets. The investment policy of the Fund is to track the performance of the MSCI ACWI (All Country World Index) Index (or any other index determined by the Directors from time to time to track substantially the same market as the MSCI ACWI (All Country World Index) Index and which is considered by the Directors to be an appropriate index for the Fund to track, in accordance with the Prospectus) (the ""Index"") as closely as possible, while seeking to minimize as far as possible the tracking error between the Fundâs performance and that of the Index.",,,State Street Global Advisors,EBS,ch_market
1388,ACWIA.SW,UBS ETFs plc - MSCI ACWI SF UCITS ETF (USD) A-acc,USD,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1390,ACWIE.SW,UBS ETFs plc - MSCI ACWI SF UCITS ETF (hedged to EUR) A-acc,EUR,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1391,ACWIJ.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to JPY) A-acc,JPY,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
