,symbol,name,currency,summary,category_group,category,family,exchange,market
1402,ACZ.TO,Middlefield American Core Dividend ETF,CAD,"The investment objectives of Core are to provide Core Unitholders with: (a) stable monthly cash distributions; and (b) long-term total return through capital appreciation of the Coreâs investment portfolio, through an investment strategy which focuses on a diversified, actively managed portfolio comprised primarily of dividend-paying securities with a focus on the Core Sectors.",,,Middlefield Limited,TOR,ca_market
1600,AGLB.NE,AGF Global Opportunities Bond ETF,CAD,,,,AGF Investments,NEO,ca_market
1605,AGSG.NE,AGF Global Sustainable Growth Equity ETF,CAD,,,,AGF Investments,NEO,ca_market
1759,ALFA.TO,Accelerate Private Equity Alpha Fund,CAD,"Accelerate Private Equity Alpha Fund seeks to achieve long-term capital appreciation and to replicate the returns of private equity funds over the long term by investing primarily in listed equity securities that are expected to outperform the U.S. equity market, while entering into short positions in respect of listed equity securities in this market. ALFA uses derivatives to gain exposure to its short portfolio and borrows cash to increase its long equities portfolio. The amount of all cash borrowed to finance the purchase of equity securities and the aggregate notional amount of derivatives used for non-hedging purposes will not exceed the limits permitted under applicable securities legislation.",,,Accelerate Financial Technologies,TOR,ca_market
1992,ARB.TO,Accelerate Arbitrage Fund,CAD,"Accelerate Arbitrage Fund (ARB) seeks to achieve long-term capital appreciation and a superior risk-adjusted return relative to the S&P Merger Arbitrage Index. ARB seeks to outperform the S&P Merger Arbitrage Index through an arbitrage investment strategy by investing primarily in listed equity, debt or derivative securities of target companies involved in mergers or corporate actions, while selling short certain listed equity, debt or derivative securities of acquirer companies involved in mergers or corporate actions, where applicable. The aggregate notional amount of derivatives used for non-hedging purposes will not exceed the limits permitted under applicable securities legislation. ARB has obtained exemptive relief to permit it to sell securities short up to an aggregate market value of 100% of ARBâs NAV.",,,Accelerate Financial Technologies,TOR,ca_market
2107,ATSX.TO,Accelerate Enhanced Canadian Benchmark Alternative Fund,CAD,"Accelerate Absolute Return Hedge Fund seeks to achieve longterm capital appreciation and a superior risk-adjusted return relative to the broader Canadian equity market. HDGE seeks to outperform the Canadian equity market over the long term with lower volatility by investing primarily in listed equity securities that are expected to outperform this market, while selling short certain listed equity securities that are expected to underperform this market. The aggregate market value of the securities sold short will not exceed the limits permitted under applicable securities legislation.",,,Accelerate Financial Technologies,TOR,ca_market
2124,AUGB-F.TO,First Trust Cboe Vest U.S. Equity Buffer ETF - August,CAD,"First Trust Cboe Vest U.S. Equity Buffer ETF â August seeks to provide the holders of Units (âUnitholdersâ) with returns (before fees, expenses and taxes and, in respect of the units only, any changes to the Canadian/U.S. dollar exchange rate) that match the price return of the SPDRÂ® S&P 500Â® ETF Trust (the âUnderlying ETFâ) up to a predetermined upside cap (before fees, expenses and taxes and, in respect of the units only, any changes to the Canadian/U.S. dollar exchange rate), while providing a buffer against the first 10% (before fees, expenses and taxes and, in respect of the units only, any changes to the Canadian/U.S. dollar exchange rate) of the decrease in market price of the Underlying ETF, over a period referred to as the âTarget Outcome Periodâ.",,,First Trust Advisors,TOR,ca_market
2611,BASE-B.TO,Evolve Global Materials &amp; Mining Enhanced Yield Index ETF Unhedged,CAD,"BASE seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the Solactive Materials & Mining Index, or any successor thereto (the âBASE Indexâ), while mitigating downside risk. BASE invests directly or indirectly in equity securities of global issuers engaged in the manufacturing, mining and/or integration of metals and materials, while writing covered call options on up to 33% of the portfolio securities, at the discretion of the Manager. The level of covered call option writing may vary based on market volatility and other factors.",,,Evolve Funds Group,TOR,ca_market
2612,BASE.TO,Evolve Global Materials &amp; Mining Enhanced Yield Index ETF,CAD,"BASE seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the Solactive Materials & Mining Index, or any successor thereto (the âBASE Indexâ), while mitigating downside risk. BASE invests directly or indirectly in equity securities of global issuers engaged in the manufacturing, mining and/or integration of metals and materials, while writing covered call options on up to 33% of the portfolio securities, at the discretion of the Manager. The level of covered call option writing may vary based on market volatility and other factors.",,,Evolve Funds Group,TOR,ca_market
2695,BBIG-U.TO,Horizons Global BBIG Technology ETF,USD,,,,,TOR,ca_market
