,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"29,431","32,835","30,475","41,169","37,059","33,533","35,690","39,866","37,898","28,109","29,477","36,223","33,586","39,527","34,913","39,926","38,746","34,801","39,980","34,212","35,068","37,171","37,452","37,822","18,262","17,891","19,506","25,643","30,810","27,672","27,267","25,012","25,322","18,572","17,992","21,069","22,392","30,555","23,806","25,887","25,816"
Market Cap Growth,109.33%,104.92%,50.57%,75.17%,25.92%,2.13%,17.11%,-3.16%,2.26%,-16.18%,-17.41%,-9.14%,-11.38%,40.62%,18.44%,10.22%,15.36%,-11.96%,14.51%,-14.31%,-9.49%,6.81%,-6.32%,10.55%,-47.92%,-51.87%,-47.92%,-32.20%,68.71%,54.67%,39.79%,-2.46%,-17.81%,-32.88%,-34.01%,-15.76%,-11.57%,64.52%,32.32%,22.86%,-
Enterprise Value,"36,692","38,955","36,103","47,525","43,056","39,003","40,680","44,758","43,435","32,962","33,890","40,306","40,163","45,553","41,283","46,121","45,425","40,973","46,199","49,174","50,669","51,533","51,957","52,195","35,266","32,968","39,421","47,095","52,040","47,764","48,262","48,372","48,867","40,373","40,460","45,145","45,341","52,069","45,600","49,300","49,229"
PE Ratio,2.74,3.02,3.09,62.47,31.09,17.88,12.59,8.81,8.02,5.87,6.23,8.64,8.82,11.46,10.42,12.46,12.11,11.41,12.44,8.69,8.54,8.24,7.99,7.93,5.22,-4.89,-1.85,-2.07,-2.37,-4.16,-400.98,89.33,49.07,31.01,219.42,15.99,11.81,10.23,7.00,5.62,5.60
PS Ratio,0.77,0.84,0.77,1.02,0.91,0.82,0.87,0.98,0.93,0.70,0.74,0.92,0.86,1.00,0.87,0.97,0.92,0.81,0.91,0.77,0.78,0.81,0.81,0.81,0.41,0.53,0.79,1.50,2.44,1.51,1.12,0.84,0.72,0.44,0.39,0.42,0.42,0.55,0.42,0.45,0.44
PB Ratio,2.53,2.69,2.48,4.67,4.10,3.51,3.45,3.67,3.37,2.38,2.36,2.95,2.60,2.93,2.49,3.19,3.09,2.71,2.92,2.50,2.72,2.66,2.49,2.46,1.28,2.06,5.81,16.72,63.92,21.60,10.46,6.44,8.47,4.87,3.92,3.20,3.58,3.77,2.58,2.33,2.32
P/FCF Ratio,15.36,12.71,10.31,15.26,10.86,9.07,8.29,8.00,9.31,6.37,7.22,9.47,16.37,31.27,47.05,35.27,13.50,12.38,14.83,18.53,15.11,13.72,10.78,10.84,7.84,372.74,-4.93,-4.51,-6.34,-8.69,-23.61,1471.28,-109.62,77.06,51.85,-7023.15,18.25,37.91,20.07,22.69,22.63
P/OCF Ratio,6.61,6.20,5.54,8.32,6.58,5.31,5.08,5.03,5.19,3.62,3.90,5.02,6.25,8.73,8.18,7.95,5.36,4.49,5.22,4.88,4.62,4.67,4.30,4.49,2.67,5.45,-12.69,-6.76,-8.90,-21.22,19.17,7.66,5.83,3.70,3.14,3.31,3.28,4.43,3.35,4.00,3.99
Debt / Equity Ratio,0.95,0.85,0.82,1.10,1.06,0.97,0.85,0.77,0.75,0.66,0.60,0.60,0.71,0.67,0.63,0.71,0.69,0.77,0.68,1.21,1.36,1.17,1.09,1.12,1.61,3.54,12.34,23.17,73.16,27.57,13.12,8.92,11.20,8.55,6.72,4.65,4.72,3.40,2.90,2.46,2.46
Quick Ratio,0.39,0.41,0.45,0.33,0.32,0.34,0.33,0.31,0.28,0.31,0.34,0.35,0.31,0.31,0.29,0.26,0.23,0.32,0.31,0.21,0.24,0.23,0.23,0.28,0.43,0.85,1.17,0.97,0.77,0.74,0.74,0.65,0.54,0.53,0.44,0.37,0.35,0.32,0.30,0.26,0.26
