,2014-03-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,-,38.12,41.4,24.29,8.69,20.05,57.74,48.4,40.42,-5,26.14,58.08,64.46,94.78,73.6,69.99,77.46,47.86,108.42,84.59,94.77,104.93,123.37,89.6,105.86,114.5,87.44,-21.81,69.81,143.62,52.26,111.26,-315.29,123.83,187.23,123.55,115.32,140.74
Depreciation & Amortization,-,-,22.1,22.35,23.75,44.83,52.82,53.78,50.08,31.38,52.9,43.65,45.55,44.66,44.48,46.85,46.12,82.69,50.26,47.1,49.63,49.56,50.94,48.95,54.42,56.82,59.04,83.62,118.04,117.61,233.83,138.86,133.88,137.95,142.2,137.93,152.25,140.63
Share-Based Compensation,-,-,0.87,-0.77,3.95,3.14,3.54,4.19,6.38,3.83,4.4,4.81,7.22,5.01,5.15,5.24,7.7,5.42,5.61,5.54,7.74,5.59,4.95,5.96,7.94,6.02,6.04,26.6,11.31,10,9.75,8.96,11.55,9.35,9.09,11.58,20.72,15.29
Other Operating Activities,-,-38.12,16.46,-4.73,1.93,-42.87,35.97,-26.06,11.32,70.69,51.24,-25.88,19.5,-33.97,6.56,-21.3,-5.35,-2.09,14.64,-27.89,-1.48,-28.75,19.97,-10.39,-6.26,28.37,35.33,9.01,-27.82,-26.92,-124.11,-27.34,273.68,-65.55,-122.72,8.07,-142.19,-5.42
Operating Cash Flow,-,-,80.83,41.15,38.32,25.15,150.06,80.32,108.19,100.9,134.68,80.65,136.72,110.48,129.78,100.78,125.92,133.88,178.93,109.34,150.66,131.33,199.23,134.12,161.95,205.71,187.86,97.43,171.34,244.31,171.73,231.75,103.82,205.58,215.8,281.13,146.1,291.24
Operating Cash Flow Growth,-,-,-,-,-,-,85.64%,95.16%,182.33%,301.26%,-10.25%,0.42%,26.38%,9.49%,-3.64%,24.95%,-7.90%,21.18%,37.87%,8.49%,19.65%,-1.91%,11.35%,22.67%,7.49%,56.64%,-5.71%,-27.36%,5.80%,18.77%,-8.58%,137.87%,-39.40%,-15.86%,25.66%,21.31%,40.71%,41.67%
Capital Expenditures,-,-,-28.48,-23.49,-16.4,-41.83,-43.85,-30.83,-38.27,-38.34,-60.62,-36.48,-36.86,-38.07,-51.95,-24.93,-32.07,-50.67,-76.48,-49.78,-48.19,-55.3,-57.1,-66.72,-43.75,-53.61,-74.61,-56.18,-76.8,-79.8,-73.04,-114.65,-82.73,-80.98,-69.03,-66.6,-75.94,-118.92
Acquisitions,-,-,-11.97,-44.31,-176.53,-383.84,0.66,-0.25,66.96,4.22,-0.78,-18.4,-9.8,-9.22,0.03,-0.2,0,-13.31,2.67,-34.53,-52.97,-19.23,-2.65,0,0,-869.43,-39.24,-547.35,0,0,166.62,5.23,-15.19,-17.43,-8.55,0,-530.3,0
Change in Investments,-,-,0,0,0,0,0,-4.56,-1.79,0,0,0,0,0,0,-4.96,0,0,0,0,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,0,0,0,0,0
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.08,-4.78,-1.22,-7.42,0.14,-,-,-,-,-,-2.39,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-,-,-40.45,-67.8,-192.93,-425.67,-43.19,-35.65,26.9,-34.12,-61.39,-54.88,-46.66,-47.29,-55,-34.87,-33.29,-71.41,-73.66,-84.31,-101.15,-74.53,-59.75,-66.72,-46.14,-923.04,-118.26,-603.53,-76.8,-79.8,93.58,-109.42,-97.93,-98.41,-77.58,-66.6,-606.24,-118.92
Dividends Paid,-,-,-13.72,-13.76,-14.98,-14.99,-21.48,-21.54,-24.05,-23.83,-23.78,-23.86,-26.42,-26.35,-26.3,-26.27,-28.74,-28.75,-28.75,-28.82,-31.4,-31.38,-31.44,-31.47,-34.09,-34.14,-34.14,-34.15,-42.96,-43.01,-43.05,-43.01,-46.97,-46.92,-46.6,-46.43,-51.37,-51.38
