,2014-03-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,-,473.24,501.65,439.9,489.9,618.69,690.28,638.38,646.42,646.77,681.19,607.96,634.16,661.9,715.97,638.76,678.96,696.24,768.21,696.8,736.84,774.26,822.99,668.93,756.13,808.92,873.53,968.42,"1,197","1,209","1,211","1,156","1,201","1,216","1,385","1,285","1,342","1,396"
Revenue Growth (YoY),-,-,-,-,-,30.73%,37.60%,45.12%,31.95%,4.54%,-1.32%,-4.76%,-1.90%,2.34%,5.11%,5.07%,7.06%,5.19%,7.30%,9.09%,8.52%,11.21%,7.13%,-4.00%,2.62%,4.48%,6.14%,44.77%,58.30%,49.45%,38.60%,19.42%,0.30%,0.58%,14.38%,11.07%,11.82%,14.77%
Cost of Revenue,-,276.09,288.59,255.81,280.58,380.51,426.39,398.39,398.51,389.17,400.48,352.2,367.76,383.68,423.61,369.71,394.3,409.24,433.94,390.96,418.17,442.91,458.86,381.55,426.1,463.06,493.71,542.14,716.64,670.86,639.06,638.69,668.18,694.5,796.78,711.08,748.83,793.05
Gross Profit,-,197.16,213.06,184.09,209.32,238.18,263.89,239.99,247.91,257.61,280.71,255.77,266.4,278.22,292.37,269.05,284.66,287,334.28,305.84,318.67,331.35,364.13,287.38,330.04,345.86,379.82,426.28,480.34,538.11,571.62,517.8,532.34,521.5,588.06,573.46,593.53,602.59
"Selling, General & Admin",-,122.37,130.99,126.84,172.46,177.32,150.1,151.89,163.68,158.76,207.71,156.34,153.88,159.66,162.1,158.41,162.31,176.1,173.12,178.78,175.96,172.93,189.06,155.17,172.71,182.37,221.07,393.75,344.8,310.56,453.64,334.63,323.2,305.14,335.91,359.06,380.65,360.52
Research & Development,-,14.55,14.18,13.77,14.26,14.33,14.31,14.43,14.62,14.59,15.76,14,13.97,15.2,17.61,16.22,15.77,15.17,15.88,15.59,16.25,16.49,17.23,16.23,16.14,16.44,17.51,18.19,18.83,24.82,26.1,24.75,24.93,25.51,26.39,25.5,27.04,25.91
Other Operating Expenses,0,-1.11,-0.38,-0.73,-0.06,-0.19,0.16,0.15,0.05,58.37,-0.01,0.05,0.03,0.08,-0.05,0,0,26.15,4.84,1.39,-0.27,-0.45,0.01,0.17,-0.08,0.02,-3.02,0.01,0.21,-0.21,0.03,0.03,490.63,0.04,0.36,0.02,-0.02,0.01
Operating Expenses,-,135.81,144.79,139.87,186.66,191.46,164.56,166.47,178.35,231.73,223.47,170.39,167.88,174.94,179.66,174.63,178.09,217.41,193.84,195.76,191.93,188.97,206.3,171.57,188.77,198.83,235.56,411.96,363.84,335.18,479.76,359.4,838.75,330.69,362.66,384.58,407.67,386.44
Operating Income,-,61.35,68.27,44.22,22.66,46.72,99.33,73.52,69.56,25.88,57.24,85.38,98.52,103.28,112.71,94.42,106.58,69.58,140.44,110.09,126.73,142.39,157.84,115.82,141.26,147.03,144.26,14.32,116.5,202.93,91.86,158.4,-306.42,190.8,225.4,188.88,185.86,216.16
Interest Expense / Income,-,4.82,4.74,6.12,7.49,17.71,11.4,11.07,10.92,10.98,11.55,12.47,12.68,12.46,13.02,11.74,11.39,10.88,11,10.45,10.44,9.81,9.58,9.49,8.67,8.9,10.12,21.81,23.04,22.97,21.77,22.67,26.12,28.56,30.63,32.36,36.94,38.95
