,2013-03-31,2014-03-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,37.78,50.72,-,167.69,-,-,231.36,248.84,242.42,254.35,264.86,282.92,294.84,295.63,283.84,201.53,218.52,209.92,224.91,220.63,238.07,225.54,199.23,319.58,255.63,312.03,252.5,220.53,534.77,383.49,359.09,348.32,316.33,258.26,259.37,208.36,208.61,213.76,195.59
Cash & Cash Equivalents,37.78,50.72,0,167.69,0,0,231.36,248.84,242.42,254.35,264.86,282.92,294.84,295.63,283.84,201.53,218.52,209.92,224.91,220.63,238.07,225.54,199.23,319.58,255.63,312.03,252.5,220.53,534.77,383.49,359.09,348.32,316.33,258.26,259.37,208.36,208.61,213.76,195.59
Cash Growth,-,-,-,-,-,-,-,48.39%,-,-,14.48%,13.69%,21.62%,16.23%,7.17%,-28.77%,-25.88%,-28.99%,-20.76%,9.48%,8.94%,7.44%,-11.42%,44.85%,7.38%,38.35%,26.74%,-30.99%,109.20%,22.90%,42.21%,57.95%,-40.85%,-32.66%,-27.77%,-40.18%,-34.05%,-17.23%,-24.59%
Receivables,102.42,96.83,-,325.29,-,-,440.86,471.52,439.85,441.29,443.66,483.45,455.63,449.37,472.06,528.07,481.48,490.95,509.86,564.83,509.66,513.35,544.41,586.48,503.17,503.72,556.12,609.41,743.42,762,752.13,799.04,763.79,780.11,822.76,928.32,887.76,940.33,964.02
Inventory,23.1,20.22,-,160.82,-,-,208.31,192.79,209.65,209.94,209.71,197.84,217.43,224.8,219.5,205.73,233.88,230.83,227.63,208.24,233.59,236.84,252.05,263.54,276.97,278.59,294.13,315.07,593.07,564.53,594.6,575,620.4,644.94,694.36,695.49,768.84,821.13,855.62
Other Current Assets,-2.48,-0.38,-,66.64,-,-,85.18,59.37,53.97,50.62,52.11,53.6,62.08,57.44,57.53,54.33,55.01,47.82,58.13,60.03,62.97,56.23,57.19,54.43,61.36,55.97,73.32,66.75,136.6,194.6,221.27,156.64,147.43,204.99,200.14,179.28,166.05,198.76,203.73
Total Current Assets,160.83,167.37,-,720.43,-,-,965.71,972.53,945.89,956.2,970.34,"1,018","1,030","1,027","1,033",989.66,988.89,979.52,"1,021","1,054","1,044","1,032","1,053","1,224","1,097","1,150","1,176","1,212","2,008","1,905","1,927","1,879","1,848","1,888","1,977","2,011","2,031","2,174","2,219"
"Property, Plant & Equipment",419.56,389.71,-,493.05,-,-,"1,053","1,064","1,056","1,040",939.59,915.91,942.02,962.52,983.84,"1,011",984.24,986.21,989.04,"1,032","1,177","1,182","1,226","1,244","1,292","1,319","1,377","1,386","1,707","1,711","1,716","1,741","1,756","1,746","1,858","1,897","1,921","1,936","2,040"
Long-Term Investments,0.65,0.57,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodwill and Intangibles,419.61,397.4,-,860.65,-,-,"3,309","3,280","3,259","3,181","2,942","2,956","3,048","3,091","3,102","3,161","3,032","3,009","2,945","2,928","2,950","2,895","2,998","2,922","2,923","2,968","3,970","3,924","8,335","8,087","7,991","7,733","7,514","6,783","6,884","6,835","6,752","7,098","7,099"
Other Long-Term Assets,2.48,4.53,-,23.16,-,-,22.27,29.63,33.03,33.18,35.08,34.56,35.71,39.43,37.88,39.39,46.28,46.69,51.61,60.21,59.2,76.17,59.36,51.58,51.97,55.17,57.61,52.72,51.45,50.12,55.9,70.66,70.16,72.23,80.36,78.15,80.04,72.63,77.34
Total Long-Term Assets,842.3,792.21,-,"1,377",-,-,"4,385","4,374","4,347","4,254","3,917","3,907","4,026","4,093","4,124","4,211","4,063","4,042","3,986","4,019","4,185","4,154","4,283","4,217","4,267","4,342","5,405","5,363","10,093","9,848","9,763","9,545","9,340","8,601","8,823","8,810","8,753","9,107","9,216"
Total Assets,"1,003",959.58,-,"2,097",-,-,"5,350","5,346","5,293","5,211","4,887","4,924","5,056","5,120","5,157","5,200","5,052","5,021","5,006","5,073","5,230","5,186","5,336","5,441","5,364","5,493","6,581","6,574","12,101","11,752","11,690","11,424","11,188","10,490","10,800","10,822","10,784","11,281","11,435"
Accounts Payable,116.87,103.99,-,99.34,-,-,116.34,139.57,123.25,116.35,122.47,133.48,125.55,129.21,122.11,135.87,130.74,125.55,136.72,152.91,135.49,133.8,139.81,149.34,133.53,124.94,134.47,156.95,232.19,219.26,207.15,225.74,228.99,233.31,242.49,279.62,260.69,293.63,276.73
Deferred Revenue,0.55,0.35,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Debt,4.69,5.9,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,18.46,19.19,19.81,55.58,20.97,21.36,22.77,410.39,58.81,164.29,179.35,186.56,184.97,94.95,94.96,97.85,105.05,115.15
Other Current Liabilities,11.56,13.33,-,183.99,-,-,243.63,261.03,236.21,254,227.58,248.1,228.07,238.26,244.51,262.6,243.1,247.04,261.3,312.28,277.15,275.76,291.81,334.46,290.44,289.5,350.03,398.2,502.45,507.63,532.87,517.14,492.78,454.54,459.01,487.26,528.37,474.44,521.82
Total Current Liabilities,133.67,123.57,-,283.33,-,-,359.97,400.61,359.46,370.35,350.05,381.58,353.62,367.47,366.62,398.46,373.84,372.59,398.02,465.2,432.77,428.02,450.81,503.61,479.55,435.42,505.87,577.92,"1,145",785.7,904.31,922.22,908.32,872.82,796.46,861.84,886.91,873.12,913.69
Long-Term Debt,298.98,266.18,-,621.08,-,-,"1,639","1,568","1,552","1,504","1,507","1,478","1,496","1,445","1,420","1,316","1,320","1,268","1,246","1,183","1,312","1,285","1,241","1,265","1,147","1,145","1,843","1,780","3,428","3,585","3,335","3,101","2,997","3,017","3,158","3,179","3,025","3,528","3,394"
Other Long-Term Liabilities,53.91,49.97,-,119.24,-,-,361.03,339.12,333.39,326.52,259.74,254.48,266.6,266.7,252.55,268.57,258.72,256,249.76,238.85,239.46,234.94,247.68,254.42,247.36,249.8,353.31,324.87,942.94,836.47,827.22,856.2,863.89,785.99,797.39,693.68,694.24,690,699.46
Total Long-Term Liabilities,352.89,316.15,-,740.31,-,-,"2,000","1,907","1,885","1,831","1,767","1,733","1,763","1,712","1,673","1,585","1,579","1,524","1,496","1,422","1,552","1,520","1,489","1,519","1,395","1,395","2,197","2,105","4,371","4,422","4,162","3,957","3,861","3,803","3,955","3,873","3,719","4,218","4,093"
Total Liabilities,486.57,439.72,-,"1,024",-,-,"2,360","2,308","2,245","2,201","2,117","2,114","2,117","2,079","2,039","1,983","1,953","1,896","1,894","1,887","1,985","1,948","1,940","2,023","1,874","1,830","2,703","2,683","5,516","5,208","5,066","4,879","4,769","4,676","4,751","4,735","4,606","5,091","5,007"
