,2013-03-31,2014-03-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,-,"6,472","6,103","5,913","6,297","5,742","5,899","6,929","7,534","7,440","7,921","8,886","9,673","9,029","10,830","12,587","12,236","12,923","11,871","13,030","14,986","16,172","16,258","17,612","20,379","24,347","24,208","20,632","16,630","18,436","18,991","22,194","21,675","21,721","22,849"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,-11.28%,-3.34%,17.20%,19.64%,29.57%,34.27%,28.23%,28.38%,21.36%,36.71%,41.65%,26.50%,43.13%,9.62%,3.52%,22.47%,25.15%,36.95%,35.16%,35.99%,50.54%,48.90%,17.15%,-18.39%,-24.28%,-21.55%,7.57%,30.33%,17.82%,-
Enterprise Value,266,221,-,453,-,-,"7,880","7,422","7,222","7,547","6,984","7,095","8,131","8,684","8,576","9,036","9,987","10,730","10,050","11,792","13,681","13,314","13,984","12,836","13,977","15,839","17,785","17,840","20,915","23,639","27,487","27,139","23,498","19,575","21,429","22,057","25,108","25,094","25,035","26,162"
PE Ratio,-,-,-,-,-,-,68.54,55.10,43.84,37.80,40.56,53.65,57.92,52.44,30.56,27.23,29.34,30.63,33.58,35.66,39.54,36.46,32.91,29.12,31.58,35.36,37.32,40.91,61.58,81.53,87.24,99.26,54.73,-2043.30,-659.99,177.44,186.00,39.41,38.32,40.57
PS Ratio,-,-,-,-,-,-,3.16,2.73,2.43,2.43,2.19,2.26,2.68,2.93,2.88,3.02,3.35,3.59,3.31,3.89,4.43,4.22,4.34,3.92,4.34,4.96,5.29,5.23,5.17,5.30,5.73,5.28,4.32,3.48,3.85,3.83,4.36,4.15,4.02,4.23
PB Ratio,-,-,-,-,-,-,2.17,2.02,1.95,2.10,2.08,2.11,2.37,2.49,2.40,2.47,2.88,3.10,2.91,3.41,3.89,3.79,3.82,3.49,3.75,4.11,4.18,4.19,2.68,3.12,3.68,3.71,3.22,2.87,3.05,3.13,3.60,3.51,3.39,3.56
P/FCF Ratio,-,-,-,-,-,-,86.00,47.27,36.74,30.14,19.92,23.04,27.64,26.84,25.61,26.92,27.26,30.23,27.30,30.48,37.12,35.19,37.95,31.22,33.58,37.11,33.70,36.05,41.46,50.80,58.87,60.67,43.45,41.43,51.00,46.37,43.78,38.98,35.98,37.84
P/OCF Ratio,-,-,-,-,-,-,34.90,23.96,20.12,17.31,13.07,13.91,16.33,16.63,16.08,17.31,18.60,20.71,18.41,20.07,22.97,21.36,22.66,20.10,21.17,23.91,23.07,23.57,26.97,30.77,34.73,35.35,25.19,22.13,25.86,25.09,27.53,25.54,23.25,24.46
Debt / Equity Ratio,0.59,0.53,-,0.58,-,-,0.55,0.52,0.51,0.50,0.55,0.53,0.51,0.48,0.46,0.41,0.43,0.41,0.40,0.37,0.41,0.40,0.37,0.38,0.35,0.32,0.48,0.46,0.58,0.56,0.53,0.50,0.50,0.55,0.54,0.54,0.51,0.59,0.55,0.55
Quick Ratio,1.05,1.19,-,1.74,-,-,1.87,1.80,1.90,1.88,2.02,2.01,2.12,2.03,2.06,1.83,1.87,1.88,1.85,1.69,1.73,1.73,1.65,1.80,1.58,1.87,1.60,1.44,1.12,1.46,1.23,1.24,1.19,1.19,1.36,1.32,1.24,1.32,1.27,1.27
Current Ratio,1.20,1.35,-,2.54,-,-,2.68,2.43,2.63,2.58,2.77,2.67,2.91,2.80,2.82,2.48,2.65,2.63,2.56,2.27,2.41,2.41,2.34,2.43,2.29,2.64,2.33,2.10,1.75,2.42,2.13,2.04,2.03,2.16,2.48,2.33,2.29,2.49,2.43,2.43
