,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"35,687","34,901","44,863","57,947","58,654","78,595","92,084","100,882","92,522","113,763","132,712"
Market Cap Growth,25.51%,-2.20%,28.54%,29.16%,1.22%,34.00%,17.16%,9.55%,-8.29%,22.96%,-
Enterprise Value,"34,660","34,820","48,393","62,376","64,814","85,260","103,051","110,342","103,642","123,705","142,654"
PE Ratio,69.30,24.25,27.24,56.81,16.51,37.73,57.59,50.59,39.24,35.94,42.34
PS Ratio,3.69,3.51,3.96,4.66,4.31,5.28,6.42,5.90,5.01,5.55,6.47
PB Ratio,4.15,4.10,4.70,5.81,5.00,6.14,7.04,6.78,5.57,6.12,7.14
P/FCF Ratio,23.04,49.09,31.48,60.30,28.78,50.97,33.00,36.84,45.44,36.28,42.32
P/OCF Ratio,20.03,35.58,23.43,37.17,22.47,35.87,28.10,30.92,35.26,30.66,35.76
EV/Sales Ratio,3.58,3.50,4.27,5.01,4.77,5.73,7.18,6.45,5.62,6.03,6.96
EV/EBITDA Ratio,25.67,18.12,22.53,26.72,24.35,29.65,44.92,41.61,33.94,30.42,35.08
EV/EBIT Ratio,29.88,20.07,25.19,30.24,27.51,33.28,52.74,48.37,38.63,33.68,38.84
EV/FCF Ratio,22.38,48.97,33.96,64.91,31.80,55.29,36.94,40.30,50.90,39.45,45.49
Debt / Equity Ratio,0.46,0.47,0.72,0.72,0.84,0.87,1.07,0.84,0.79,0.70,0.70
Debt / EBITDA Ratio,2.94,2.08,3.22,3.09,3.70,3.86,6.10,4.71,4.27,3.20,3.20
Debt / FCF Ratio,2.56,5.62,4.85,7.52,4.84,7.19,5.01,4.56,6.41,4.14,4.14
Quick Ratio,1.47,1.64,1.70,1.43,1.25,1.66,1.14,1.33,0.87,0.86,0.86
Current Ratio,1.95,2.27,2.50,2.29,2.03,2.51,1.93,2.20,1.63,1.58,1.58
Asset Turnover,0.57,0.61,0.56,0.58,0.59,0.55,0.45,0.50,0.51,0.54,0.54
Return on Equity (ROE),5.80%,17.00%,17.90%,10.20%,35.30%,17.10%,12.30%,14.10%,14.80%,17.90%,17.90%
Return on Assets (ROA),3.00%,8.80%,8.20%,4.80%,15.30%,7.60%,5.00%,5.90%,6.50%,8.30%,8.30%
Return on Capital (ROIC),4.40%,12.34%,11.33%,6.61%,17.72%,9.23%,6.72%,8.26%,8.42%,10.61%,10.61%
Earnings Yield,1.44%,4.12%,3.67%,1.76%,6.06%,2.65%,1.74%,1.98%,2.55%,2.78%,2.38%
FCF Yield,4.34%,2.04%,3.18%,1.66%,3.47%,1.96%,3.03%,2.71%,2.20%,2.76%,2.36%
Dividend Yield,1.30%,1.50%,1.30%,1.10%,1.20%,1.00%,1.00%,1.00%,1.20%,1.00%,0.92%
Payout Ratio,92.60%,37.00%,35.60%,63.90%,20.30%,38.30%,55.30%,48.90%,45.50%,36.60%,38.79%
Buyback Yield / Dilution,-0.18%,0.50%,0.63%,-0.42%,-0.05%,0.11%,-0.11%,-0.53%,0.03%,-0.39%,-0.39%
Total Shareholder Return,1.12%,2.00%,1.93%,0.68%,1.15%,1.11%,0.89%,0.47%,1.23%,0.61%,0.52%
