,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"47,537","38,432","48,020","74,732","66,511","124,620","204,062","324,746","216,484","297,772","383,563"
Market Cap Growth,24.60%,-19.15%,24.95%,55.63%,-11.00%,87.37%,63.75%,59.14%,-33.34%,37.55%,-
Enterprise Value,"45,362","35,653","46,773","74,346","64,650","122,177","198,716","319,982","211,726","293,597","379,513"
PE Ratio,32.83,25.51,29.29,30.13,22.33,42.79,47.09,48.58,36.18,34.19,43.47
PS Ratio,6.71,5.63,6.64,6.95,5.29,9.38,11.97,15.36,9.61,9.73,12.53
PB Ratio,5.23,4.22,4.65,5.78,4.97,8.81,12.07,28.18,23.10,19.92,26.46
P/FCF Ratio,58.88,21.40,33.80,42.08,23.16,44.19,45.65,28.74,28.24,81.51,108.25
P/OCF Ratio,38.30,17.47,27.38,34.24,18.83,33.85,36.16,26.35,23.98,49.23,65.38
EV/Sales Ratio,6.40,5.22,6.46,6.91,5.14,9.20,11.66,15.13,9.40,9.59,12.39
EV/EBITDA Ratio,24.38,17.63,21.01,21.80,16.57,33.38,35.19,37.95,27.56,26.49,35.31
EV/EBIT Ratio,29.22,20.98,25.27,25.56,18.93,38.71,39.36,40.52,29.98,28.62,38.14
EV/FCF Ratio,56.18,19.86,32.92,41.86,22.51,43.33,44.45,28.31,27.62,80.37,107.11
Debt / Equity Ratio,0.15,0.13,0.34,0.28,0.26,0.25,0.34,0.45,0.48,0.34,0.34
Debt / EBITDA Ratio,0.75,0.61,1.57,1.07,0.89,0.95,1.01,0.62,0.59,0.46,0.46
Debt / FCF Ratio,1.73,0.68,2.46,2.04,1.21,1.24,1.28,0.46,0.59,1.41,1.41
Quick Ratio,1.39,1.45,1.59,1.60,1.62,1.51,1.57,0.96,0.78,0.78,0.78
Current Ratio,2.47,2.48,2.61,2.80,2.78,2.58,2.41,1.48,1.28,1.50,1.50
Asset Turnover,0.49,0.48,0.46,0.50,0.56,0.56,0.55,0.66,0.65,0.74,0.74
Interest Coverage,149.10,94.85,-,48.17,105.00,112.36,118.63,155.81,148.85,-,-
Return on Equity (ROE),16.50%,16.50%,17.30%,19.40%,22.50%,21.00%,26.20%,49.70%,67.70%,68.40%,68.40%
Return on Assets (ROA),10.00%,10.50%,10.40%,11.50%,13.20%,12.20%,14.00%,20.90%,17.10%,21.00%,21.00%
Return on Capital (ROIC),13.90%,14.73%,11.63%,15.40%,17.80%,16.55%,18.91%,39.06%,42.42%,42.26%,42.26%
Earnings Yield,3.05%,3.92%,3.41%,3.32%,4.48%,2.34%,2.12%,2.06%,2.76%,2.93%,2.27%
FCF Yield,1.70%,4.67%,2.96%,2.38%,4.32%,2.26%,2.19%,3.48%,3.54%,1.23%,0.92%
Dividend Yield,0.80%,0.80%,1.00%,0.70%,1.10%,1.20%,0.60%,0.50%,1.30%,0.90%,0.70%
Payout Ratio,25.50%,19.70%,29.70%,22.10%,24.50%,51.20%,28.10%,24.40%,46.10%,29.30%,30.13%
Buyback Yield / Dilution,-1.44%,1.61%,1.13%,-0.91%,1.20%,1.13%,0.59%,2.08%,3.02%,0.98%,0.98%
Total Shareholder Return,-0.64%,2.41%,2.13%,-0.21%,2.30%,2.33%,1.19%,2.58%,4.32%,1.88%,1.67%
