,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"72,736","72,791","72,870","78,218","81,640","79,711","74,025","79,821","86,203","88,649","88,710","88,292","95,050","101,612","107,803","116,833","108,672","107,595","123,570","97,807","115,866","127,056","121,741","126,472","95,339","101,480","115,521","149,249","150,972","152,351","146,558","143,543","133,447","118,318","112,486","144,079","127,695","138,128","122,660","138,251","129,985"
Market Cap Growth,23.16%,16.61%,11.81%,9.10%,12.24%,9.51%,1.58%,2.05%,5.59%,11.21%,19.84%,10.61%,10.26%,14.62%,21.52%,32.33%,14.33%,5.89%,14.63%,-16.28%,6.62%,18.09%,-1.48%,29.31%,-17.72%,-20.13%,-5.11%,18.01%,58.35%,50.13%,26.87%,-3.82%,-11.61%,-22.34%,-23.25%,0.37%,-4.31%,16.74%,9.04%,-4.04%,-
Enterprise Value,"73,889","73,246","72,995","77,797","82,396","79,593","74,229","84,331","93,768","95,690","95,948","94,704","101,322","108,301","114,416","123,898","116,679","114,829","130,168","103,111","121,294","133,296","127,988","132,058","102,660","108,442","122,735","156,413","159,639","161,389","155,671","151,619","143,042","128,736","121,506","153,539","139,617","150,732","135,012","150,599","140,537"
PE Ratio,18.30,17.96,17.23,18.45,18.82,17.98,16.34,16.74,17.71,17.76,17.85,18.35,19.31,20.34,21.14,75.62,65.58,70.23,48.94,14.46,17.19,18.11,19.32,20.59,15.11,17.35,23.19,31.23,32.64,30.63,26.78,25.90,25.42,23.29,20.93,29.01,24.44,25.34,22.66,24.44,23.28
PS Ratio,1.85,1.82,1.80,1.94,2.05,2.03,1.91,2.07,2.22,2.27,2.26,2.25,2.42,2.58,2.72,2.88,2.62,2.55,2.88,2.34,2.88,3.29,3.30,3.45,2.63,2.94,3.48,4.57,4.63,4.49,4.23,4.17,3.89,3.43,3.22,4.06,3.55,3.82,3.37,3.77,3.55
PB Ratio,4.06,3.89,3.85,4.43,4.65,4.32,4.17,4.37,4.74,4.72,4.62,4.56,4.68,4.97,5.12,7.08,6.18,6.11,6.78,5.38,6.17,7.11,6.72,6.84,5.40,5.59,6.39,8.51,8.39,8.49,8.21,7.73,7.27,6.75,6.35,8.63,7.55,7.99,7.12,8.72,5.34
P/FCF Ratio,19.59,19.34,18.83,19.54,21.72,20.93,17.28,17.89,19.91,19.85,20.64,19.96,18.66,20.29,21.82,23.27,20.81,18.97,20.09,17.40,20.62,23.23,23.95,20.73,16.12,17.96,22.61,27.85,28.36,29.51,27.60,27.76,31.31,31.13,23.51,31.76,34.44,32.85,31.66,31.83,30.22
P/OCF Ratio,15.54,15.27,14.78,15.40,16.96,16.33,13.77,14.46,15.91,15.85,16.37,16.06,15.53,16.98,18.47,19.58,17.64,16.36,17.54,15.20,18.01,20.33,20.84,18.34,14.23,15.60,19.13,24.04,24.17,25.20,23.80,23.77,26.19,25.68,20.19,27.32,28.67,27.49,25.82,25.89,24.34
Debt / Equity Ratio,0.52,0.49,0.47,0.49,0.55,0.53,0.59,0.66,0.77,0.75,0.83,0.81,0.78,0.81,0.80,1.08,1.04,0.97,1.00,0.89,0.86,0.91,1.03,0.87,0.91,1.22,1.23,1.28,1.19,1.19,1.19,1.06,1.05,1.09,0.96,1.17,1.13,1.24,1.18,1.29,1.29
Quick Ratio,1.13,1.20,1.22,1.16,1.11,1.16,1.12,0.85,0.94,0.99,0.95,1.07,1.03,1.02,1.03,1.04,1.02,1.02,1.13,0.97,0.92,0.87,1.00,0.99,0.93,1.26,1.27,1.15,1.08,1.06,0.96,0.94,0.84,0.82,0.85,0.88,0.84,0.98,0.92,0.84,0.84
Current Ratio,1.50,1.57,1.60,1.50,1.44,1.49,1.44,1.09,1.25,1.28,1.20,1.41,1.37,1.34,1.35,1.38,1.36,1.38,1.49,1.29,1.24,1.20,1.32,1.34,1.30,1.63,1.64,1.47,1.43,1.41,1.29,1.30,1.21,1.20,1.24,1.25,1.26,1.41,1.35,1.27,1.27
Interest Coverage,18.62,19.70,21.19,16.67,20.92,22.22,24.54,20.57,20.04,21.55,20.80,17.58,23.91,23.41,22.74,21.43,23.87,21.89,19.59,19.90,22.44,24.14,21.24,20.12,27.16,14.34,12.14,18.79,21.44,23.46,19.71,23.24,18.71,20.56,21.24,9.24,11.40,11.11,10.54,8.53,10.34
Return on Capital (ROIC),Upgrade,14.73%,14.73%,15.39%,16.38%,16.48%,16.28%,16.47%,16.48%,15.85%,15.96%,14.53%,12.94%,12.33%,11.73%,11.46%,3.37%,3.57%,3.34%,5.80%,17.79%,17.45%,18.59%,15.41%,16.36%,17.08%,13.18%,11.72%,11.39%,10.98%,11.78%,12.59%,15.45%,15.70%,16.45%,18.67%,14.60%,15.62%,15.40%,16.00%,17.29%
Dividend Yield,1.90%,1.90%,1.90%,1.90%,1.90%,2.00%,2.20%,2.10%,2.00%,2.00%,2.00%,2.10%,2.00%,1.90%,1.90%,1.80%,2.00%,2.00%,1.80%,2.30%,2.00%,1.80%,1.90%,1.90%,2.60%,2.40%,2.20%,1.70%,1.70%,1.70%,1.80%,1.80%,2.00%,2.20%,2.30%,1.90%,2.10%,2.00%,2.20%,2.00%,2.19%
Payout Ratio,34.60%,32.10%,30.20%,42.40%,36.40%,34.00%,31.90%,38.60%,37.70%,34.40%,36.70%,48.50%,38.20%,36.50%,37.80%,-22.60%,38.80%,43.80%,23.70%,35.00%,42.30%,38.50%,36.30%,41.10%,40.40%,58.40%,83.30%,47.90%,45.40%,45.10%,51.10%,47.10%,59.00%,52.70%,42.60%,67.80%,49.30%,46.00%,45.00%,56.20%,51.00%
Buyback Yield / Dilution,-0.04%,0.47%,0.29%,0.24%,0.19%,0.18%,0.10%,1.55%,1.70%,2.51%,2.67%,1.11%,1.06%,-0.03%,0.04%,0.04%,1.21%,2.02%,2.36%,2.83%,3.05%,2.57%,3.11%,3.48%,2.26%,3.56%,2.46%,1.80%,2.40%,1.04%,1.62%,1.89%,1.39%,1.99%,2.42%,2.34%,2.58%,2.21%,1.44%,1.94%,2.31%
Total Shareholder Return,1.86%,2.37%,2.19%,2.14%,2.09%,2.18%,2.30%,3.65%,3.70%,4.51%,4.67%,3.21%,3.06%,1.87%,1.94%,1.84%,3.21%,4.02%,4.16%,5.13%,5.05%,4.37%,5.01%,5.38%,4.86%,5.96%,4.66%,3.50%,4.10%,2.74%,3.42%,3.69%,3.39%,4.19%,4.72%,4.24%,4.68%,4.21%,3.64%,3.94%,4.50%
