,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"9,441","9,987","11,880","13,258","15,854","21,412","30,401","31,383","16,182","18,106","19,577"
Market Cap Growth,25.22%,5.79%,18.95%,11.60%,19.58%,35.06%,41.98%,3.23%,-48.44%,11.89%,-
Enterprise Value,"12,418","14,895","18,815","19,781","21,862","27,431","36,835","38,557","24,582",-,"27,451"
PE Ratio,20.09,35.55,53.03,33.23,34.92,37.83,51.97,35.74,22.51,25.61,27.84
PS Ratio,1.10,1.25,1.30,1.21,1.36,1.87,2.58,2.27,1.05,1.29,1.40
PB Ratio,7.62,7.92,3.39,3.26,4.45,7.09,9.11,8.52,4.59,0,3.49
P/FCF Ratio,15.19,20.86,-28.83,14.38,21.14,22.54,95.30,923.03,-11.83,22.13,-8.05
P/OCF Ratio,9.32,9.92,61.24,8.97,10.12,13.83,21.23,17.83,57.18,9.72,-12.75
EV/Sales Ratio,1.45,1.86,2.06,1.80,1.88,2.39,3.13,2.79,1.60,-,1.96
EV/EBITDA Ratio,10.64,15.37,16.45,11.31,11.97,14.85,19.47,18.19,12.68,-,13.02
EV/EBIT Ratio,14.02,21.79,27.23,19.39,19.43,23.47,30.09,27.15,19.40,-,6.38
EV/FCF Ratio,19.97,31.11,-45.67,21.45,29.15,28.88,115.47,1134.03,-17.97,-,-11.54
Debt / Equity Ratio,2.56,4.07,2.15,1.71,1.89,2.59,2.34,2.10,2.54,0,1.53
Debt / EBITDA Ratio,3.09,3.27,4.49,4.31,3.82,3.64,4.13,3.68,3.99,4.24,4.06
Debt / FCF Ratio,5.80,6.62,-12.46,8.17,9.29,7.08,24.50,229.41,-5.66,10.94,-3.80
Quick Ratio,0.57,0.52,0.70,0.50,0.62,0.61,0.70,0.52,0.45,0,0.49
Current Ratio,1.15,1.02,1.23,0.92,0.96,0.88,1.05,0.88,0.78,0,0.79
Asset Turnover,1.13,0.82,0.56,0.64,0.70,0.66,0.65,0.70,0.77,0,0.71
Interest Coverage,5.75,5.59,3.49,3.59,3.74,3.69,4.45,5.26,4.06,-3.11,0
Return on Equity (ROE),33.78%,22.66%,17.76%,11.39%,11.15%,15.89%,19.38%,26.31%,19.51%,20.05%,12.59%
Return on Assets (ROA),6.01%,3.71%,2.29%,2.44%,2.64%,3.42%,3.37%,4.81%,3.65%,3.55%,3.66%
Return on Capital (ROIC),14.12%,15.68%,25.76%,6.75%,7.22%,10.03%,9.67%,10.78%,9.10%,9.75%,8.55%
Earnings Yield,4.98%,2.81%,1.89%,3.01%,2.86%,2.64%,1.92%,2.80%,4.44%,3.90%,3.61%
FCF Yield,6.59%,4.79%,-3.47%,6.95%,4.73%,4.44%,1.05%,0.11%,-8.45%,4.52%,-11.51%
Dividend Yield,0.77%,0.72%,0.70%,0.97%,0.86%,0.85%,0.65%,0.73%,1.57%,1.39%,1.29%
Payout Ratio,15.47%,25.56%,37.05%,32.33%,30.18%,32.16%,33.85%,26.08%,35.33%,35.64%,35.87%
Buyback Yield / Dilution,4.55%,1.02%,-14.51%,-10.56%,1.31%,3.46%,2.15%,0.36%,3.50%,0.93%,-0.37%
Total Shareholder Return,5.32%,1.73%,-13.81%,-9.59%,2.17%,4.31%,2.80%,1.09%,5.07%,2.32%,0.92%
