,2017-12-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"3,790","5,731","1,947","2,815","3,396","5,556","1,911","2,983","3,956","5,191","1,863","3,207","4,178","5,627","2,371","3,479","4,601","6,252","2,777","3,825","4,884","6,045","2,590","3,707"
Revenue Growth (YoY),-,-,-,-,-10.40%,-3.05%,-1.85%,5.97%,16.49%,-6.57%,-2.51%,7.51%,5.61%,8.40%,27.27%,8.48%,10.12%,11.11%,17.12%,9.95%,6.15%,-3.31%,-6.73%,-3.08%
Cost of Revenue,"2,915","3,687","1,485","2,024","2,211","3,047","1,349","1,968","2,269","2,829","1,297","2,112","2,420","3,010","1,558","2,232","2,724","3,323","1,879","2,510","2,771","3,137","1,646","2,366"
Gross Profit,875,"2,044",462,791,"1,185","2,509",562,"1,015","1,687","2,362",566,"1,095","1,758","2,617",813,"1,247","1,877","2,929",898,"1,315","2,113","2,908",944,"1,341"
"Selling, General & Admin",920,965,633,694,735,937,646,747,757,965,597,724,733,998,672,806,735,"1,017",657,764,726,"1,045",670,735
Research & Development,484,354,325,345,299,269,289,290,280,273,284,305,281,293,297,316,268,296,312,340,316,329,335,357
Other Operating Expenses,622,457,"5,079",630,374,503,298,266,233,355,211,218,283,315,206,207,184,322,330,229,193,234,176,416
Operating Expenses,"2,026","1,776","6,037","1,669","1,408","1,709","1,233","1,303","1,270","1,593","1,092","1,247","1,297","1,606","1,175","1,329","1,187","1,635","1,299","1,333","1,235","1,608","1,181","1,508"
Operating Income,"-1,151",268,"-5,575",-878,-223,800,-671,-288,417,769,-526,-152,461,"1,011",-362,-82,690,"1,294",-401,-18,878,"1,300",-237,-167
Interest Expense / Income,115,88,82,86,59,34,19,24,10,14,11,10,7,7,8,8,9,16,18,36,31,82,58,62
Other Expense / Income,-227,-447,-528,-589,-379,"1,104",-92,-146,8,-83,-28,-34,-324,-250,-372,-339,-4,-16,-14,163,83,300,155,116
Pretax Income,"-1,039",627,"-5,129",-375,97,-338,-598,-166,399,838,-509,-128,778,"1,254",2,249,685,"1,294",-405,-217,764,918,-450,-345
