,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,"22,142","20,969","22,123","17,611","20,049","21,566","28,847","34,688","32,690","30,895","34,463","41,789","39,181","41,068","41,998","42,990","40,733","36,312","33,771","38,458"
Market Cap Growth,-,-,-,-,-,-,-,-,-9.45%,2.85%,30.40%,96.97%,63.05%,43.25%,19.47%,20.47%,19.86%,32.93%,21.86%,2.87%,3.96%,-11.58%,-19.59%,-
Enterprise Value,"10,706","12,787","5,663","7,734","22,234","22,592","20,476","18,248","19,811","21,890","26,157","34,522","31,568","30,486","31,035","41,640","38,521","41,603","39,990","46,287","43,430","39,849","33,518","38,205"
PE Ratio,-,-,-,-,-3.63,-14.27,-23.07,-20.69,38.78,34.84,42.36,34.38,26.82,18.83,19.59,24.25,22.75,30.18,36.62,36.49,44.13,38.92,45.95,53.20
PS Ratio,-,-,-,-,1.62,1.53,1.60,1.22,1.43,1.54,2.03,2.40,2.20,2.01,2.20,2.60,2.35,2.40,2.41,2.42,2.32,2.09,1.96,2.23
PB Ratio,-,-,-,-,0.86,0.84,0.91,0.74,0.82,0.90,1.16,1.41,1.29,1.25,1.36,1.63,1.52,1.65,1.66,1.68,1.55,1.44,1.35,1.54
P/FCF Ratio,-,-,-,-,-32.47,-39.12,-237.88,332.28,26.45,12.78,18.15,22.24,18.70,16.30,16.00,31.37,34.77,52.65,157.30,-150.32,-75.01,-253.93,28.77,32.76
P/OCF Ratio,-,-,-,-,22.48,21.84,20.68,25.86,15.55,10.10,13.98,16.97,14.28,12.45,12.64,21.46,22.40,29.33,48.16,147.73,-6788.84,87.71,19.09,21.74
Debt / Equity Ratio,0.17,0.20,0.11,0.13,0.08,0.15,0.01,0.11,0.11,0.13,0.04,0.10,0.07,0.10,0.04,0.08,0.08,0.11,0.05,0.20,0.20,0.23,0.10,0.10
Quick Ratio,0.77,0.63,0.57,0.59,1.10,0.96,0.89,0.95,1.28,1.11,1.02,1.03,1.34,1.11,0.98,0.99,1.22,0.96,0.84,0.79,1.02,0.86,0.79,0.79
Current Ratio,1.89,1.76,1.73,1.71,1.68,1.57,1.64,1.60,1.92,1.82,1.73,1.67,1.97,1.81,1.63,1.65,1.88,1.69,1.56,1.39,1.66,1.58,1.56,1.56
Interest Coverage,8.13,-61.55,-3.36,2.64,-8.94,-30.47,-5.92,40.90,60.86,-45.27,-11.80,112.14,180.14,1.25,32.13,77.11,81.88,-21.50,-5.03,25.65,12.20,-6.76,-4.56,4.81
Return on Capital (ROIC),,0.33%,-6.48%,-8.85%,-7.77%,-21.55%,-3.92%,-2.19%,0.47%,0.08%,0.61%,1.17%,1.39%,1.69%,-16.33%,-16.39%,-14.83%,-14.18%,3.91%,4.20%,4.03%,4.05%,4.63%,4.69%
Dividend Yield,-,-,-,-,0.00%,0.50%,0.90%,1.70%,1.90%,1.80%,1.30%,1.10%,1.20%,1.30%,1.10%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.20%,1.30%,1.17%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,-19.70%,-433.30%,36.10%,12.90%,-25.00%,216.70%,16.00%,9.90%,350.00%,63.60%,17.90%,10.40%,-32.60%,-187.50%,17.90%,15.00%,-35.60%,-44.40%,62.14%
Buyback Yield / Dilution,-,-,-,-,-,-0.01%,0.05%,-0.08%,0.06%,0.04%,0.45%,0.71%,1.51%,1.92%,2.16%,2.29%,1.82%,2.12%,1.98%,1.95%,1.77%,1.23%,1.37%,1.37%
Total Shareholder Return,-,-,-,-,-,0.49%,0.95%,1.62%,1.96%,1.84%,1.75%,1.81%,2.71%,3.22%,3.26%,3.29%,2.82%,3.12%,2.98%,2.95%,2.77%,2.43%,2.67%,2.53%
