,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,696","1,657","2,270","1,759","2,077","1,980","1,764","1,963","2,809","2,768","3,526","2,404","2,861","2,779","4,459","2,031","2,401","2,199","3,191","1,646","2,563","2,254","2,644"
Short-Term Investments,49,142,5,5,6,117,5,10,60,152,269,114,39,103,86,290,254,119,124,85,53,108,98
Cash & Cash Equivalents,"2,745","1,799","2,275","1,764","2,083","2,097","1,769","1,973","2,869","2,920","3,795","2,518","2,900","2,882","4,545","2,321","2,655","2,318","3,315","1,731","2,616","2,362","2,742"
Cash Growth,-,-,-,-,-24.12%,16.56%,-22.24%,11.85%,37.73%,39.25%,114.53%,27.62%,1.08%,-1.30%,19.76%,-7.82%,-8.45%,-19.57%,-27.06%,-25.42%,-1.47%,1.90%,-17.29%
Receivables,"7,331","6,547","5,260","6,507","7,434","6,574","5,528","6,775","6,772","5,627","4,926","6,792","6,792","5,818","4,811","7,275","6,947","6,273","5,701","8,678","7,955","6,581","5,488"
Inventory,"4,362","4,898","5,310","5,019","3,918","4,403","5,032","4,401","3,589","4,374","4,882","4,321","3,541","4,417","5,180","4,986","4,184","5,415","6,811","6,585","5,628","6,320","6,899"
Other Current Assets,"10,203","10,096","10,127","10,771","1,010","1,043","1,190","1,530","1,192","1,167","1,165","1,405","1,052","1,029","1,010","1,296",978,"1,039",968,"1,335","1,008","1,070","1,131"
Total Current Assets,"24,641","23,340","22,972","24,061","14,445","14,117","13,519","14,679","14,422","14,088","14,768","15,036","14,285","14,146","15,546","15,878","14,764","15,045","16,795","18,329","17,207","16,333","16,260"
"Property, Plant & Equipment","4,463","4,384","4,544","4,521","4,543","4,503","4,546","4,358","4,293","4,273","4,396","4,299","4,341","4,310","4,329","4,333","4,300","4,185","4,254","4,271","4,306","4,320","4,287"
Long-Term Investments,195,144,138,77,64,70,66,64,62,62,66,64,68,67,76,91,93,91,102,87,83,106,115
Goodwill and Intangibles,"26,930","22,341","22,248","22,164","22,081","21,835","21,653","21,268","21,139","21,024","21,016","20,730","20,620","20,355","20,151","19,974","19,660","19,252","19,301","20,645","20,524","20,236","20,231"
Other Long-Term Assets,"59,900","59,439","58,781","59,279","2,789","2,710","2,613","2,609","2,264","2,243","2,403","2,420","2,182","2,244","2,242","2,357","2,089","2,078","2,166","2,168","2,069","2,115","2,103"
Total Long-Term Assets,"91,488","86,308","85,711","86,041","29,477","29,118","28,878","28,299","27,758","27,602","27,881","27,513","27,211","26,976","26,798","26,755","26,142","25,606","25,823","27,171","26,982","26,777","26,736"
