,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"29,307","27,052","29,674","37,566","32,372","34,924","30,394","48,488","33,903","36,200","38,749"
Market Cap Growth,3.22%,-7.69%,9.69%,26.60%,-13.83%,7.88%,-12.97%,59.53%,-30.08%,6.77%,-
Enterprise Value,"35,578","33,065","41,854","50,817","43,117","39,338","36,262","54,892","40,832","44,213","47,557"
PE Ratio,24.12,17.31,-34.19,23.32,14.97,6.16,48.17,29.62,22.13,19.58,18.52
PS Ratio,0.76,1.58,1.42,1.65,1.38,1.46,1.36,2.05,1.34,1.35,1.44
PB Ratio,2.59,2.62,1.23,1.84,1.53,1.77,1.74,2.76,2.08,2.19,2.32
P/FCF Ratio,22.99,53.89,42.94,-59.53,16.87,54.31,15.97,23.55,22.29,21.12,21.78
P/OCF Ratio,12.24,16.91,15.55,375.66,12.87,29.05,13.70,19.50,17.07,16.30,17.06
EV/Sales Ratio,0.92,1.93,2.01,2.23,1.84,1.64,1.62,2.32,1.61,1.65,1.77
EV/EBITDA Ratio,12.61,11.95,73.30,15.32,12.03,5.95,20.24,15.44,15.94,16.65,16.09
EV/EBIT Ratio,19.07,17.33,-109.57,21.18,15.62,6.79,37.38,20.25,23.58,24.47,22.86
EV/FCF Ratio,27.90,65.87,60.57,-80.53,22.47,61.18,19.06,26.66,26.85,25.80,26.73
Debt / Equity Ratio,0.59,0.64,0.53,0.66,0.52,0.37,0.45,0.44,0.55,0.53,0.64
Debt / EBITDA Ratio,2.37,2.39,22.35,4.09,3.05,1.09,4.36,2.18,3.50,3.33,3.59
Debt / FCF Ratio,5.24,13.17,18.46,-21.51,5.70,11.23,4.11,3.76,5.89,5.16,5.96
Quick Ratio,0.54,0.61,0.43,0.59,0.52,0.95,0.88,0.76,0.69,0.62,0.63
Current Ratio,1.12,1.00,1.05,1.04,1.05,1.37,1.22,1.10,1.04,0.97,0.97
Asset Turnover,1.21,0.55,0.53,0.46,0.47,0.53,0.54,0.57,0.60,0.63,0.62
Interest Coverage,7.65,6.96,-1.32,5.15,6.88,16.55,4.20,13.16,8.13,6.43,6.65
Return on Equity (ROE),10.50%,14.70%,-6.40%,8.10%,10.40%,28.30%,3.50%,9.30%,9.30%,11.40%,12.90%
Return on Assets (ROA),3.80%,5.00%,-2.20%,3.20%,4.40%,12.50%,1.50%,3.90%,3.60%,4.30%,4.90%
Return on Capital (ROIC),7.35%,6.35%,3.19%,3.58%,5.05%,4.69%,3.25%,6.61%,6.70%,8.24%,8.69%
Earnings Yield,4.15%,5.78%,-2.93%,4.29%,6.68%,16.25%,2.08%,3.38%,4.52%,5.11%,5.43%
FCF Yield,4.35%,1.86%,2.33%,-1.68%,5.93%,1.84%,6.26%,4.25%,4.49%,4.73%,4.59%
Dividend Yield,2.00%,2.50%,2.50%,2.50%,3.00%,2.40%,2.50%,1.60%,2.80%,2.70%,2.60%
Payout Ratio,48.40%,43.50%,-89.20%,58.10%,44.40%,16.00%,123.80%,46.90%,63.20%,53.70%,48.21%
Buyback Yield / Dilution,2.64%,1.80%,2.50%,-46.20%,0.80%,13.97%,6.49%,4.28%,3.29%,1.23%,0.88%
Total Shareholder Return,4.64%,4.30%,5.00%,-43.70%,3.80%,16.37%,8.99%,5.88%,6.09%,3.93%,3.48%
