,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"3,185","3,630","2,813","3,050","2,943","3,409","2,747","2,971","2,556","2,921","2,598","3,132","3,086","3,384","2,813","3,179","3,210","3,466","3,088","3,451","1,194","3,858","3,970","3,782","3,895","3,938","3,106","3,607","3,521","3,870","3,038","3,176","3,880","4,279","3,596","3,963","4,913","5,252","3,794","3,810"
Revenue Growth (YoY),2.71%,3.04%,-5.60%,-11.13%,-7.60%,-6.09%,-2.35%,-2.59%,-13.15%,-14.32%,-5.42%,5.42%,20.74%,15.85%,8.28%,1.50%,4.02%,2.42%,9.78%,8.56%,-62.80%,11.31%,28.56%,9.59%,226.21%,2.07%,-21.76%,-4.63%,-9.60%,-1.73%,-2.19%,-11.95%,10.20%,10.57%,18.37%,24.78%,26.62%,22.74%,5.51%,-3.86%
Cost of Revenue,"2,082","2,554","2,111","1,775","1,983","2,064","1,635","1,493","1,560","1,688","1,456","1,587","2,035","1,836","1,593","1,542","1,905","2,092","1,749","1,763","1,175","2,854","2,536","2,007","2,240","2,224","1,680","1,834","2,003","2,289","1,750","1,939","2,187","2,643","2,168","2,345","2,855","2,990","2,335","2,118"
Gross Profit,"1,103","1,076",702,"1,275",960,"1,345","1,112","1,478",996,"1,233","1,142","1,545","1,051","1,548","1,220","1,637","1,305","1,374","1,339","1,688",19,"1,004","1,434","1,775","1,655","1,714","1,426","1,773","1,518","1,581","1,288","1,237","1,693","1,636","1,428","1,618","2,058","2,262","1,459","1,692"
Other Operating Expenses,299,308,308,354,322,343,339,355,358,351,361,400,411,469,467,485,352,499,597,538,-227,"1,486",973,671,719,"1,346",622,"1,746",662,703,925,396,756,660,"1,746",623,"2,192",817,737,657
Operating Expenses,299,308,308,354,322,343,339,355,358,351,361,400,411,469,467,485,352,499,597,538,-227,"1,486",973,671,719,"1,346",622,"1,746",662,703,925,396,756,660,"1,746",623,"2,192",817,737,657
Operating Income,804,768,394,921,638,"1,002",773,"1,123",638,882,781,"1,145",640,"1,079",753,"1,152",953,875,742,"1,150",246,-482,461,"1,104",936,368,804,27,856,878,363,841,937,976,-318,995,-134,"1,445",722,"1,035"
Interest Expense / Income,229,237,227,231,498,223,221,230,230,226,239,250,295,292,308,305,300,314,361,378,226,469,452,370,353,432,398,306,241,53,518,407,376,174,47,360,416,586,430,192
Other Expense / Income,-39,-34,-55,-67,-78,-56,-51,-5,-60,-47,-62,-25,-206,-120,-81,-90,54,-77,-156,-344,-658,-385,-88,-157,-474,256,"1,538",-525,-273,-395,-393,-255,"-1,005",-145,205,-213,-333,-359,-428,498
Pretax Income,614,565,222,757,218,835,603,898,468,703,604,920,551,907,526,937,599,638,537,"1,116",678,-566,97,891,"1,057",-320,"-1,132",246,888,"1,220",238,689,"1,566",947,-570,848,-217,"1,218",720,345
