,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"9,696","10,772","9,691","14,770","14,113","18,946","23,724","32,510","25,573","36,375","41,858"
Market Cap Growth,39.46%,11.10%,-10.04%,52.41%,-4.45%,34.24%,25.22%,37.03%,-21.34%,42.24%,-
Enterprise Value,"13,461","14,890","13,211","18,888","21,307","25,512","26,961","34,405","24,981","32,904","38,387"
PE Ratio,15.18,13.42,10.63,18.22,8.32,10.25,9.62,7.34,5.54,9.24,10.94
PS Ratio,1.25,1.14,0.89,1.17,0.69,0.85,1.06,1.20,0.76,1.06,1.22
PB Ratio,2.01,1.91,1.38,1.88,0.97,1.19,1.32,1.56,1.06,1.37,1.57
P/FCF Ratio,-12.41,-24.17,21.22,15.80,8.65,12.84,5.71,13.17,7.97,7.16,8.24
P/OCF Ratio,-12.30,-25.67,19.08,15.03,8.34,12.78,5.66,12.84,7.83,7.02,8.08
EV/Sales Ratio,1.73,1.57,1.21,1.49,1.04,1.15,1.20,1.27,0.74,0.96,1.12
EV/EBITDA Ratio,12.76,12.04,9.58,14.59,9.14,10.07,8.38,5.85,4.12,6.22,7.26
EV/EBIT Ratio,13.24,12.48,9.94,15.38,9.51,10.45,8.64,5.94,4.18,6.35,7.41
EV/FCF Ratio,-17.23,-33.40,28.93,20.21,13.05,17.29,6.49,13.94,7.79,6.48,7.56
Debt / Equity Ratio,0.97,0.89,0.65,0.81,0.59,0.49,0.33,0.22,0.17,0.11,0.11
Debt / EBITDA Ratio,4.42,4.06,3.32,4.95,3.66,3.07,1.85,0.79,0.67,0.53,0.53
Debt / FCF Ratio,-5.97,-11.27,10.02,6.86,5.23,5.27,1.43,1.89,1.26,0.55,0.55
Asset Turnover,0.64,0.68,0.74,0.74,0.73,0.76,0.76,0.85,0.96,0.91,0.91
Interest Coverage,27.81,-,-,-,-,-,-,-,-,-,-
Return on Equity (ROE),14.10%,15.20%,14.30%,10.90%,12.30%,12.10%,14.60%,22.20%,20.70%,15.50%,15.50%
Return on Assets (ROA),5.20%,5.80%,6.10%,4.70%,6.00%,6.30%,8.40%,13.90%,13.20%,10.50%,10.50%
Return on Capital (ROIC),6.34%,6.85%,7.46%,6.19%,6.01%,7.86%,10.27%,15.25%,18.42%,13.88%,13.88%
Earnings Yield,6.59%,7.45%,9.41%,5.49%,12.02%,9.76%,10.39%,13.63%,18.04%,10.83%,9.41%
FCF Yield,-8.06%,-4.14%,4.71%,6.33%,11.56%,7.79%,17.50%,7.59%,12.55%,13.97%,12.14%
Dividend Yield,0.30%,0.30%,0.40%,0.30%,0.40%,0.30%,0.80%,1.00%,1.70%,1.20%,1.33%
Payout Ratio,5.10%,4.20%,4.00%,4.70%,2.90%,2.80%,7.90%,7.00%,9.50%,10.90%,14.57%
Buyback Yield / Dilution,-5.57%,-2.49%,-8.30%,-3.27%,-40.39%,3.83%,1.54%,1.04%,5.92%,2.34%,2.34%
Total Shareholder Return,-5.27%,-2.19%,-7.90%,-2.97%,-39.99%,4.13%,2.34%,2.04%,7.62%,3.54%,3.67%
